Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006
2.132064,-0.3504885,1.128948,0.2211437,0.1211102,0.6700488,4.391731,1.223938,-0.303902,0.2803434,0.8364056,0.06742124,-0.3352356,1.579389,0.3354908,-0.7176617
2.198691,0.7018759,0.04269995,-0.2052597,1.217603,1.169724,3.869321,0.385399,-0.17422,-0.0404317,0.350607,0.06754825,-0.2401832,1.736408,-0.3409106,-0.4999719
2.265318,-0.4700468,1.625992,0.03132957,0.02172642,1.693123,4.611983,0.2802102,0.5139101,0.5972352,0.6279961,-0.1850754,-0.305029,-0.1984798,0.05982843,-0.4304016
2.331945,1.198999,2.305186,-0.325372,0.6923237,1.667407,3.924565,0.8473741,-0.5700089,0.4429284,0.4304471,0.2821401,-0.3898553,0.3090158,-0.8785669,-0.6128455
2.398572,0.1976485,0.6691515,0.8405154,0.1002612,1.211743,3.134273,0.578888,-0.1062502,0.2923525,0.49496,0.2330719,-0.3418418,0.8364532,0.3333245,0.222728
2.465199,-0.4675117,-0.04901651,-0.1352317,1.480275,0.6764973,2.818862,0.4216026,-0.656566,0.5118113,-0.00693105,-0.1294516,-0.2699855,2.26549,-0.07145102,-0.5567676
2.531826,-1.083168,0.5015734,0.03177693,0.1017097,0.9503629,1.915586,0.6728615,0.5338652,0.08829994,0.9297735,-0.08804215,-0.2485994,0.8376183,-1.322516,0.1008205
2.598453,-1.830739,-1.62977,0.1637789,0.231738,1.598412,2.182889,-0.005479297,-0.106115,-0.1054586,0.3699634,0.14325,0.275885,1.183487,-0.681863,0.2739514
2.66508,0.06738599,-0.4238225,0.2786743,0.1184595,1.973088,1.904113,-0.06347199,0.4468124,0.2868498,-0.6373705,0.3953212,-0.3117171,1.027274,-1.17024,-0.02080048
2.731707,0.535759,-0.4249391,0.2696391,0.7370486,1.541015,2.637926,0.1198508,-0.3199139,-0.2030564,-0.1334558,0.1958374,-0.3421926,1.088388,-0.5689068,-0.6910955
2.798334,-1.246786,0.616999,0.5833243,0.1042858,1.449738,2.405175,0.8108844,0.6559259,0.7867727,0.1574095,-0.1484608,-0.1049607,0.2977847,0.565282,-0.2511865
2.864961,-0.28475,-0.271776,0.3599465,0.4949357,1.253023,2.725551,0.2365374,1.197937,0.3625301,1.235917,0.2703892,-0.2367917,1.389085,-0.2857925,0.1308736
2.931588,-0.5702091,0.1744365,-0.2965002,0.8157985,2.077919,2.314195,0.3631795,0.3912846,0.2542998,0.06559852,0.151851,-0.4008652,1.599249,-0.7831134,-0.2018872
2.998215,-0.9040576,-0.0801879,0.7824908,-0.07208715,0.6128044,2.16019,0.4604654,0.1350806,-0.1516081,0.1359061,0.2664371,-0.5552678,0.5591564,-0.3333419,0.1370987
3.064842,-0.8958815,0.1094317,0.27104,1.82423,2.983005,2.741014,0.3268124,-1.129953,-0.6531397,0.6284646,-0.07757588,-0.1647695,2.215483,0.6043582,-0.3991997
