Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006,mouse1,mouse2,contact
0.0,-0.7003866,-0.4435457,3.292646,-0.6029119,4.119045,0.9145749,-1.308418,-0.5952315,-0.7411055,-0.9767708,-0.05574073,-0.6569028,-0.07985367,3.672947,-0.2745202,,,
0.0666270000000111,1.40591,-0.9792474,2.661667,-0.9760206,2.931835,0.5963058,-1.292321,-0.6084126,-0.3865238,-0.2593503,-0.2039603,0.1827723,0.3110236,3.499151,-0.2524177,,,
0.1332540000000222,1.036857,-0.8942566,3.625363,-2.550115,3.283331,0.1221972,-0.2453345,-0.456746,-0.7247461,-0.1766279,0.3612736,-0.1482152,-0.9395537,3.628945,-0.6109443,,,
0.19988100000000486,-0.08698521,0.01764078,3.489261,-1.568189,3.86672,0.2968294,-0.674266,-0.0752526,-0.6935331,-0.1703739,-0.2814672,-0.5368651,-0.8443087,3.590647,-0.02798608,,,
0.26650800000001595,0.8408972,-0.1158941,3.664248,-1.360662,2.823063,0.1398906,-0.4278316,-0.9753263,-0.3074745,-0.3198703,0.04880196,0.01844036,0.5614341,2.913784,-0.05219645,,,
0.3331349999999986,-0.7267198,-1.612981,3.894777,-1.233689,3.22858,-0.5078765,-1.005332,-0.6086972,-0.8810756,-0.2417552,-0.2545448,-0.4229027,-0.2759347,2.786096,-0.3600482,,,
0.3997620000000097,-1.122583,-0.2598638,3.362544,-1.486098,2.424511,0.7417377,-0.6546947,-0.8250888,0.4917868,0.7317743,0.04708628,-0.0008723286,-0.02127142,3.301348,-0.1545075,,,
0.4663890000000208,-0.2853374,0.2998105,3.435671,-0.1353074,2.893898,0.6656684,-1.930808,-0.6288012,-0.2666195,-0.7816052,0.2265904,-0.2483183,-0.2985539,2.799832,-0.06535834,,,
0.5330160000000035,-0.6716406,-1.871188,2.356633,-1.018971,2.911072,0.3737116,-0.8731535,-0.906552,-0.2546312,0.1291278,-0.01092697,-0.2738411,0.250368,3.052786,0.07542408,,,
0.5996430000000146,-0.7559348,-0.6133971,1.703551,-0.7579768,1.433958,0.0896485,-1.036808,0.5670033,-0.0178179,-0.4470348,-0.2118597,-0.6821215,2.070344,4.1203,-0.2077825,,,
0.6662699999999973,-2.095593,-0.5046117,1.523917,-0.3359117,2.186533,-0.1249512,-0.8351191,-1.14182,-0.6796279,0.2358644,-0.4162355,-0.4274624,0.6630641,4.083371,-0.2791308,,,
0.7328970000000083,-0.7124168,0.01763109,1.702751,-1.562799,2.567905,-0.09297519,-1.189102,-0.1185426,-0.06264368,-0.2819992,0.1249152,-0.2485968,0.3771524,4.797871,-0.9290064,,,
0.7995240000000194,0.124892,0.4711095,1.565719,-0.2808305,0.330076,-0.7680843,-0.6503197,-0.7203358,-0.4493417,-1.146614,-0.2260399,-0.5356288,0.8060223,5.29151,0.0280382,,,
0.8661510000000021,-0.6008655,0.2829854,1.247283,-0.7831919,1.846054,1.123412,-0.4956841,0.1519436,-0.435756,-0.4154302,-0.6216952,-0.756796,1.085759,5.099189,-0.2642746,,,
0.9327780000000132,-0.3920057,-1.068983,0.8825151,-0.2882389,1.426419,0.7861996,-1.165502,-0.1807734,-0.6152755,-0.1948067,-0.2517053,-0.3297752,1.502366,5.832858,-0.01793612,,,
0.9994049999999959,-0.5477652,-0.6241229,1.299636,-0.5749276,0.5005609,0.5148814,-0.1471961,-0.2462567,0.0497689,0.1802951,-0.008482106,-0.5307513,1.756711,5.489901,0.2712612,,,
1.066032000000007,-0.7141957,0.01928959,0.4119864,-0.3953685,1.17987,0.646072,-0.1030012,-0.4220629,-0.2854154,-0.4154657,-0.1049719,-0.3063415,1.71556,5.666641,-0.4028778,,,
1.132659000000018,1.178436,-0.03607182,0.2677522,-0.5454675,-0.09115961,0.1319747,-0.3323883,1.116686,0.1397076,-0.3556012,-0.3933996,-0.565515,2.242162,6.846108,-0.4149279,,,
1.1992860000000007,3.833027,-0.1501638,0.9985332,-1.0985,-0.9893062,3.608119,0.4365826,0.5543377,0.2649561,-0.8889161,0.8072872,-0.2412243,0.2309882,8.697329,-1.088381,,,
1.2659130000000118,2.06352,2.335541,1.504898,-1.682845,0.5689814,1.151845,0.5188417,0.1877435,0.007225339,-0.7925902,1.57341,-0.2675481,1.794751,7.518476,-1.033213,,,
1.332540000000023,0.2702521,-2.521603,1.157691,-2.126485,0.8894336,3.292825,0.443949,1.08005,0.2024238,-0.0935389,2.288006,-0.5323913,1.149947,7.732641,-0.1311236,,,
1.3991670000000056,-0.6763002,-2.387093,0.6708812,-2.625293,-0.6227717,0.7952154,-0.1555261,2.417785,0.08109397,-0.3946025,4.807258,-0.5563867,-3.607657,8.6406,-0.6376742,s,s,nc
1.4657940000000167,-0.3885259,0.525233,0.9921841,-2.205064,1.28317,0.5881481,0.3525183,1.337339,-0.5855623,-0.3318131,7.133192,-0.2348819,-0.8428912,8.42197,-0.736822,s,s,nc
1.5324209999999994,-0.4399383,-0.7253777,0.5074656,-2.487589,-0.8241059,0.9296189,0.6928785,1.592939,-0.01109075,0.1712032,5.485077,-0.4785245,-0.5432308,5.883842,0.7092276,s,s,nc
1.5990480000000105,-1.462199,-1.343596,0.1154967,-1.961,-0.9258534,1.059593,0.2719324,1.63302,-0.04252713,-0.02565118,4.663188,-0.3524019,-1.52267,6.148405,-0.1922675,s,s,nc
1.6656750000000216,-0.02225149,-1.374348,0.08383669,-2.203682,0.1611997,1.893041,0.05272179,1.171688,-0.07585878,0.09978895,4.265605,-0.6794878,1.008154,5.629178,0.02755445,s,s,nc
1.7323020000000042,-0.7184189,-0.696074,-0.03561544,-1.133192,-0.8185114,0.6010938,-0.5368606,1.82282,0.1216346,0.4869299,3.037331,-0.326932,-0.7987956,4.610191,-0.2726824,s,s,nc
1.7989290000000153,0.8130649,-1.051826,-0.3869815,-0.07194867,-0.3367657,0.1270853,-0.2818854,0.7170278,0.1042773,0.3849794,2.841591,-0.3518636,0.5767147,3.546102,-0.2085292,s,s,nc
1.865555999999998,-1.319489,-1.044251,0.1159749,-1.318935,0.5789443,-0.2638706,-0.1865681,0.3960849,-0.09057545,0.9121543,2.595035,-0.06345812,-1.003144,4.916768,-0.02094495,,,
1.932183000000009,-2.000399,-2.023005,-0.7214212,-0.08174504,-0.5278347,-2.274538,-0.5867203,-0.115178,-0.2299964,-0.0635956,2.276145,-0.3007493,-0.0362663,3.623922,0.1310776,s,a,nc
1.9988100000000202,-0.4059102,-0.3513464,-1.135649,-0.6959246,-0.2064288,-0.6279861,0.08608547,1.036223,0.5615175,-0.4700065,1.715372,-0.5775477,-0.002406402,4.598565,-0.647414,s,a,nc
2.065437000000003,-1.045033,-1.394699,-0.01281844,-0.9805784,0.1682969,-0.3926723,-0.06439041,-0.594817,-0.3741409,-0.1693755,2.810557,-0.5591132,0.07065149,5.141356,0.03952458,s,a,nc
2.132064000000014,-1.35638,0.1888882,-0.6029053,-0.08805222,0.6806658,-1.086857,0.2623812,0.6561512,0.2144736,0.3797833,1.404219,-0.3530938,1.728544,4.368087,-0.1976061,s,a,nc
2.1986909999999966,-0.009815942,-0.3619287,0.7767421,-0.4556941,0.7036259,1.195047,-0.6297436,-1.346031,-0.08878917,0.05037966,1.429275,-0.07827338,0.2364289,3.512101,-0.09188841,s,a,nc
2.2653180000000077,-1.403309,-0.2385147,0.4813819,-0.1336925,0.4125817,0.4966167,0.2177967,0.0438575,-0.0280783,0.07806989,1.274225,-0.2009333,0.514834,4.961214,0.04671799,s,a,nc
2.331945000000019,-0.1198853,-0.2535143,-0.8264853,0.8360161,1.234954,-0.1755376,-0.2474399,0.796415,-0.6898485,0.484957,0.4727401,-0.1560503,0.6300457,4.065569,-0.6782195,s,a,nc
2.3985720000000015,0.05483474,-1.187351,0.1182485,0.4035161,-0.3088747,-0.6692451,-0.7013183,-0.1756097,-0.5444525,0.02310753,0.8537121,-0.3655936,1.330941,3.829412,-0.860247,s,a,nc
2.4651990000000126,-0.3870471,-0.5054376,0.2061481,0.4895433,0.5796909,1.074482,-0.6101203,-0.3870204,-0.5533705,-0.3399734,0.458631,-0.1926537,0.1708117,4.361853,-0.2563181,s,a,nc
2.5318259999999952,1.795968,1.494912,-1.280413,1.199308,0.703954,0.3746932,0.5884079,0.7510518,0.211209,0.2905422,0.1958844,-0.4016702,3.589164,3.95409,-0.2392906,s,a,nc
