Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,924,351,1,39.9625,1
C001,undecided,255,255,255,518,273,1,46.5296,1
C002,undecided,255,255,255,545,320,3,41.8688,1
C003,undecided,255,255,255,633,456,10,30.5287,1
C004,undecided,255,255,255,668,650,1,36.1248,1
C005,undecided,255,255,255,862,350,1,35.609,1
C006,undecided,255,255,255,885,610,1,34.9285,1
C007,undecided,255,255,255,730,185,1,43.0116,1
C008,undecided,255,255,255,573,131,98,29.7321,1
C009,undecided,255,255,255,687,412,13,37.1618,1
C010,undecided,255,255,255,817,29,4,42.72,1
C011,undecided,255,255,255,598,390,3,39.8246,1
C012,undecided,255,255,255,1008,561,4,40.8167,1
C013,undecided,255,255,255,697,312,13,31.1448,1
C014,undecided,255,255,255,369,322,276,3.16228,1
C015,undecided,255,255,255,727,411,34,64.6297,1
C016,undecided,255,255,255,664,441,1,36.6879,1
C017,undecided,255,255,255,604,438,33,47.0425,1
C018,undecided,255,255,255,512,161,303,4,1
C019,undecided,255,255,255,929,292,10,39,1
C020,undecided,255,255,255,492,125,10,53.2259,1
C021,undecided,255,255,255,292,191,302,4.12311,1
C022,undecided,255,255,255,730,162,2,73.9256,1
C023,undecided,255,255,255,742,426,2,39.6232,1
C024,undecided,255,255,255,546,208,304,2.82843,1
C025,undecided,255,255,255,606,144,287,6.40312,1
C026,undecided,255,255,255,601,233,1,40.2244,1
C027,undecided,255,255,255,560,22,2,47.5079,1
C028,undecided,255,255,255,665,213,2,41.7612,1
C029,undecided,255,255,255,673,50,14,47.8853,1
C030,undecided,255,255,255,470,334,323,2.82843,1
C031,undecided,255,255,255,595,201,95,30.4631,1
C032,undecided,255,255,255,747,210,1,82.8613,1
C033,undecided,255,255,255,775,296,4,51.2445,1
C034,undecided,255,255,255,410,371,276,4.12311,1
C035,undecided,255,255,255,398,366,144,14.3178,1
C036,undecided,255,255,255,594,161,1,43.8634,1
C037,undecided,255,255,255,485,360,292,3.16228,1
C038,undecided,255,255,255,482,145,298,4.12311,1
C039,undecided,255,255,255,488,167,297,3.60555,1
C040,undecided,255,255,255,286,492,338,2.82843,1
C041,undecided,255,255,255,326,264,91,21.6333,1
C042,undecided,255,255,255,402,220,263,3,1
C043,undecided,255,255,255,874,326,1,37.6563,1
C044,undecided,255,255,255,386,382,329,6.32456,1
C045,undecided,255,255,255,579,264,305,4.47214,1
C046,undecided,255,255,255,359,448,250,4.47214,1
C047,undecided,255,255,255,410,286,278,5.83095,1
C048,undecided,255,255,255,689,160,1,60.0083,1
C049,undecided,255,255,255,188,588,320,2.23607,1
C050,undecided,255,255,255,269,344,317,4.47214,1
C051,undecided,255,255,255,446,209,329,3.60555,1
C052,undecided,255,255,255,390,97,328,5,1
C053,undecided,255,255,255,462,321,267,4.12311,1
C054,undecided,255,255,255,590,194,312,4.12311,1
C055,undecided,255,255,255,145,212,11,40.1123,1
C056,undecided,255,255,255,450,244,18,51.0098,1
C057,undecided,255,255,255,765,259,1,83.1926,1
C058,undecided,255,255,255,345,137,94,27.5862,1
C059,undecided,255,255,255,714,133,5,52.4786,1
C060,undecided,255,255,255,622,194,347,5,1
C061,undecided,255,255,255,423,359,346,4.47214,1
C062,undecided,255,255,255,673,465,244,18.9737,1
C063,undecided,255,255,255,628,254,296,4.47214,1
C064,undecided,255,255,255,145,330,314,3.16228,1
C065,undecided,255,255,255,523,331,307,3.16228,1
C066,undecided,255,255,255,692,23,6,47.4342,1
C067,undecided,255,255,255,300,390,324,3.60555,1
C068,undecided,255,255,255,655,154,3,48.2701,1
C069,undecided,255,255,255,424,517,291,4.47214,1
C070,undecided,255,255,255,524,89,112,39.3573,1
C071,undecided,255,255,255,442,204,26,62.2896,1
C072,undecided,255,255,255,502,257,338,4.12311,1
C073,undecided,255,255,255,498,596,349,2.82843,1
C074,undecided,255,255,255,351,421,308,5.65685,1
C075,undecided,255,255,255,443,150,326,3.60555,1
C076,undecided,255,255,255,726,308,11,75.6637,1
C077,undecided,255,255,255,694,100,24,71.2811,1
C078,undecided,255,255,255,738,60,33,41.5933,1
C079,undecided,255,255,255,542,271,319,5.09902,1
C080,undecided,255,255,255,951,255,27,52.6308,1
C081,undecided,255,255,255,347,501,307,2.82843,1
C082,undecided,255,255,255,513,186,338,4.47214,1
C083,undecided,255,255,255,600,419,316,3.60555,1
C084,undecided,255,255,255,906,281,1,101.98,1
C085,undecided,255,255,255,337,421,298,4.47214,1
C086,undecided,255,255,255,707,151,29,32.0156,1
C087,undecided,255,255,255,412,172,318,5,1
C088,undecided,255,255,255,579,528,291,3.60555,1
C089,undecided,255,255,255,8,6,85,26.4008,1
C090,undecided,255,255,255,474,161,340,3.60555,1
C091,undecided,255,255,255,446,237,270,4.24264,1
C092,undecided,255,255,255,473,288,24,66.1891,1
C093,undecided,255,255,255,531,200,306,2.82843,1
C094,undecided,255,255,255,621,225,257,5,1
C095,undecided,255,255,255,815,412,11,79.8812,1
C096,undecided,255,255,255,720,366,209,16.6433,1
C097,undecided,255,255,255,468,382,213,5.38516,1
C098,undecided,255,255,255,670,70,306,6.40312,1
C099,undecided,255,255,255,467,291,299,4,1
C100,undecided,255,255,255,439,551,357,3.16228,1
C101,undecided,255,255,255,521,317,259,5,1
C102,undecided,255,255,255,469,203,301,5.09902,1
C103,undecided,255,255,255,629,486,258,4.24264,1
C104,undecided,255,255,255,477,294,360,3.60555,1
C105,undecided,255,255,255,483,294,276,8.24621,1
C106,undecided,255,255,255,729,101,22,50.1199,1
C107,undecided,255,255,255,727,350,249,5.09902,1
C108,undecided,255,255,255,496,35,273,5,1
C109,undecided,255,255,255,608,3,309,3.16228,1
C110,undecided,255,255,255,714,402,15,81.2219,1
C111,undecided,255,255,255,438,268,321,6.32456,1
C112,undecided,255,255,255,478,200,261,5.38516,1
C113,undecided,255,255,255,374,264,334,5.38516,1
C114,undecided,255,255,255,573,318,289,2.82843,1
C115,undecided,255,255,255,491,164,266,3.60555,1
C116,undecided,255,255,255,127,431,290,3.16228,1
C117,undecided,255,255,255,382,141,290,3.60555,1
C118,undecided,255,255,255,636,242,10,63.6003,1
C119,undecided,255,255,255,718,441,42,26.0768,1
C120,undecided,255,255,255,714,27,290,4.47214,1
C121,undecided,255,255,255,812,179,273,3.16228,1
C122,undecided,255,255,255,471,147,248,2.82843,1
C123,undecided,255,255,255,367,439,290,3.16228,1
C124,undecided,255,255,255,722,351,279,3.60555,1
C125,undecided,255,255,255,659,9,52,54.0833,1
C126,undecided,255,255,255,365,369,338,2.82843,1
C127,undecided,255,255,255,419,330,330,3.16228,1
C128,undecided,255,255,255,364,522,248,3.16228,1
C129,undecided,255,255,255,469,208,347,6.7082,1
C130,undecided,255,255,255,511,252,288,3.16228,1
C131,undecided,255,255,255,847,211,354,4.47214,1
C132,undecided,255,255,255,721,361,305,3.60555,1
C133,undecided,255,255,255,275,421,278,6,1
C134,undecided,255,255,255,427,125,259,4.47214,1
C135,undecided,255,255,255,539,112,257,3.16228,1
C136,undecided,255,255,255,352,260,273,6.7082,1
C137,undecided,255,255,255,722,504,335,3.16228,1
C138,undecided,255,255,255,527,235,340,4.12311,1
C139,undecided,255,255,255,600,130,316,5,1
C140,undecided,255,255,255,762,481,78,41.4005,1
C141,undecided,255,255,255,394,242,304,4.47214,1
C142,undecided,255,255,255,720,372,276,5.09902,1
C143,undecided,255,255,255,1219,167,130,23.0868,1
C144,undecided,255,255,255,324,666,251,2.82843,1
C145,undecided,255,255,255,614,151,333,4.12311,1
C146,undecided,255,255,255,847,365,308,7.28011,1
C147,undecided,255,255,255,409,167,285,5,1
C148,undecided,255,255,255,416,236,326,3.60555,1
C149,undecided,255,255,255,392,44,307,5,1
