,approachON,approachOFF,retreatON,retreatOFF
C009,0,0,0,0
C025,1,0,0,0
C013,1,0,0,0
C005,1,0,0,0
C029,1,0,0,0
C004,0,0,0,0
C012,0,0,0,0
C008,0,0,0,0
C003,0,0,0,0
C019,0,1,0,0
C022,1,0,0,0
C018,0,0,0,0
C002,1,0,0,0
C014,1,0,0,0
C001,0,1,0,0
C017,0,1,0,0
C037,1,0,0,0
C021,0,1,0,0
C020,1,0,0,0
C036,0,1,0,0
C016,1,0,0,0
C000,1,0,0,0
C031,0,1,0,0
C007,1,0,0,0
C011,0,1,0,0
C010,0,0,0,0
C006,0,0,0,0
