Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,642,280,1,38.2753,1
C001,undecided,255,255,255,598,260,1,36.6197,1
C002,undecided,255,255,255,503,439,1,43.6807,1
C003,undecided,255,255,255,547,558,6,49.5177,1
C004,undecided,255,255,255,431,650,1,45.2769,1
C005,undecided,255,255,255,531,408,1,42.72,1
C006,undecided,255,255,255,520,226,1,37.6431,1
C007,undecided,255,255,255,666,487,3,37.6431,1
C008,undecided,255,255,255,495,253,4,38.2099,1
C009,undecided,255,255,255,901,367,1,40.3609,1
C010,undecided,255,255,255,675,343,1,30.5287,1
C011,undecided,255,255,255,589,229,2,40.3609,1
C012,undecided,255,255,255,289,369,3,58.0086,1
C013,undecided,255,255,255,513,275,1,41,1
C014,undecided,255,255,255,400,361,3,40.1123,1
C015,undecided,255,255,255,571,276,289,5.38516,1
C016,undecided,255,255,255,343,415,1,36.2215,1
C017,undecided,255,255,255,536,614,1,52.6308,1
C018,undecided,255,255,255,721,718,2,44.2945,1
C019,undecided,255,255,255,711,692,1,41.3401,1
C020,undecided,255,255,255,477,422,1,32.8024,1
C021,undecided,255,255,255,535,666,1,48.9183,1
C022,undecided,255,255,255,340,547,1,40.3113,1
C023,undecided,255,255,255,418,153,3,36.8917,1
C024,undecided,255,255,255,453,641,129,3.16228,1
C025,undecided,255,255,255,371,244,1,40.4599,1
C026,undecided,255,255,255,396,180,1,57.6975,1
C027,undecided,255,255,255,835,436,3,37.6431,1
C028,undecided,255,255,255,915,645,30,39.6611,1
C029,undecided,255,255,255,368,312,2,37.054,1
C030,undecided,255,255,255,518,425,1,31.9531,1
C031,undecided,255,255,255,754,265,3,33.121,1
C032,undecided,255,255,255,461,193,2,49.2443,1
C033,undecided,255,255,255,606,204,1,59.2368,1
C034,undecided,255,255,255,371,279,1,44.9444,1
C035,undecided,255,255,255,687,191,4,49.6488,1
C036,undecided,255,255,255,616,570,1,44.8219,1
C037,undecided,255,255,255,456,416,1,35.4401,1
C038,undecided,255,255,255,835,358,1,32.5576,1
C039,undecided,255,255,255,259,409,4,69,1
C040,undecided,255,255,255,548,457,2,35.5106,1
C041,undecided,255,255,255,347,327,238,18.4391,1
C042,undecided,255,255,255,652,157,2,117.004,1
C043,undecided,255,255,255,470,544,253,11.0454,1
C044,undecided,255,255,255,571,191,27,34.8855,1
C045,undecided,255,255,255,466,628,6,39.8246,1
C046,undecided,255,255,255,338,374,8,46.2709,1
C047,undecided,255,255,255,386,476,1,45.0999,1
C048,undecided,255,255,255,399,381,1,60.0833,1
C049,undecided,255,255,255,423,184,4,59.6154,1
C050,undecided,255,255,255,756,92,1,34.5254,1
C051,undecided,255,255,255,364,172,1,67.4463,1
C052,undecided,255,255,255,431,219,6,47.7074,1
C053,undecided,255,255,255,588,82,2,60.9262,1
C054,undecided,255,255,255,657,661,1,47.4342,1
C055,undecided,255,255,255,328,475,1,68.1542,1
C056,undecided,255,255,255,471,165,4,41.3038,1
C057,undecided,255,255,255,437,563,14,58.4637,1
C058,undecided,255,255,255,718,122,3,36.6742,1
C059,undecided,255,255,255,618,239,1,37.1214,1
C060,undecided,255,255,255,922,313,1,31.0483,1
C061,undecided,255,255,255,888,542,27,35.3836,1
C062,undecided,255,255,255,706,72,6,45.3542,1
C063,undecided,255,255,255,609,94,1,40.2244,1
C064,undecided,255,255,255,672,90,1,38.4708,1
C065,undecided,255,255,255,923,239,3,71.1688,1
C066,undecided,255,255,255,998,225,3,34.2345,1
C067,undecided,255,255,255,380,586,10,39.2046,1
C068,undecided,255,255,255,580,358,436,2.82843,1
C069,undecided,255,255,255,368,452,1,58.5918,1
C070,undecided,255,255,255,383,423,1,47.1699,1
C071,undecided,255,255,255,349,577,1,43.8634,1
C072,undecided,255,255,255,361,374,6,54.231,1
C073,undecided,255,255,255,733,273,17,44.5533,1
C074,undecided,255,255,255,626,118,6,82.7345,1
C075,undecided,255,255,255,776,411,1,32.249,1
C076,undecided,255,255,255,460,371,1,45.1221,1
C077,undecided,255,255,255,522,248,16,43.0813,1
C078,undecided,255,255,255,366,396,1,63.6003,1
C079,undecided,255,255,255,321,416,1,66.1287,1
C080,undecided,255,255,255,783,106,2,35.6931,1
C081,undecided,255,255,255,479,341,2,61.4003,1
C082,undecided,255,255,255,399,602,4,34.4093,1
C083,undecided,255,255,255,414,402,7,53.0754,1
C084,undecided,255,255,255,707,38,4,47.5395,1
C085,undecided,255,255,255,512,323,1,51.4781,1
C086,undecided,255,255,255,639,215,9,44.9222,1
C087,undecided,255,255,255,777,142,2,64.622,1
C088,undecided,255,255,255,404,294,6,49.5782,1
C089,undecided,255,255,255,438,361,1,60.7454,1
C090,undecided,255,255,255,384,67,182,41.7732,1
C091,undecided,255,255,255,864,311,8,33.541,1
C092,undecided,255,255,255,580,491,8,40.8044,1
C093,undecided,255,255,255,363,511,2,47.1699,1
C094,undecided,255,255,255,563,293,13,52.2015,1
C095,undecided,255,255,255,482,713,43,42.4382,1
C096,undecided,255,255,255,585,315,25,63.9062,1
C097,undecided,255,255,255,571,445,8,32.2025,1
C098,undecided,255,255,255,531,74,36,37.6962,1
C099,undecided,255,255,255,393,403,27,30.8707,1
C100,undecided,255,255,255,374,128,11,46.6154,1
C101,undecided,255,255,255,626,262,6,48.0104,1
C102,undecided,255,255,255,793,206,11,95.462,1
C103,undecided,255,255,255,681,224,24,80.2621,1
C104,undecided,255,255,255,246,358,36,49.366,1
C105,undecided,255,255,255,540,363,7,63.2851,1
C106,undecided,255,255,255,696,459,147,16.4012,1
C107,undecided,255,255,255,342,246,6,97.4526,1
C108,undecided,255,255,255,364,219,1,50.0899,1
C109,undecided,255,255,255,299,489,3,59.1354,1
C110,undecided,255,255,255,736,127,23,28.1603,1
C111,undecided,255,255,255,465,462,340,7.2111,1
C112,undecided,255,255,255,691,680,19,29.5296,1
C113,undecided,255,255,255,327,288,58,36.6742,1
C114,undecided,255,255,255,428,255,7,45.2769,1
C115,undecided,255,255,255,903,628,123,22.561,1
C116,undecided,255,255,255,374,333,15,39.4462,1
C117,undecided,255,255,255,493,395,29,60.7454,1
C118,undecided,255,255,255,763,62,5,87.2066,1
C119,undecided,255,255,255,223,455,34,49.4975,1
C120,undecided,255,255,255,345,506,24,40.3113,1
C121,undecided,255,255,255,294,249,132,24.1868,1
C122,undecided,255,255,255,263,210,18,56.0803,1
C123,undecided,255,255,255,458,245,3,49.4975,1
C124,undecided,255,255,255,954,377,2,33.3017,1
C125,undecided,255,255,255,348,448,3,52.7731,1
C126,undecided,255,255,255,665,139,3,43.6807,1
C127,undecided,255,255,255,742,185,1,61.8466,1
C128,undecided,255,255,255,437,436,8,51.4781,1
C129,undecided,255,255,255,727,227,1,62.1289,1
C130,undecided,255,255,255,485,226,7,51.6624,1
C131,undecided,255,255,255,438,626,188,8,1
C132,undecided,255,255,255,366,351,78,26.1725,1
C133,undecided,255,255,255,497,311,273,17.088,1
C134,undecided,255,255,255,659,271,67,32.573,1
C135,undecided,255,255,255,615,343,2,77.026,1
C136,undecided,255,255,255,655,30,36,50.2892,1
C137,undecided,255,255,255,333,52,203,23.5372,1
C138,undecided,255,255,255,408,225,47,35.6931,1
C139,undecided,255,255,255,522,474,14,38.0789,1
C140,undecided,255,255,255,443,169,41,38.2099,1
C141,undecided,255,255,255,537,286,13,60.3075,1
C142,undecided,255,255,255,616,393,106,38.8973,1
C143,undecided,255,255,255,452,89,17,63.561,1
C144,undecided,255,255,255,553,36,62,30.4138,1
C145,undecided,255,255,255,431,323,22,38.0789,1
C146,undecided,255,255,255,720,372,93,34.1321,1
C147,undecided,255,255,255,453,662,24,64.4981,1
C148,undecided,255,255,255,795,107,49,42.72,1
C149,undecided,255,255,255,375,255,315,7.07107,1
