Frame,C009,C025,C013,C005,C029,C004,C012,C008,C003,C019,C022,C018,C002,C014,C001,C017,C037,C021,C020,C036,C016,C000,C031,C007,C011,C010,C006,C030,mouse1,mouse2,contact
0.0,0.3118856,-1.178482,1.659822,-0.8582971,0.6023496,0.3561517,-0.1856331,7.733428,0.1214314,-1.116767,-0.6905341,0.01391111,-1.1487,-0.2634839,-1.087327,-0.5582588,0.1167553,-0.7016094,-0.5522327,-0.6912984,-1.221157,0.1943344,0.209957,-0.6325932,0.5726562,6.002933,3.272859,-0.4525586,s,s,c
0.06662800000000857,0.1600638,-0.8717034,0.7117162,-1.238232,1.438628,0.008558392,0.88209,6.165482,-0.3882601,-0.7393332,-1.308328,0.03493041,-0.5542741,0.8018225,-1.126279,-0.527289,-0.4597798,-0.8426863,-0.2366714,-0.7753526,-1.005799,0.1466629,-0.2301946,0.06371614,0.1534137,6.020542,2.663166,-0.8213795,s,s,c
0.13325600000001714,0.5364849,-0.6462794,1.425116,-1.472741,1.178207,0.3848768,-0.1845596,6.567036,0.618207,-1.031197,-1.098975,0.4178759,-1.378488,-0.5983425,-1.236938,-0.7706379,-0.07502336,-0.6793523,-1.476053,-0.9369397,-1.355879,-0.2429148,-0.01477653,-0.7320008,-1.98218,5.256252,2.547793,0.2307319,s,s,c
0.19988399999999729,-0.3674495,-0.2052707,0.9424049,-0.3907026,0.1400594,0.1966717,-0.5543281,5.405949,0.2277848,-0.8670796,-0.5249862,-0.1232299,-0.4664319,-0.2971197,-1.225437,-0.8783575,-0.004214527,-1.201827,-1.258695,-2.080693,-1.447787,0.1774677,-0.4722829,0.0811983,-0.6518456,4.587015,2.547342,-0.7920834,s,s,c
0.26651200000000586,0.08441994,-0.7660595,1.504005,-0.6085556,0.1191461,0.02723898,0.3739147,4.524265,0.6326052,-0.4820088,-0.1698442,-0.7133568,0.06060718,0.1928356,-1.152828,-0.6513472,0.2505538,-1.100202,-0.5517116,-1.654753,-1.155854,0.2084918,-0.6823783,0.4815455,-0.1336773,4.903092,2.539338,-1.523269,s,s,c
0.3331400000000144,0.3032336,-0.8295615,1.611393,-0.5022067,2.255046,0.5653689,-0.08007034,3.798382,0.4813897,-0.7388929,-1.431111,0.01069883,0.04400891,0.3335864,-0.5104354,-0.8015244,-0.2976334,-0.07859652,0.2006067,-1.656837,-1.710793,0.3190818,0.2023199,0.06734664,-0.7799011,3.947246,1.881871,-1.141792,s,s,c
0.399768000000023,0.4768117,-0.6352117,2.118744,-0.371898,1.620485,-0.5824531,-0.2918729,4.269138,0.1586372,-0.9119361,0.1177944,-0.04303275,-0.2981489,-1.792342,-0.6421693,-0.6857837,-0.1728489,0.6486483,-0.03779934,-2.506025,-1.387257,0.3268515,-0.1436391,1.04837,1.557546,4.278613,1.635336,-0.5233808,s,s,c
0.46639600000000314,-0.1023936,-0.4090104,1.893853,-0.1494727,1.81167,-0.3011038,-0.4630789,2.675856,0.3506303,-0.887238,-1.314683,0.7468866,0.2436911,-1.587562,-0.8435386,-0.6752326,-0.4664754,-0.7487255,-0.3226115,-1.640157,-2.073967,0.07776232,-0.2070739,-0.1469569,-0.05245329,3.269553,1.430643,-0.9668318,s,s,c
0.5330240000000117,-0.2400194,-0.2888348,1.060286,-0.0356883,1.349294,0.1487442,0.02538338,2.072967,0.2288367,-0.8423281,-1.32087,1.092342,0.1291695,-1.624758,-0.7147201,-1.078402,-0.6306392,-0.6383626,-0.08796585,-1.791741,-1.899489,0.1399817,0.3813919,0.02838652,-0.5365989,2.638066,1.703339,-0.7545054,s,s,c
0.5996520000000203,0.3674828,-0.02892174,0.2714717,-0.4578422,1.482394,0.3087555,-0.5187834,1.278356,0.8535591,-0.206741,-1.443831,0.03527002,-0.6790786,-0.5283892,-0.02928056,-0.8835703,-0.1794149,-0.9766576,0.05923734,-1.757682,-1.603652,0.3874873,-0.7055781,-0.5056888,-0.1400028,2.156248,1.779811,-0.2599535,s,s,c
0.6662800000000004,0.2198197,0.1941492,-0.1379246,0.2731901,3.734353,-0.1153595,-1.964735,-0.6347368,1.085972,-0.837057,-0.9813885,-0.3558178,-0.7318872,-1.760134,-1.027036,-0.4952625,-1.233016,-2.984535,0.204783,-2.173984,-2.564999,0.1259056,0.6023554,-1.828705,-0.04382598,3.006752,2.151363,-1.459724,s,s,c
0.732908000000009,-0.0536343,0.6829659,0.004739645,0.2268949,2.342037,0.8843945,-0.5674734,-0.0770454,0.6573272,-0.594695,-1.500549,0.3881032,-0.3920373,-0.566052,-0.850381,-1.354957,-0.6954424,-0.09125736,-0.7137083,-2.04072,-1.989403,0.351365,-0.4168877,-1.034295,-0.8733159,1.456546,1.947755,-0.8446856,s,s,c
0.7995360000000176,1.091233,0.6740156,0.09067034,0.365552,2.480649,0.3894651,-0.6113716,-0.6375211,1.423276,-0.96708,-1.271943,0.1712074,-0.6010504,-0.3931907,-1.323138,-1.347016,-0.5123065,-0.3967445,-0.7144708,-2.604198,-1.932237,0.1273037,0.06243118,-0.9367556,0.3638633,0.9997169,2.247458,-0.6035742,s,s,c
0.8661639999999977,0.2798958,0.0328193,-0.004572999,0.3577853,1.121506,0.4335299,0.6713794,-0.1058532,1.081927,-0.5355127,-1.117419,0.5508521,-0.3691357,-0.33129,-0.6123191,-1.120584,-0.8634735,-0.5979578,0.7329271,-2.344419,-1.86918,0.3454119,0.3518906,-0.2453074,0.4515953,1.43199,1.651833,-0.7780021,s,s,c
0.9327920000000063,-0.1222363,1.137462,-0.2979453,0.2061347,1.940514,0.645252,0.4815612,-0.5905944,0.963432,-0.4179269,-0.5727547,0.6434,-0.09110167,-1.193859,-0.5479352,-1.103635,-0.4698493,-0.5373381,0.1604541,-1.810714,-2.200111,0.3209848,-0.5607483,-0.3956753,-0.8956733,1.135442,1.354492,-0.5905902,s,s,c
0.9994200000000149,0.1466727,-1.822733,0.5884767,0.3340715,1.227474,0.7096146,0.4416877,-0.5947239,0.6444725,-0.5619479,-1.45085,1.169153,0.6017284,-1.035576,0.3368139,-1.296888,-0.8851067,-0.1887338,0.2485767,-2.025698,-1.884201,0.3610047,0.1141543,0.2403397,0.525551,1.545203,1.311731,-0.3781869,s,s,c
1.0660480000000234,0.2555673,-0.05743436,-0.4493635,-0.1589899,0.8480885,0.5401224,0.363741,-1.16295,0.9439906,-0.8723836,-0.8036211,0.02018991,-0.2711226,-1.139189,-0.03155915,-1.188571,-0.3576422,-0.7172865,0.03750103,-2.349764,-1.58487,0.03161739,0.227952,-0.1639106,0.3526702,1.48583,1.500999,0.006294435,s,s,c
1.1326760000000036,0.8337391,0.5154101,-0.6812456,-0.2637485,1.924284,0.2156398,1.204532,-0.4071738,0.5486851,-0.6621159,-0.947696,0.06583295,0.7260364,-1.22384,-0.9786923,-1.251332,-0.4429401,-1.161891,-0.2711407,-2.032609,-1.665304,-0.08040655,-0.3882616,-0.4758748,-1.379677,1.294326,0.6753072,-0.5487619,s,s,c
1.1993040000000121,0.6365242,0.3347564,-0.4089045,-0.2405012,1.546503,0.8789517,1.316553,-0.1902713,0.3059882,-0.8157122,0.5058234,0.02815492,0.6880034,-1.731086,-0.9009013,-1.368255,-0.5403528,-1.939304,0.01257019,-1.360566,-1.557412,-0.0431752,-0.8809518,0.2137595,-0.3734078,0.8904836,1.05315,-0.5526443,s,s,c
1.2659320000000207,0.3339016,-0.4485953,-0.7937893,-0.5496371,0.5565872,0.5311418,0.2132317,-1.068714,-0.2713471,-0.8353294,-0.06252146,0.2495049,0.6883416,-0.6937836,-0.6657467,-1.328883,-0.3978958,-0.8699923,-0.3278029,-1.628169,-1.354188,0.08914287,-0.4915668,0.6608804,0.4931553,0.7215479,0.4511307,-0.05811748,s,s,c
1.3325600000000009,0.07865521,-0.9009039,-0.391348,-0.09208309,0.5846316,0.6129075,-0.1386023,-0.8276923,-0.06238416,-0.9362124,-0.256041,-0.1151652,0.4617901,-0.5392975,1.72423,-1.42129,-0.5143731,-1.453931,-0.3933,-1.460697,-0.8764522,0.1414256,-1.123041,-0.1834859,-0.3519332,0.9184837,0.5123576,-0.1345262,s,s,c
1.3991880000000094,0.1336431,-0.5465763,-0.3581964,-0.2824233,0.8577234,-0.1158365,0.4197422,-1.167137,0.02767053,-0.7413687,-0.2497459,0.1261955,0.4294076,-1.606288,3.274895,-1.226622,0.02690832,-1.452183,-0.8131217,-1.772936,-1.163224,0.157437,-0.9561595,0.4558183,-0.6531348,0.6737651,0.6740382,-0.3758522,s,s,c
1.465816000000018,-0.2621762,-0.3800405,-0.1313498,-0.08499669,-0.4321864,-0.1158763,-0.202059,-1.091429,-0.08757778,-1.049889,-0.2513897,1.097691,0.4852197,-0.9327233,2.485408,-1.056459,0.1892072,-1.773356,-0.8128278,-1.902645,-1.194972,0.2180556,0.06708668,-0.07332212,1.095942,1.733814,0.3580242,-0.2254515,s,s,c
1.5324439999999981,0.3886426,-0.1186379,-0.02152009,-0.3847717,-0.7166641,0.7467763,0.1551081,-2.259668,-0.344689,-0.9985721,-0.003574523,0.1005893,1.07119,-0.1825124,2.207417,-0.943074,-0.4156177,-1.927233,-0.6710693,-0.0008014273,-1.155835,0.4283656,-2.013269,1.320239,-0.7439986,0.270072,-0.08869521,-0.731281,s,s,c
1.5990720000000067,0.4220393,-0.4253559,-0.8662834,-0.2845173,0.250033,0.2688279,1.085009,-1.652526,-0.2719441,-1.056865,-1.412431,0.1970319,0.310391,0.3051153,1.736086,-1.084677,0.02248049,-0.5308307,-1.051508,0.105924,-1.159591,0.2041185,-2.224492,0.5900571,0.2968114,2.382756,0.1157576,-0.04471373,s,s,c
1.6657000000000153,-0.4095351,-0.06778167,-0.3317381,-0.4363513,-0.142571,0.3198594,1.321752,-0.3512935,-1.203318,-0.6083043,-0.7410743,0.9537483,1.144773,-0.04774781,0.5807555,-1.199792,-0.08683243,-2.085601,-0.4973852,-0.2223952,-1.445977,0.1296727,-1.513222,0.315279,0.5985508,2.597078,-0.3997439,-0.7856691,s,s,c
1.7323279999999954,0.1240193,-0.6067791,0.7377084,-0.2081384,-0.6008735,0.1758772,0.1713557,-0.4404238,-0.5974302,-0.6286028,-0.6432126,0.2837608,1.376321,2.547825,0.2528689,-1.188461,-1.05898,-1.864425,0.2678984,0.5319616,-0.9196258,0.08746012,-0.6054326,0.2055076,0.5671542,3.056617,0.4265438,-0.6489576,s,s,c
1.798956000000004,-0.1816125,-0.6246375,0.04693509,-0.3879215,0.6479779,-0.1293222,0.08673324,-0.671338,-0.7465452,-1.065603,-0.6375049,0.7344704,0.3206687,2.717623,-0.2204173,-1.316711,-0.6240852,-2.328908,-0.3475852,-0.2377436,-1.219993,-0.08534633,-0.7842011,-0.2837695,0.2860561,2.847942,0.3165125,-0.1453384,s,s,c
1.8655840000000126,0.2418312,-0.6104863,0.2928704,-0.8265282,-0.4580567,0.1220414,-0.04989832,-0.3037275,-0.6134793,-0.7148638,-0.9352297,0.9007735,0.4256841,3.115241,0.3182778,-0.910711,0.2084353,-1.888302,-0.1353036,-0.7534083,-1.543715,-0.04732489,-0.8105798,-0.6419211,0.4742709,3.143373,0.4233492,-0.7808032,s,s,c
1.9322120000000211,0.6235196,-0.8999686,0.2068229,-0.4910581,-0.4692858,-0.05734661,-0.08632932,-0.7804133,-0.6637014,-1.09587,-1.563951,1.595662,-0.3075153,3.785926,0.3097896,-1.248646,0.3106593,-2.53997,-0.9262338,-0.2075188,-1.298805,0.04242027,-0.8260077,0.8495651,0.2574854,3.191115,0.3992529,0.4260888,s,s,c
1.9988400000000013,0.1382675,0.1127018,0.5668765,-0.599286,-1.156662,0.4427623,-1.043345,-0.639956,-0.4019968,-1.055363,-1.900079,0.3169612,0.1765457,4.697884,0.5751848,-1.39199,-0.2911696,-3.485125,-1.088825,0.2566562,-0.9120612,0.0444321,-0.6898475,-0.3074354,-0.07969285,4.059492,0.4987987,-0.104071,s,s,c
2.06546800000001,0.09009917,-0.3156758,0.1641259,-0.8123915,-0.6184445,0.4777603,0.5363521,-0.04182485,-1.225818,-1.017787,-1.866665,0.20166,0.9322371,5.776344,0.9722944,-1.210977,0.01687477,-2.632639,-0.9375798,-0.2841258,-1.249181,0.05709061,-1.11927,-0.3205673,-0.1432556,4.045661,0.2271243,-0.9438088,s,s,c
