Frame,C009,C025,C013,C005,C029,C004,C012,C008,C003,C019,C022,C018,C002,C014,C001,C017,C037,C021,C020,C036,C016,C000,C031,C007,C011,C010,C006,C030
0.66628,0.5712036,-0.4593509,0.08806547,0.5110069,0.773461,-0.4314942,1.078579,-0.7674922,-1.552215,-0.1490648,0.1960668,-1.134253,-0.3972948,-1.102334,-0.6578265,0.3965243,-0.4261642,-0.2239297,1.744434,0.7637314,-0.4187314,-0.5704079,1.790192,-0.8154608,-0.06925064,-0.346187,-0.1826946,2.381052
0.732908,0.3259048,0.2815858,0.1116309,1.58347,-0.5202767,-0.8305539,-0.04001345,-1.026624,-1.751773,0.02388359,0.5330319,0.09306677,-1.159882,-0.3263839,0.6022491,-0.139327,-0.1150552,0.8520128,1.069742,0.5913495,-0.5258853,-0.5809051,1.920464,-0.07381472,0.9106067,-0.8659767,0.6068976,2.387549
0.799536,0.1296722,-0.1456375,-0.2234702,1.089207,-0.9557583,-0.6890699,0.2225111,-0.5522472,-2.150134,-0.1908701,0.2921126,0.3998987,-0.7334216,-0.3172488,-1.086157,0.1473513,0.001740313,0.1400709,0.8768451,1.569404,-0.593648,-0.6677856,1.049824,-0.5237522,1.125144,-0.5115411,0.6757141,3.021302
0.866164,0.2246333,0.159875,0.7009307,0.891502,-0.4891824,-0.2958212,0.3812502,-1.097254,-1.601726,-0.1703299,0.2742099,0.1876668,-0.8378284,0.9300105,-0.4724482,-0.06928033,-0.441479,0.1960644,0.9214087,1.409671,-0.996675,-0.5882866,1.421611,-0.8129721,0.430023,-0.7477571,0.7337861,3.373023
0.932792,0.1882354,0.5198978,0.2435618,1.073053,-0.3490469,-0.5528021,0.4663874,-1.011623,-1.310977,-0.2175536,0.726977,-0.1992043,-1.147454,1.872908,-0.5409665,-0.2985772,0.00222447,0.1846072,0.6317844,1.563664,-0.6675674,-0.7421116,1.894497,-0.5287668,0.6565701,-0.8403365,1.117358,3.650734
0.99942,0.5921156,0.2001114,0.8889112,0.3239663,-0.6070968,-0.5116216,1.120518,-1.426135,-1.261963,-0.3500226,0.4099271,-0.5936641,-0.6396213,2.334011,-0.8472727,-0.05712527,-0.1035146,-0.2713683,0.737976,1.979586,-0.9151512,-0.750769,2.8404,-0.758113,0.6745097,-0.4025354,0.1582689,3.738509
1.066048,-0.3584972,0.7425018,1.268954,0.6996135,-1.959601,-0.7080935,0.140694,0.10966,-0.05993731,-0.03414866,-1.667769,-1.345955,-0.5895616,4.550626,-0.3684716,-0.08820377,-0.175605,2.01669,1.497627,2.637661,-0.4588246,-0.8088041,3.28238,-1.501163,-0.08207598,0.09356742,1.042004,4.006828
1.132676,0.4728037,0.8770496,0.8744593,0.5913038,-1.170992,-0.8916296,1.538751,-0.9717054,-0.9011528,-0.5165187,0.5981957,0.6819203,-0.2170075,4.067235,-1.472625,0.03500622,-0.005191167,1.189039,1.351722,1.735394,-1.290228,-0.8087356,4.517445,-0.7720702,1.285314,0.04840364,1.837922,2.492425
1.199304,0.8938797,0.4912604,0.8065,0.5137406,0.1746142,-0.245774,-0.2357774,-0.1482259,-0.8404101,-0.3171343,0.2330731,-1.205285,-0.5340666,4.994565,-0.8922119,0.6974752,0.01404055,0.06731386,0.8999399,1.241627,-0.7582456,-0.7864783,3.301168,-0.8697625,1.359991,-0.1532652,2.036976,2.250057
1.265932,0.2426584,0.1867734,0.3840655,-0.3753554,1.088608,-0.7328694,-0.1907094,-0.7877343,0.404993,0.03964672,0.5376802,-1.069591,-1.773555,5.950327,-2.143013,0.8141801,-0.2168165,1.163051,-0.1102793,1.238443,-0.8360335,-0.5988764,4.818858,-0.1457832,1.737311,0.8209113,2.421861,3.028916
1.33256,0.4464307,0.6773874,0.2482663,0.207486,-2.018574,-0.1658391,0.9376068,-0.424728,0.2274058,-0.2638804,-1.43128,-0.9395701,-0.5381163,5.820315,-0.4003282,0.7842625,0.2712959,-0.003059174,-0.01361269,0.8744793,-0.5580448,-0.5557989,3.089476,1.029925,-1.356891,-0.268458,1.228929,2.628768
1.399188,0.7144677,0.5542527,0.9428075,-0.003012992,-0.01612419,-0.07396428,0.3017975,-0.3778259,0.3254833,0.04820075,-0.02463754,-0.8407735,-0.5436401,5.823305,-1.789334,1.147936,-1.071223,0.3618254,0.5707039,0.3829544,-1.144289,-0.6888242,2.907625,-0.2493777,-0.5890802,-1.090748,2.362925,2.253665
1.465816,0.3118612,0.3376909,0.3914691,0.1393525,0.1264348,-0.5635407,0.3462953,-0.2152621,-0.804473,-0.09564332,0.2031627,0.2501989,-0.1807578,3.816162,-1.526778,0.8657395,-0.2929941,0.9844377,0.5028542,-0.09502358,-1.016449,-0.7185723,2.667026,-0.6105542,-1.042498,-1.024333,1.504194,1.52293
1.532444,1.228254,0.1900561,0.9546849,-0.4697335,-2.181526,-1.201169,-0.8751222,-0.2605396,-0.01216374,-0.03512593,0.0821499,-0.5651628,0.2931881,6.788078,-2.029212,0.1821191,-1.153471,0.228114,0.4120223,0.456511,-0.2136735,-0.5816918,2.366006,-0.5587166,0.146838,-0.4968685,1.465585,1.718926
1.599072,1.615091,0.3523109,1.087546,-0.5830153,-0.291081,-0.208414,-0.07773843,-0.3148121,0.3079165,-0.2922236,0.2264041,-0.8556144,-0.08481732,3.691889,-1.863738,0.5374617,-0.6054896,-0.04862061,-0.4027849,0.5525397,-1.432539,-0.564747,3.327276,-0.8329692,1.683496,-0.6233621,1.105124,2.077893
1.6657,-0.04334749,0.2259132,0.7823519,-0.2828937,-0.7906038,-0.4099839,0.1455647,-0.5092964,-0.6140195,-0.01444325,0.5112091,-1.245498,-0.3741541,2.998601,-0.8389625,0.4641423,-0.6778743,0.326075,0.7175822,0.4626668,-0.8068617,-0.6504233,2.278254,-1.374446,-0.3784296,-0.1814681,1.523894,1.990853
1.732328,1.732835,0.4602243,0.2859378,-0.1038978,0.1887665,-0.173637,0.5600902,-0.0817335,-0.127629,0.1979108,0.4656838,-0.6158299,-0.4058572,4.251259,-1.899727,0.4376243,-0.7507397,-0.8555535,0.5640156,0.1090806,-1.024613,-0.4687915,1.886554,-0.9808455,-0.5039178,-0.8474839,1.410975,1.446453
1.798956,0.9205987,0.4729085,0.3391581,0.4090182,0.8172042,-0.4819488,0.04263055,-0.7939595,-0.3322055,0.1142583,-1.253148,-0.9885143,-0.09819794,2.632804,-0.05742726,0.3047772,-0.822603,-0.0887301,0.1979082,0.1297774,-0.9690773,-0.425954,1.434907,-0.7940911,-0.2579539,-0.7937057,1.263134,1.405846
1.865584,0.8126109,0.4448311,0.645735,0.4160851,0.9908158,-0.004704013,1.216442,0.2926565,-1.308648,0.2468282,-0.1373837,-0.8854023,0.103405,2.317748,-0.7079201,0.3682905,-0.7233938,-0.9717007,-0.1313916,0.3697775,-0.6217031,-0.5671551,1.563311,-0.8720692,-1.524438,-1.189649,1.158764,1.82636
1.932212,0.088882,0.2965029,0.7220453,0.6587487,0.4505069,-0.7954217,1.015789,-0.2742725,-0.390946,0.196401,0.003826696,-0.6229675,-0.3606463,2.42934,-0.5610294,0.2008439,-0.3640249,-0.1627115,0.08265445,0.2578193,-0.9209275,-0.5980989,2.004799,-1.216229,-0.9738507,-0.914695,1.007012,1.836417
1.99884,0.2649726,0.2033614,-0.06226885,0.2134244,-1.105915,-0.1705415,0.999095,-0.7109853,-0.6021714,0.1365324,-0.25438,-0.1021761,-0.02810458,2.965033,-0.8797443,0.08425705,-0.3432736,-0.182326,0.2844781,-0.2712982,-1.243518,-0.3633085,1.364713,-1.395707,-0.5522242,-0.7984713,0.8103066,2.64233
2.065468,0.6171471,0.7608675,-0.08033144,-0.3451625,0.223001,-0.1479544,1.413357,-0.8456034,-0.2019968,0.2644653,-0.2210964,-0.6208526,-0.5000945,2.046188,-0.1386276,-0.1661178,-0.0593836,0.5708297,-1.004973,-0.5225259,-0.800241,-0.3132577,1.471375,-0.5085035,-1.349011,-0.8251212,0.01564002,3.893215
2.132096,0.9041419,1.591407,-0.09556083,1.014108,-0.6445722,-0.1407907,2.243263,0.05174531,-0.476265,0.1807868,-0.4865235,-1.535791,0.1637645,1.12655,-0.5733044,-0.6159355,-0.3018368,0.6720622,0.1559649,-0.1863872,-1.190112,-0.4836761,0.03277568,-0.611984,-0.6593295,-0.9994004,-0.006406072,2.607491
2.198724,0.05254382,0.6665158,0.1933393,1.640424,-0.1774316,-0.04979746,1.456548,-1.253835,-0.3094109,-0.168907,-0.2521048,-0.3023879,-1.035261,1.890853,-0.3942027,-0.74976,-0.4876254,-0.2205058,-0.03134817,-0.7232917,-1.011389,-0.6041137,0.1451547,-0.4244685,0.1093238,-2.083072,1.293085,2.967237
2.265352,0.04779467,0.6125283,0.02607605,0.9843311,0.7467205,-0.0002652759,1.538169,0.1473901,-0.7710627,0.3655451,0.3263717,-1.89478,-0.4367174,0.1138998,-0.6494426,-0.7961202,-0.2965079,-0.08823495,-0.1631974,0.05644441,-0.6763496,-0.4449986,-0.2073074,-0.3947118,-0.2433242,-1.383766,1.203812,4.558284
2.33198,-0.1319303,1.086592,-0.06388315,1.645412,-0.5180438,0.2963534,1.937135,0.3471098,-0.3328366,0.5303726,0.09058811,-0.7285588,0.03414946,0.4893634,-0.6394584,-0.2947773,-0.2409464,0.6953289,-0.5173321,0.1420569,-0.6676443,-0.6480089,-0.7193294,-0.7670903,-0.008015297,-1.05927,0.5551207,4.428936
2.398608,0.3875121,0.9217855,-0.08997465,0.992211,-2.938359,0.08872136,1.09312,-0.3192105,-0.1696364,0.3436477,-0.003463731,-1.180322,-0.09180424,1.685711,-0.7179075,-0.9309295,-0.4963332,-1.018083,-0.3035159,0.1366207,-0.3858234,-0.8906003,-2.41656,-1.035553,-1.682164,-1.631067,0.7365553,4.494362
2.465236,-0.1164981,0.3268452,0.05190509,1.14046,0.0352543,0.2579395,0.6303272,-0.1157573,-1.298571,0.2869231,0.6100637,-1.325438,-0.4303176,0.4312486,-0.06035958,-0.2540019,0.3981256,-0.3840304,-1.057694,-0.356269,-1.080629,-0.5870754,0.4988614,-1.158693,0.5713683,-0.8521863,0.9807669,3.450871
2.531864,-0.543229,0.1442441,0.3055409,0.4327188,-0.6522732,0.3918699,0.3606913,-0.6723547,-0.4903896,0.3587516,-0.3052123,-1.099686,-0.7887794,-0.002100955,-0.7790637,-0.5079842,-0.09558214,-0.3497661,-0.6474609,0.04659399,-0.9002747,-0.4798777,-0.5472244,-0.8764166,-1.226972,-0.9833212,0.7396615,3.790932
2.598492,-0.04259578,-0.6691372,0.5356588,1.721366,-0.8457656,0.1404926,0.8555865,-0.2625643,-1.121536,0.4667768,0.04824218,-0.3376782,-0.00592264,1.086766,0.0431549,-0.605001,-0.3479997,1.000119,-0.5072016,-0.7472335,-0.7890716,-0.4326663,-0.7671297,-0.2471441,0.7283363,-1.22092,0.02337606,2.904892
2.66512,-0.8760552,-0.2587964,1.021125,1.932509,-1.111881,-0.4314182,0.7706974,0.3352038,-0.4636239,0.1892976,0.8170456,-1.762512,-0.3129537,-0.3161701,-0.4988501,-0.8239086,-0.575866,-0.03700432,-0.1559953,-0.4238903,-1.428856,-0.7409469,-0.5539021,-0.506254,0.4342383,-0.7434766,0.4532032,2.329785
2.731748,0.624324,0.008937521,-0.2349899,2.497464,-0.6905095,-0.8014112,0.2268862,0.2235655,-0.5043594,0.2369214,0.4111163,-1.182004,-0.4048384,-0.5934905,0.08432432,-0.5035574,-1.019337,0.08882499,-0.9420105,-0.5044084,-0.6302935,-0.5574351,0.2653357,0.009116807,0.3723044,-1.616364,0.7263727,2.256588
2.798376,-0.2213858,1.090253,0.3809684,2.800467,-0.9230411,0.6295934,0.5972225,-0.9763926,-0.6994745,-0.3061562,-0.05611041,-1.620424,-0.7341488,0.2753638,0.007127299,-0.8864637,-0.7408848,1.386946,-0.3941742,-1.131712,-1.077523,-0.4025988,-0.6478725,0.8258455,-0.4951628,-1.849796,0.668247,1.698673
2.865004,0.2605575,0.282411,-0.1064104,1.603462,-0.1424016,0.1743472,0.05914126,-0.108237,-0.849561,-0.08071347,0.1554396,-0.7550215,-0.3438736,-0.6145623,0.3199525,-0.8518037,-0.3947548,0.1801271,0.3631163,-0.5509766,-1.651078,-0.234974,0.2481895,-0.01862578,0.2319019,-1.650436,0.0545264,1.893381
2.931632,-0.3044067,0.2839954,0.361315,2.534323,-0.5078779,0.5920472,0.8857851,0.06984711,-0.969739,-0.0296618,0.1160852,-1.693492,-0.7213386,-0.719786,0.944536,-1.069264,-0.1509277,0.9858005,1.117592,-1.229295,-1.157282,-0.2306125,-0.4693601,-0.2280027,-0.1346747,-2.325112,0.4038174,1.175152
2.99826,0.07631044,0.1522071,0.728436,2.154562,0.7003105,0.07142095,0.221645,0.4217913,-1.238359,-0.3121854,0.5151814,-0.09065627,-0.4408372,-0.6995202,-0.3845924,-1.081638,0.06099345,0.5327682,0.7417754,-1.022467,-1.378842,-0.5852817,-0.1458473,-0.3100246,-0.1597733,-1.5092,0.305705,0.8227167
3.064888,0.352554,0.4099961,0.07344018,2.093531,-0.5643437,0.1169965,0.6731749,0.02796813,-0.8500611,-0.02449502,0.2272187,0.05823744,-0.6801738,0.04799178,0.2326744,-0.8806049,-0.1341991,0.2079407,0.9848905,-0.4459811,-1.241982,-0.3221489,-0.1385089,-0.4979867,0.6201466,-1.88908,0.1726751,1.308846
3.131516,0.2019729,0.5048271,-0.2079982,2.332562,0.03942197,0.09660713,0.8916942,-0.1729624,-0.3488832,0.08626966,-0.5518883,-0.0371956,-0.610957,0.2769123,0.07166104,-0.9850235,-0.3770498,0.06787755,0.277931,-0.7344751,-1.348276,-0.5806899,0.08859681,-0.03064492,-0.468482,-1.568079,0.7270842,0.4955074
3.198144,0.05279473,0.4309199,-0.045192,2.298258,0.529776,0.03148115,1.316278,-0.02449328,-1.301179,-0.1213419,-0.2274298,-0.5965464,-0.04082671,0.3790257,-0.5687777,-1.038243,-0.3430892,0.3683938,0.995509,-0.6673586,-1.581212,-0.5359077,0.3677322,0.151277,-0.6588232,-1.51348,0.4779987,0.1808398
3.264772,0.4515982,0.6681973,-0.3184137,2.036493,0.4589674,-0.03667171,0.852026,0.09970241,0.256699,-0.005499427,-0.1783925,-0.0964385,-0.3024155,-0.2158232,-0.2559302,-0.7053883,-0.06481637,-0.2806948,0.7021402,-1.267228,-1.672176,-0.6896017,0.2740713,-0.510855,-0.7674143,-1.344077,0.5619817,0.1906587
3.3314,0.2392863,0.9370331,-0.1055009,1.866543,0.2185983,-0.1607137,0.7705857,0.3490865,0.01858044,0.3243017,-0.4757333,-0.3848024,0.3985722,0.6439574,0.1884582,-0.855001,-0.3729236,-0.3436979,0.7816284,-0.8085762,-1.353555,-0.4611515,-0.1082101,0.04021181,-0.6534193,-0.9844261,0.1538218,-0.2913756
3.398028,0.6941077,1.670316,0.09576368,1.8866,-0.3886865,-0.1203659,1.520669,0.1383787,0.1917438,0.1217733,-0.0768529,-0.499735,0.01126978,0.3189202,-0.9351696,-0.6862055,-0.4517262,-0.2509313,0.7415839,-0.8111725,-1.561166,-0.7032166,0.373752,-0.6444896,-0.608624,-0.7458679,-0.158534,-0.4152272
3.464656,-0.03309133,0.03377114,-0.2767421,1.810079,0.04844837,-0.6176589,0.6957787,0.4116347,-0.06001961,0.0693859,-0.1687027,-0.2181135,0.2843041,0.5810793,-0.1245919,-0.6667036,-0.4827594,-0.4552397,0.8415594,-0.7730309,-1.232448,-0.5559836,0.1892861,-0.04479913,-0.4761091,-1.04298,0.3911994,-0.5581384
3.531284,0.3688247,0.4076186,-0.4722705,1.842102,0.2657215,-0.164903,0.7935537,-0.5474511,-0.007437547,0.2825562,0.5953962,-0.5127776,-0.4528417,-0.08264714,-0.6279598,-0.003372292,-0.2204659,-0.04791499,0.9632142,-0.884667,-1.510139,-0.474303,-0.3642123,-0.07328323,-0.8856179,-0.3427443,0.186128,0.06320121
3.597912,0.3703952,0.7463984,-0.5226252,1.440627,0.4492676,-0.3804016,0.2581058,-0.08293205,0.1619951,0.5996034,0.1012097,0.03996039,0.1602778,-0.1953672,-0.4628706,0.07411806,-0.6042271,-0.3513133,0.1415326,-1.148504,-1.14599,-0.5429999,-0.7090377,0.4540062,-1.125144,-0.6497419,0.2465745,-0.2845564
3.66454,-0.1614173,1.3689,-0.8152208,1.626779,-0.1110911,0.04940636,0.2289859,-0.04425379,0.07069602,0.3466012,-0.9388553,-0.4430501,-0.6035603,0.05241187,-0.4351653,0.9241329,-0.7687971,0.4988726,0.02046903,-1.152272,-1.935434,-0.5015029,-0.3777692,0.5044406,-0.2949058,-1.041814,0.3503049,-0.4591302
3.731168,-0.04002143,0.103162,0.2674086,1.383374,-0.4110757,-0.3797796,0.5495983,-0.6136642,0.101978,0.1118558,0.4343116,-0.4715971,0.05325434,0.1502686,0.06258541,0.6757734,-0.0583311,-0.3967965,0.251098,-1.126689,-1.363177,-0.5389453,-0.1534895,0.6298409,-0.1016092,-0.9770953,1.64387,-0.1816089
3.797796,0.3341884,0.1477987,0.1576789,1.623623,-0.7251328,-0.1528513,0.2066932,-0.5993922,0.3433371,0.07542972,0.3575149,0.2909519,-0.3207398,0.1121223,-0.2417992,0.4443511,-0.038479,0.2185481,0.3191081,-1.03744,-1.413555,-0.424164,-0.1671156,0.5426188,-0.5555979,-0.6626469,0.9888051,-0.6784801
3.864424,0.5410505,0.7778646,0.2258739,1.557642,-0.533828,0.0305171,-0.1598478,-0.02596991,-0.46315,0.2133085,0.4524911,0.3084132,-0.01949395,-0.07585818,0.001157054,0.1405322,-0.2132362,0.06240267,0.322879,-1.423662,-1.896865,-0.4728028,-0.679377,0.5592093,-0.08004918,-1.043089,0.4841098,-0.5394877
3.931052,0.0380254,0.7123902,-0.6317059,1.380311,-0.1476011,0.5318583,0.8827333,1.26785,-0.06513506,0.952538,0.0862684,-0.2740619,-0.006351966,0.2105716,0.5846746,0.2760153,-0.4101781,0.3818296,0.6235087,-1.221803,-1.389375,-0.4235315,-1.772108,0.07710231,0.3003654,-0.8856534,0.6697062,-0.6012765
3.99768,0.1261619,0.4897949,-0.1097333,1.048729,-0.001322353,0.2469517,1.466655,1.99984,-0.640173,0.4825226,0.4492417,0.7957402,0.4335831,0.9310211,0.2428397,0.2570907,-0.1485592,0.1785548,0.02886475,-1.019608,-1.608503,-0.2424414,-1.008181,1.01082,1.064458,-0.6171432,0.005108282,0.5494818
4.064308,-0.1709079,2.67768,-0.2161318,0.7754067,-2.022635,0.09427643,1.082687,3.691666,-0.4257591,0.1292026,-0.7711895,0.002193022,-0.5138626,0.08371077,-0.09555153,1.071035,-0.01410262,-0.3593422,-0.2548712,-1.22668,-2.205213,-0.3976199,-0.7697237,0.102617,0.4001303,-1.543543,0.05491009,0.7918137
4.130936,0.7024767,-0.7727074,0.7228907,0.7705557,0.1060746,0.3015378,0.6994696,4.919733,-1.354838,0.2573859,0.1115347,-0.5148,-0.02296605,0.207631,0.4945993,1.417435,0.1837237,0.7014165,-0.543471,-1.403288,-1.819388,-0.2428922,-0.8591931,-0.4403564,1.35937,-1.411689,0.8552114,1.689964
4.197564,0.6445761,0.8272879,0.1942719,0.6323785,0.9411653,0.5516764,0.01763081,6.862709,-1.430878,0.7158056,0.8923467,0.2460512,-0.8591195,1.075429,0.3900644,1.77268,-0.05267003,-0.1142858,-0.3740883,-0.7942097,-1.596779,-0.1557064,-0.4140954,-0.2370227,0.7066634,-1.732291,0.8158384,2.186484
4.264192,1.242131,0.3001253,0.9762226,0.4276491,0.5470757,-0.1850435,-0.2526557,9.055848,-2.398887,0.9464698,-0.6805573,0.7398458,0.604243,0.2220293,1.07006,1.552795,-0.02601649,0.6626909,-0.07049809,-0.7629915,-1.515407,-0.1727976,-1.544178,-0.8840358,2.864017,-2.388546,0.822453,2.013777
4.33082,0.557373,0.05630098,-0.5563842,0.1462214,0.7066849,0.06747764,0.7310239,6.805936,-1.445531,0.4475597,-0.1432071,0.4837689,-0.2531088,0.1933302,0.9192287,1.375215,0.4151487,0.0336982,-0.6501831,-0.9912069,-1.734411,-0.1580898,0.2355492,-0.1593298,0.4943177,-1.467616,0.6060614,1.564728
4.397448,0.05985608,0.05926383,0.1446367,-0.07057863,-0.6657045,0.5844471,0.1331208,7.539368,-1.069368,0.3506691,-0.4874585,0.673908,0.2745797,0.6026124,0.9610761,1.314731,0.8363039,-0.4732251,-0.4362337,-0.1773907,-1.73562,-0.253199,-0.001055108,-0.6163996,-0.1116856,-0.6868304,0.3835295,1.432405
4.464076,1.024597,0.214185,0.03494237,0.3241991,-0.05222512,0.07968272,0.8451172,8.232231,-0.7976421,0.3636614,-0.6568654,0.6084507,0.6133931,0.1288346,0.4104211,1.348327,0.2311381,-1.058072,-0.5878031,-0.4576676,-1.542893,-0.2037678,1.052787,-0.3670231,0.304796,-1.215656,0.3458912,1.150975
4.530704,0.6648633,-0.9883628,0.5865451,-0.06836438,-0.1116042,0.7416595,0.4618741,6.953607,-1.171923,0.2704884,-0.1662273,2.694652,0.5316489,0.2791278,1.209008,0.8354747,0.2944759,-0.09602343,-0.4483856,-0.2262196,-1.618963,-0.07361515,1.935555,-0.6075934,0.9411483,-0.5227488,0.3786589,1.937293
4.597332,0.8264625,-0.3486263,0.06199369,-0.07836637,0.3743472,0.3941037,0.6378635,7.239196,-1.062742,0.526886,0.2504908,1.611743,-0.1223226,-0.3226646,0.2980175,0.6054507,0.255009,-0.5706003,0.1739898,-0.6321297,-1.466558,-0.2167744,1.68731,-0.3517478,-0.5416117,-1.077935,-0.2513476,2.32741
4.66396,0.9263357,0.009211728,0.2599,0.01389516,0.722415,0.3906775,0.3953709,7.42172,-1.226784,0.3367147,-0.08590335,1.537475,0.2613654,-0.6654302,0.9912818,0.5975257,0.008850612,-0.4862163,0.5818337,-1.008821,-1.70789,-0.3554218,2.062642,-0.7390768,-0.1109007,-0.9753131,0.01993665,1.574686
4.730588,1.14006,0.160834,0.3195989,-0.2535789,1.19664,-0.08554087,0.6923646,6.77246,-1.079247,0.05833066,0.9411592,1.910179,-0.1812812,-0.3847208,0.8290781,0.286653,0.4800206,-0.802146,0.01664189,-0.4645695,-1.171463,-0.4731036,1.681567,-0.2414455,-0.5005341,-0.5823815,-0.1526246,1.675363
4.797216,0.3500753,0.4837752,-0.2296554,-0.6959303,0.007377273,0.1850652,0.6020848,6.667397,-0.7735506,0.09957417,-0.2838818,1.531134,0.1108879,-0.7025449,0.4687676,0.1407527,0.01456403,-1.452068,-0.6096423,-0.7283886,-1.662956,-0.3716106,1.49726,-0.5686519,1.144068,0.09686899,-0.1011838,0.8450774
4.863844,0.1815057,0.2046494,-0.1632194,-0.8267311,0.7477804,0.4324833,0.5772402,5.473538,-0.07676738,0.6664233,-0.1039896,1.430756,1.271252,-0.9554958,1.452846,-0.1326817,0.257365,-0.4953924,-1.09079,-0.5913138,-1.560256,-0.4008206,0.5731496,-0.728893,0.2927294,0.0766959,-0.5856968,1.312607
4.930472,0.7750366,0.4974345,-0.8072907,-0.6291351,0.5662345,-0.3083612,1.397774,5.022821,-0.3222552,0.6060608,-0.03693284,1.915622,1.267154,0.000710452,0.8335929,-0.07197639,-0.0862871,-0.5985405,-1.273488,-0.1917278,-1.16531,-0.3652104,0.3612075,-0.6419302,-0.4413774,0.3893826,-0.8644923,0.4366487
4.9971,0.2067054,0.6393945,-0.8100251,-0.4863737,-0.1269131,-0.08384056,-0.03561041,5.303411,-0.2899982,0.2199537,0.3580537,2.118781,0.9269961,-0.5045915,1.063293,-0.2680662,-0.3389191,-0.7174759,-1.20158,-0.69069,-1.277015,-0.4288071,1.228068,-0.7554478,0.2740954,0.5600122,-0.7136436,0.3973417
5.063728,0.2134116,0.3392828,-0.6751034,-0.4636511,0.3713451,-0.4223904,0.5407637,4.292406,0.1471524,0.3045622,-0.3898376,2.262651,1.126401,-0.3886217,1.173923,-0.4182994,-0.2595429,-0.1611606,-0.6381266,-0.6587915,-1.265165,-0.4998976,0.7478138,-0.3426483,-0.1215442,0.3616333,-0.2589101,-0.2380953
