Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,960,50,2,46.8615,1
C001,undecided,255,255,255,566,432,8,35.3553,1
C002,undecided,255,255,255,904,315,1,38.2884,1
C003,undecided,255,255,255,840,315,1,32.8024,1
C004,undecided,255,255,255,501,242,1,42.4853,1
C005,undecided,255,255,255,647,610,1,37.2156,1
C006,undecided,255,255,255,713,395,1,36.7967,1
C007,undecided,255,255,255,735,564,1,35.1283,1
C008,undecided,255,255,255,1125,31,18,41.4367,1
C009,undecided,255,255,255,645,407,12,35.5106,1
C010,undecided,255,255,255,576,165,1,36.2353,1
C011,undecided,255,255,255,1014,393,1,39.0512,1
C012,undecided,255,255,255,862,572,1,30.5287,1
C013,undecided,255,255,255,580,352,1,45.1885,1
C014,undecided,255,255,255,586,402,2,41.7612,1
C015,undecided,255,255,255,556,482,4,37.855,1
C016,undecided,255,255,255,752,259,1,39.0512,1
C017,undecided,255,255,255,709,151,1,40,1
C018,undecided,255,255,255,907,258,1,32.249,1
C019,undecided,255,255,255,655,15,8,38.0789,1
C020,undecided,255,255,255,1006,238,157,14.1421,1
C021,undecided,255,255,255,987,524,1,36.4966,1
C022,undecided,255,255,255,982,291,4,39.5601,1
C023,undecided,255,255,255,7,757,10,41.0488,1
C024,undecided,255,255,255,795,3,7,31.0644,1
C025,undecided,255,255,255,440,192,7,40.4969,1
C026,undecided,255,255,255,1004,244,10,20.2485,1
C027,undecided,255,255,255,731,119,57,16.2788,1
C028,undecided,255,255,255,568,660,5,37.8021,1
C029,undecided,255,255,255,852,291,1,34.0147,1
C030,undecided,255,255,255,356,360,334,3.16228,1
C031,undecided,255,255,255,952,189,4,35.5106,1
C032,undecided,255,255,255,1203,118,1,50,1
C033,undecided,255,255,255,645,177,1,33.6006,1
C034,undecided,255,255,255,889,66,3,46.0977,1
C035,undecided,255,255,255,330,12,3,34.8855,1
C036,undecided,255,255,255,474,94,4,43.4626,1
C037,undecided,255,255,255,673,124,1,47.1699,1
C038,undecided,255,255,255,1182,109,226,19.9249,1
C039,undecided,255,255,255,1213,147,2,51.1957,1
C040,undecided,255,255,255,876,113,65,35.3553,1
C041,undecided,255,255,255,462,231,31,35.5106,1
C042,undecided,255,255,255,645,30,2,67.4759,1
C043,undecided,255,255,255,740,197,307,4.12311,1
C044,undecided,255,255,255,675,62,1,73.8173,1
C045,undecided,255,255,255,697,99,1,53.8516,1
C046,undecided,255,255,255,583,199,1,37.1214,1
C047,undecided,255,255,255,313,197,33,52.9528,1
C048,undecided,255,255,255,532,248,222,3,1
C049,undecided,255,255,255,900,198,1,28.8444,1
C050,undecided,255,255,255,488,306,330,2.23607,1
C051,undecided,255,255,255,641,113,5,45.607,1
C052,undecided,255,255,255,320,91,42,44.1022,1
C053,undecided,255,255,255,839,212,321,7.2111,1
C054,undecided,255,255,255,713,62,11,47.2652,1
C055,undecided,255,255,255,774,162,1,41.4005,1
C056,undecided,255,255,255,695,122,278,5.09902,1
C057,undecided,255,255,255,718,23,3,52,1
C058,undecided,255,255,255,732,179,2,57.7754,1
C059,undecided,255,255,255,577,126,1,34.2053,1
C060,undecided,255,255,255,716,132,3,60.0083,1
