,approachON,approachOFF,retreatON,retreatOFF
C009,0,0,0,0
C013,0,0,0,0
C005,0,0,0,0
C004,0,0,0,0
C012,0,0,0,0
C008,0,0,0,0
C015,0,0,0,0
C003,0,0,0,0
C019,0,0,0,0
C018,0,0,0,0
C002,0,0,0,0
C014,0,0,0,0
C001,0,0,0,0
C017,0,0,0,0
C000,0,0,0,0
C007,0,0,0,0
C011,0,0,0,0
C010,0,0,0,0
