Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,634,263,1,36.7151,1
C001,undecided,255,255,255,504,539,1,35.7771,1
C002,undecided,255,255,255,909,629,1,44.0454,1
C003,undecided,255,255,255,445,178,2,43.9659,1
C004,undecided,255,255,255,311,73,1,47.1699,1
C005,undecided,255,255,255,658,471,1,38.8973,1
C006,undecided,255,255,255,493,424,1,42.5441,1
C007,undecided,255,255,255,339,371,13,41.1947,1
C008,undecided,255,255,255,357,296,1,40.1995,1
C009,undecided,255,255,255,704,675,3,41.0488,1
C010,undecided,255,255,255,482,219,5,39.8246,1
C011,undecided,255,255,255,785,595,17,47.8539,1
C012,undecided,255,255,255,510,209,1,38.6394,1
C013,undecided,255,255,255,343,340,10,46.0977,1
C014,undecided,255,255,255,421,634,1,48.7955,1
C015,undecided,255,255,255,362,228,1,42.0595,1
C016,undecided,255,255,255,450,249,1,42.0476,1
C017,undecided,255,255,255,421,204,4,44.7772,1
C018,undecided,255,255,255,562,174,14,39.4462,1
C019,undecided,255,255,255,530,344,5,41.1461,1
C020,undecided,255,255,255,391,353,1,41,1
C021,undecided,255,255,255,279,348,10,55.3263,1
C022,undecided,255,255,255,383,163,1,64.4748,1
C023,undecided,255,255,255,894,749,2,39.2046,1
C024,undecided,255,255,255,360,261,3,46.0652,1
C025,undecided,255,255,255,502,306,12,47.4342,1
C026,undecided,255,255,255,650,645,1,47.7074,1
C027,undecided,255,255,255,665,74,1,39.1152,1
C028,undecided,255,255,255,376,407,1,45.2769,1
C029,undecided,255,255,255,317,458,3,68.352,1
C030,undecided,255,255,255,783,649,25,48.8365,1
C031,undecided,255,255,255,446,399,1,34.5254,1
C032,undecided,255,255,255,509,406,1,34,1
C033,undecided,255,255,255,329,529,5,37.3363,1
C034,undecided,255,255,255,632,464,66,37.2156,1
C035,undecided,255,255,255,593,62,11,44.9222,1
C036,undecided,255,255,255,597,187,12,57.7235,1
C037,undecided,255,255,255,360,434,2,63.9531,1
C038,undecided,255,255,255,564,430,343,5,1
C039,undecided,255,255,255,963,590,3,45.2217,1
C040,undecided,255,255,255,522,389,4,41.6773,1
C041,undecided,255,255,255,610,222,1,36.2353,1
C042,undecided,255,255,255,630,347,21,35.6931,1
C043,undecided,255,255,255,675,417,316,2.23607,1
C044,undecided,255,255,255,466,404,5,31.3847,1
C045,undecided,255,255,255,491,372,131,43.8634,1
C046,undecided,255,255,255,334,420,1,49.366,1
C047,undecided,255,255,255,616,28,53,28.3019,1
C048,undecided,255,255,255,386,428,40,37.6563,1
C049,undecided,255,255,255,441,429,335,2.82843,1
C050,undecided,255,255,255,377,564,11,39.2046,1
C051,undecided,255,255,255,608,555,1,46.6154,1
C052,undecided,255,255,255,311,407,335,4.12311,1
C053,undecided,255,255,255,828,420,1,34.7131,1
C054,undecided,255,255,255,376,452,3,41.5933,1
C055,undecided,255,255,255,450,354,1,42.9535,1
C056,undecided,255,255,255,774,121,6,72.5672,1
C057,undecided,255,255,255,451,107,368,7.61577,1
C058,undecided,255,255,255,588,305,259,5,1
C059,undecided,255,255,255,734,168,3,70.8378,1
C060,undecided,255,255,255,570,472,18,36.7696,1
C061,undecided,255,255,255,410,136,7,36.6879,1
C062,undecided,255,255,255,246,385,6,68.0294,1
C063,undecided,255,255,255,544,285,13,42.5441,1
C064,undecided,255,255,255,585,326,266,3.60555,1
C065,undecided,255,255,255,485,237,18,37.6563,1
C066,undecided,255,255,255,468,324,3,64.0312,1
C067,undecided,255,255,255,469,197,10,36.0555,1
C068,undecided,255,255,255,462,154,3,38.6005,1
C069,undecided,255,255,255,538,308,26,36.1248,1
C070,undecided,255,255,255,640,177,37,43.9318,1
C071,undecided,255,255,255,399,686,47,36.2353,1
C072,undecided,255,255,255,787,192,16,79.2591,1
C073,undecided,255,255,255,372,5,50,29.4109,1
C074,undecided,255,255,255,770,394,11,31.1448,1
C075,undecided,255,255,255,401,165,10,42.72,1
C076,undecided,255,255,255,719,214,24,62.2896,1
C077,undecided,255,255,255,401,187,28,39.2046,1
C078,undecided,255,255,255,393,293,251,7.2111,1
C079,undecided,255,255,255,414,253,6,44.0454,1
C080,undecided,255,255,255,402,389,24,47.4342,1
C081,undecided,255,255,255,420,279,357,4.47214,1
C082,undecided,255,255,255,470,690,81,50,1
