,approachON,approachOFF,retreatON,retreatOFF
C009,0,0,0,0
C013,1,0,0,0
C005,0,0,0,0
C004,0,1,0,0
C012,1,0,0,0
C032,0,0,0,0
C008,1,0,0,0
C015,0,1,0,0
C003,0,0,0,0
C023,0,0,0,0
C022,1,0,0,0
C018,1,0,0,0
C002,0,0,0,0
C014,1,0,0,0
C001,0,0,0,0
C021,0,1,0,0
C020,0,0,0,0
C041,0,1,0,0
C016,1,0,0,0
C000,1,0,0,0
C031,0,0,0,0
C027,0,1,0,0
C007,0,1,0,0
C011,1,0,0,0
C006,1,0,0,0
