Frame,C009,C013,C005,C004,C012,C032,C008,C015,C003,C023,C022,C018,C002,C014,C001,C021,C020,C041,C016,C000,C031,C027,C007,C011,C006,C026,mouse1,mouse2,contact
0.0,-0.2270695,0.7641603,-0.3866639,0.1975921,2.232495,1.689361,-0.4223598,-0.6064782,1.362366,0.2167672,-0.6613322,0.008159666,-0.07696199,0.2142134,0.01550283,-0.001264656,0.5937343,-0.1335914,-0.6130826,-0.4086381,-0.629329,-0.3424366,0.2788037,0.02694752,-1.579812,-0.1953315,,,
0.06662800000000857,-0.4541397,0.8017437,-0.05834408,-0.006805974,2.539299,1.778394,-0.08445829,-0.2618045,0.4955405,-1.025192,-1.063289,-0.9359956,-0.2588785,-0.2861899,0.1767355,-0.1191012,0.5416185,-0.07936642,-0.8039121,-0.1813411,-0.5528314,-0.8106338,-0.297446,-0.04805585,-1.885519,0.2428231,,,
0.13325600000001714,-0.6857089,0.4514268,0.06514174,0.3282043,2.685674,1.50813,-0.5911672,-0.9172409,0.8077368,-0.9776312,0.4044248,0.3217978,-0.282074,-0.2936445,0.0837303,-0.8708655,0.6644139,-0.1551624,-0.6512479,-0.2196202,-0.7731037,-0.4421135,-0.3390864,0.07508845,-1.569975,-0.904937,,,
0.19988399999999729,-0.355341,0.3065143,0.3234417,-0.3707102,2.314474,1.477143,-0.447289,-0.517095,0.7158384,-0.3415539,-0.3658217,-1.085695,-0.296254,-0.1477374,-0.200279,-0.3626142,1.714037,-0.2698726,-1.021035,-0.1794988,-0.3230175,-0.6082243,0.5758334,0.06246103,-1.748124,-0.4741755,,,
0.26651200000000586,-0.03307037,0.4570169,0.1042897,-0.3486257,2.073873,0.8369476,-0.6677722,-0.6557691,1.152397,-0.6103935,-0.1436756,0.4514444,-0.6139118,-0.1334855,0.02637228,0.02012925,3.004843,-0.07491875,-0.4622932,-0.1143297,-0.4665048,-0.1811765,-0.08860644,-0.1531757,-1.481079,-0.4303381,,,
0.3331400000000144,-0.2281489,0.4584288,0.09570255,-0.5466197,1.71691,1.472196,-0.2800294,-0.6298346,0.2632351,0.2916896,0.01822501,0.1556603,-0.3137861,-0.6219079,-0.01030136,-0.4935945,3.694363,-0.08198408,-0.9379089,-0.2511248,-0.4358902,-0.1093839,0.4560444,0.7367291,-1.694125,-0.4564183,,,
0.399768000000023,-0.3407899,1.127834,0.01299149,0.1585732,2.087269,1.067271,-0.0718127,-0.603165,0.6329654,-0.5181258,0.3492007,-0.02527241,-0.09175843,-0.1561572,0.06478616,-0.6691202,2.593584,-0.2092197,-0.6589565,-0.303602,-0.4935756,-0.591536,-0.484502,1.035483,-1.307193,-0.6321227,,,
0.46639600000000314,-0.06745954,1.745836,0.02427259,-0.2193399,1.59465,1.332351,0.3116926,-0.7885987,0.5881177,-0.05435885,0.3226679,0.7304147,-0.4483969,0.1060243,-0.02559794,-0.3186542,3.898588,-0.3614233,-0.7481522,-0.2389325,-0.2666335,-0.4521064,-0.3689704,0.9122393,-1.393291,0.197757,,,
0.5330240000000117,-0.01774962,1.299618,0.1825391,-0.3685943,1.569212,0.7764363,0.3747248,-0.5481383,-0.2265656,-0.2834941,-0.5952566,0.878156,-0.7104406,-0.1279273,0.1094965,-0.7379888,2.330792,-0.6310447,-0.424201,-0.1542939,-0.5815267,-0.8052853,-0.4810038,0.127629,-1.507984,-0.5092409,,,
0.5996520000000203,-0.3266882,0.686587,0.3412606,0.3662767,2.168413,1.226854,0.3878034,-0.7771927,0.310941,-0.8797401,0.2112154,0.3228966,-0.05882538,-0.3945826,0.1542508,-0.6377122,1.889701,-0.3858563,-0.4122126,-0.1365847,-0.314279,-1.140369,1.069756,0.5461651,-1.959032,0.05971153,,,
0.6662800000000004,-0.3017194,-0.09802879,-0.3243742,0.5700179,1.682858,1.017746,0.284085,-0.5795193,-0.5889328,-0.6245759,-0.5635524,0.04837267,-0.3591966,-0.2620745,-0.006264283,-0.1609702,2.100978,-0.2124904,-0.2812823,-0.09251331,-0.7294776,-0.6794256,-0.4835388,0.0826988,-1.522625,-0.07088243,,,
0.732908000000009,-0.582407,0.3447288,-0.1597169,0.07234442,2.455493,0.9462888,-0.3266321,-0.8631397,-0.6478217,-0.757888,-0.02634811,0.8821831,-0.6421029,-0.4800234,0.02824248,-0.5558685,2.489315,-0.527255,-0.5368726,-0.1525746,-0.5461691,-1.096907,-0.2650148,-0.1506712,-1.64946,-0.9223932,,,
0.7995360000000176,-0.4971674,0.9367651,-0.2576004,0.2114963,2.452335,1.198445,0.07189047,-0.4571685,-0.3753217,-1.125115,-1.264753,-0.1178423,-1.091904,-0.4074287,-0.05877557,-0.602968,1.454722,-0.6105124,-0.6722241,-0.2123465,-0.7179981,-0.9913254,0.3293328,-0.02469381,-1.778122,-0.8887168,,,
0.8661639999999977,-0.6287622,0.2248809,0.07305877,0.3162144,2.018339,1.900152,0.5561028,-1.088449,-0.5836201,-0.7239305,-0.06340757,0.5173941,-0.426043,-0.214069,0.01936956,-0.5508454,1.150655,-0.6497351,-0.7273288,-0.09099007,-0.7259837,-1.247148,0.4334671,0.1361772,-1.827716,-0.6022146,,,
0.9327920000000063,0.3026829,0.6571149,0.317174,-0.01808077,2.284931,1.413186,-0.08372199,-0.8306538,-0.546576,-0.776427,-0.3418148,0.5483074,-0.472303,-0.4345581,-0.211601,-0.5135819,1.349822,-0.6024688,-0.9263777,-0.06965784,-0.7163621,-0.5611218,-0.1180687,-0.4640777,-1.784673,-0.4859356,,,
0.9994200000000149,0.2577774,1.181402,-0.7701258,0.4109665,1.859991,1.001758,0.05222207,-1.01115,-0.09789008,-0.8766837,-0.8323764,-0.05731655,-0.7943352,-0.6197087,-0.09440877,-0.009400617,1.459598,-0.3465334,-1.247209,-0.06768948,-0.5478799,-0.932582,0.328026,0.2180066,-1.462761,-0.6363496,,,
