Frame,C009,C013,C005,C004,C012,C032,C008,C015,C003,C023,C022,C018,C002,C014,C001,C021,C020,C041,C016,C000,C031,C027,C007,C011,C006,C026
0.66628,-0.02914095,0.0945275,-0.5726385,-1.07155,1.301025,-1.496414,-0.8251312,1.268558,0.02474811,-1.141168,2.788217,0.7876267,1.119813,3.153964,-0.09914269,0.5554183,-0.6736844,1.285367,1.45287,-0.4200351,-0.7239648,1.884732,-0.123313,-0.368565,0.06409562,-1.34397
0.732908,0.1416761,-1.682359,-0.6119117,0.9734813,0.4894305,-0.5122975,-1.088851,0.06212081,0.3478248,-0.779615,2.725393,-1.575634,4.727694,4.294526,-0.2384284,-0.02392488,-0.5709869,1.080843,1.027295,-0.7072225,-0.1795015,1.259854,0.4861265,-1.645728,0.9708284,-1.470767
0.799536,0.1731839,2.854734,-0.5842977,-0.4469805,0.7467715,0.6185171,0.09043224,0.2431404,1.524236,-2.937893,4.389073,0.08669081,4.829585,3.988019,-0.1354359,-1.178014,-0.2380779,1.198102,0.7377335,-0.5753877,-0.3763526,-0.2016544,-2.566861,0.6133614,-1.065505,-0.9462789
0.866164,0.3197983,0.2453907,-0.2269859,-1.086871,0.630313,-0.5907106,-0.5478914,0.9666117,-0.3228765,0.05856033,4.408428,0.3373825,4.046603,2.918937,0.02520515,-0.1279272,-0.1100378,1.104639,0.9370586,-0.4218842,-0.00406036,0.788053,-0.7016929,-1.139867,0.7133244,-0.8348815
0.932792,-1.182364,-0.3060584,-0.4315684,0.2170594,0.7172154,-0.1840484,0.1091561,0.5985574,-0.05670617,0.0882175,3.926778,0.8398262,3.10991,2.582257,-0.3146372,0.0773287,-0.6529163,0.650815,0.119613,-0.4589535,-0.3973093,0.5607933,1.418794,0.02907545,0.190848,-1.783123
0.99942,-1.032785,-0.8222445,-0.1340831,0.5356857,0.6923766,0.1838646,0.2761577,0.7428558,0.2936766,-0.5738642,4.112533,0.268129,3.397132,2.814301,-0.0697998,1.611114,-0.2200734,0.8151714,0.2579593,-0.3238446,-0.04133592,-0.3870644,1.288592,-0.3122003,-0.5152118,-0.05592246
1.066048,0.2492026,-0.5353649,-2.394854,1.689807,-0.3073703,-0.6642739,-0.2315178,-0.01697432,0.7257884,-1.28199,5.63894,1.757482,3.463486,1.193406,-0.6316776,2.079655,-0.6131328,0.4398358,-0.1876314,-0.8361499,-0.6784892,1.754726,-1.021553,-1.579077,-1.087596,-1.155372
1.132676,-0.2030735,-0.4418637,-0.8514686,0.8543307,0.7287569,-0.086247,-0.1270631,0.6236677,-0.6529269,-0.3584303,3.816356,-1.154122,2.734287,1.871003,-0.1967846,-0.1516682,-0.3822627,0.4624978,0.03006686,-0.4104995,-0.2716386,-0.2630075,0.5082229,-0.5431783,-0.05184673,-0.6127122
1.199304,-0.5919369,-0.5440674,-1.04006,0.2720393,0.3221688,-0.1372367,-0.6058511,1.600809,-0.8217216,-0.8534442,1.747212,-0.6430811,2.824779,2.118923,-0.2493417,-1.261113,-1.328483,-0.08079673,1.099731,-0.4078313,-0.1626636,0.3468138,0.3412866,-1.923028,-0.006432239,-0.490789
1.265932,0.8936453,-1.478583,-1.575775,0.810254,0.6435418,0.3382817,-0.2056821,1.789396,0.8391681,0.9314849,-0.8759798,1.437389,3.025227,1.236444,-0.3798912,-1.448889,-0.9693829,-0.04283935,-0.392657,-0.3733351,-0.1245551,0.5185064,0.4411197,-2.042328,0.6594633,-1.101442
1.33256,-1.415825,-0.5246044,-0.8399408,-0.2645993,0.3158694,0.0139459,-1.369889,2.007166,-0.6656216,-0.03670218,-1.274271,0.352013,2.043952,0.9618552,-0.2987199,-0.8753209,-0.9090956,0.1630203,-0.1728946,0.2377535,0.4748829,-0.5415873,2.517004,-2.01198,0.2710235,-0.5309365
1.399188,-0.5057856,-0.2903114,-0.6697514,0.7949375,0.8353142,-0.4072639,0.2769849,1.524246,-0.1956096,-0.161003,-1.585191,-0.3566862,2.92044,1.142896,-0.3374726,-0.4021759,-0.3496228,-0.02021082,-0.3273154,2.427258,-0.8903635,0.1826478,-0.542996,-0.8784449,-0.168237,-0.7781585
1.465816,0.2921998,-0.3957055,-0.8439023,0.7807143,0.3013583,0.3472625,-0.7665688,2.218532,-0.415252,0.2661714,-1.021964,-1.606458,2.157343,0.6401032,-0.1834883,-0.4200338,-0.4045493,0.05360251,-0.6433054,4.351809,-0.5420216,0.250636,-0.5689489,-0.4505165,0.127288,-0.7661251
1.532444,-0.6741385,0.2437436,-0.5567273,0.3878901,-0.008983206,0.8200372,-0.3765073,1.826797,-0.06970621,0.4239703,-2.349469,0.04660944,1.912423,0.3280213,-0.211563,-0.5394863,0.4341142,-0.03162885,-1.030161,6.259474,0.02853831,0.3555442,0.02464361,-0.4347759,0.06012391,-0.7221656
1.599072,-0.4665516,-0.494847,-0.8647157,0.128951,0.2757565,0.1580412,-0.1439142,1.709397,0.03714885,0.08088008,-0.9124269,-0.2645697,1.5897,0.4658679,-0.3244008,-0.3056486,0.2939537,-0.2459188,-1.74396,7.627034,-0.1916966,-0.1944634,-0.9122334,0.4869884,-0.1620386,-0.4671319
1.6657,0.7858558,-0.05054635,-0.5050727,0.8952013,0.007237333,0.1293838,0.1554034,0.8268524,-0.1624114,-0.1304162,-1.273309,0.1041265,1.726606,0.199649,-0.4541223,0.3421412,0.131109,-0.1395958,-1.768789,8.37029,-0.4963965,0.165073,-0.8281944,-0.1780518,0.1569138,-0.9840028
1.732328,0.1971541,0.3341884,-0.5936121,0.2440146,0.4982843,0.3293608,0.08789969,0.8772928,0.5252039,-0.08423533,0.2987343,-0.4105342,1.050685,0.2288576,-0.1232984,-0.2826492,0.3818887,-0.4319524,-0.6947317,8.156309,-0.1320711,-0.9815586,0.09216841,0.04257198,0.3177752,-0.3357788
1.798956,-0.1644172,0.01862785,-0.7563812,0.5329173,-0.1289748,0.007704266,0.1413329,1.360183,2.907198,0.3792178,0.1004222,-0.8720876,0.2888965,0.1853997,-0.1809964,0.253073,-0.09853619,-0.4076358,-2.050016,7.803313,-0.4399815,0.2876076,-0.6365581,-0.1134199,0.2660912,-1.097543
1.865584,-0.1036999,0.1823375,-0.7921997,0.1116044,-0.1973789,0.02124953,0.4318717,0.8252652,1.07527,0.3345365,-0.2702086,-0.01930855,0.6206786,-0.04262066,-0.589681,-0.4804392,0.9989333,-0.2364665,-1.81375,7.283317,0.08415069,0.6494724,-0.1331726,0.7861666,-0.1818601,-0.7960348
1.932212,-0.3174938,-1.617291,-0.8112068,0.799842,0.2494917,-0.6208221,-0.6583098,0.9991297,-2.783207,-0.01362518,1.971221,-0.6717465,0.5673425,0.2768937,-0.1258169,-0.3556175,-0.1608038,-0.837127,-1.414725,7.050042,0.3210126,0.7330912,-0.3601944,-1.289403,-0.1056484,-1.117068
1.99884,-0.9113436,-1.910514,-0.8811177,1.101619,-0.1279456,-0.6812537,-0.4044316,0.2702677,-1.105392,0.3778393,3.631599,1.581815,0.2191984,1.353692,-0.3999976,-0.7237593,-0.7935721,-1.019864,-0.9111995,6.639408,-0.04755762,0.9442803,0.5874193,-0.01801891,0.1110786,-1.201369
2.065468,-0.1060174,-0.6264357,-1.358686,0.8666999,-0.3377499,-0.05566939,0.3105991,0.433107,0.929644,-0.7628875,-0.1119014,0.4707333,0.1098662,2.630583,-0.1620938,0.0641791,0.02572452,-0.05541462,-1.411557,6.193382,0.2878149,-0.03936658,-1.046364,-0.2783358,0.4261793,-0.5687266
2.132096,0.4774822,1.768489,-1.065216,-0.3282829,-0.2543369,0.04568615,-0.2110518,0.6651342,0.1575508,-0.1956661,-1.068689,-0.6281925,0.6447383,3.577279,-0.4210029,0.3576271,-0.5540991,0.1517295,-0.8874138,5.566103,0.3138458,0.2737721,-0.4791169,-0.8836482,0.487096,-0.5722131
2.198724,-0.1735231,1.406091,-1.16047,0.5170512,-0.1174575,0.2803068,1.105624,0.6004578,-0.4351373,-0.3408236,-0.9973006,-0.2345118,0.884172,3.605688,-0.2846365,0.342521,-0.1655966,-0.6737316,-0.8804982,5.388465,0.05844121,-0.7718673,-0.7439244,-0.8723344,-0.1646244,0.2879852
2.265352,-0.3580889,-0.9490405,-0.7244554,0.2620075,-0.3023213,0.3061663,0.04853866,0.5051269,0.4662446,-0.3372178,-0.4879654,-1.170015,0.8169938,3.476912,-0.2516986,-1.103449,0.2234829,-0.3980965,-0.9251205,4.827122,-0.1473223,-0.4284734,0.5069579,-0.3677282,0.3776478,-0.05241057
2.33198,0.5617996,0.2725069,-0.7069562,-0.2329097,-0.5155304,0.7526829,0.3113586,1.401968,0.1620834,-0.5934995,0.167816,0.3001603,0.3328494,2.884274,-0.3134775,0.2464017,1.418122,0.08221009,-0.5317224,4.65328,0.2756835,-0.5829782,-0.5132353,-2.456269,0.08108996,-0.4759304
2.398608,0.2081908,0.4338032,-1.531422,0.569927,0.01801138,-0.1960157,0.4163237,1.638032,0.3999612,-0.9716806,-0.4479822,-0.1608504,0.2468488,2.361838,-0.1634834,-1.009215,-0.964788,0.01464948,-0.6993726,4.441391,0.1909238,-0.3763849,0.6650006,-0.9283816,0.7561818,-0.9363065
2.465236,-0.4894785,0.2419475,-0.621589,0.6449104,0.1010826,0.3064124,0.5038874,1.153834,0.4269731,-0.5194837,-0.1680089,-0.3625394,1.370128,2.377057,-0.3710905,0.3004763,-1.050433,-0.5897174,0.1874215,4.437995,0.1921732,-0.4775766,1.520347,-1.488177,0.4013661,-0.7868767
2.531864,-0.2080681,-0.0008916783,-0.6521046,-0.5416136,-0.3787963,0.3793854,1.013072,0.3370004,0.2479984,-0.5736684,-0.5878257,-0.8330057,0.5667281,1.760394,-0.1694381,0.7348195,-0.1191855,-0.6944852,-0.1895787,4.061301,-0.3559489,-0.4929807,0.3003712,-1.606131,-0.2334679,-0.741294
2.598492,-1.526379,-0.4726991,-0.2921951,-0.5676792,-0.3157635,0.4125268,0.5732799,-0.6889815,0.7587593,-0.7099003,-0.4183549,-0.7087132,0.08569424,2.057247,-0.01894404,-0.7235321,-0.2391841,-0.5807471,-0.3192233,4.015253,-0.3516654,-1.582035,2.8911,-2.475319,-0.2188817,-0.3655265
2.66512,-0.299001,-2.695862,-0.7520387,-0.3574747,-0.08611494,0.3460377,-0.1393235,-0.2613187,1.345113,-0.6404372,-0.9726142,0.4913931,0.910153,1.549183,-0.4791426,-1.354946,-1.155076,-0.794278,-0.7796206,3.532573,-0.7806411,-0.2042265,1.566595,1.145908,0.1144837,-0.4136598
2.731748,-0.2151873,0.4523578,0.4741745,-0.7674815,0.1926105,-0.5098464,-0.4171392,0.06397509,-0.5955006,-0.6558986,0.07476648,-1.007035,0.7895526,0.974389,-0.5426183,0.1059778,-0.2804011,-0.8111846,-0.5266652,3.449063,-0.04365704,-0.05685377,-0.03877453,-0.4316724,0.3271394,-0.05658031
2.798376,0.5056642,0.1228641,-0.2175397,0.6555228,0.02389487,0.159845,-0.1951042,-0.02387356,0.5877498,-0.1894629,0.1926955,-0.03871017,0.5339804,0.9267205,-0.5449767,-0.1387361,0.2764776,-0.6054191,-0.5259441,3.189157,0.2295271,0.4787887,-0.1210854,-0.4127019,0.3253369,-0.8679851
2.865004,-0.3772774,-0.3363585,1.625302,0.01199838,-0.1448821,1.13718,0.5433456,-0.2978129,1.032297,0.3188367,1.726517,0.7375355,0.100108,0.9237414,-0.6070534,1.315489,0.1873132,-0.7599107,-0.3113286,3.024675,-0.5299422,1.003883,0.7990274,0.6338198,-1.028275,-0.6245539
2.931632,0.7990296,0.7253817,0.4438692,-0.2154754,-0.5360175,1.107659,0.3152685,-0.1591973,0.3307449,-0.8586888,1.451222,-1.158543,0.4986934,1.182634,-0.63543,0.9541739,-0.2156202,-0.6061564,-0.864293,3.202082,0.1386718,0.7128542,-0.5082927,0.4685949,-0.1754604,-1.117071
2.99826,0.4024093,1.746232,0.3285249,-0.6336493,0.318967,1.056599,0.06893307,-0.3888162,-0.442436,0.1017905,1.609374,0.2871562,-0.2990419,0.3725767,-0.473665,0.2080271,-0.1317628,-0.4371385,-0.5615211,3.081665,0.4373342,0.1354945,-0.2187761,-0.766362,-0.3564885,-0.3930534
3.064888,0.5326347,0.3019854,-0.1629829,-0.2640225,-0.4778819,-0.3017926,0.2950614,-0.5267112,-0.0008133078,-1.185644,0.03445745,-1.660618,-0.4621263,0.5743145,-0.6462929,0.9089761,-0.2081623,-0.9232853,-0.8967482,2.791811,0.03020269,0.3760703,-1.927711,0.7221057,-0.4671216,-1.308626
3.131516,-0.114941,-0.09817017,-0.502376,0.03695199,-0.5853554,0.1160322,0.4224615,-0.5996377,-0.06443737,-0.6642641,-0.6219294,-0.7298887,0.3447407,-0.4201555,-0.1472152,1.796044,-0.08304001,-0.7041135,-1.088586,2.546482,-0.7033431,0.5016802,0.164259,0.4813628,-0.7369854,-1.022204
3.198144,0.2704625,0.07376377,-0.6651803,0.5411186,-0.3625616,0.2505302,-0.1744944,-0.03091774,0.7266307,-0.4304696,-0.3790527,0.09332283,-0.06994583,0.08928889,-0.5343103,2.544692,1.326627,-0.5353945,-1.314161,2.533349,0.5889533,0.2293231,-1.586012,-1.412977,-0.1296515,-0.5076529
3.264772,-0.6879016,-0.323893,-0.9331418,0.04390821,-0.6259112,0.5006108,1.207896,-0.6145126,0.6551457,-0.5095991,-0.3774733,0.6953803,-0.1781825,0.10011,-0.545306,4.973706,-0.2799047,-0.6779739,-1.422271,2.372445,0.7923955,0.735378,-0.4557813,0.2523074,-0.3787528,-1.096001
3.3314,-0.5178583,0.6109366,-0.6316145,-1.04752,-0.3326937,0.7928912,0.6890492,0.1097502,0.110955,-0.1250717,1.209286,0.2984008,0.1739206,0.3897827,-0.4702741,3.854121,-0.6580064,-0.9323984,-1.530163,2.390336,0.04372499,0.1065488,0.006604007,0.7207139,-0.3734655,-0.9975325
3.398028,-0.9405581,0.2172081,-0.61052,-1.115534,-0.1859083,0.5463005,0.2824903,-0.3384443,-0.7537819,0.01236557,1.616898,0.2389718,0.08313178,0.4754121,-0.4361707,6.193706,-0.8946849,-0.980732,-1.062707,2.460763,-1.634111,0.54112,-0.3217836,-0.5508595,-0.1701758,-0.6892315
3.464656,-0.7368734,0.04351205,-1.565099,0.5391325,0.163805,-0.1237717,-0.6456962,-0.6950862,1.311976,-1.388861,-0.1896907,0.4075316,0.2863894,-0.3510412,-0.8467651,4.483411,-1.31788,-0.4606621,-0.7788568,2.148039,-1.51363,0.09301371,-0.6571009,-0.7360043,-0.2487059,-1.14333
3.531284,-0.5816831,-0.9444141,-1.240629,-0.3100314,-1.095309,0.2185111,0.07801011,-0.485751,-0.1841388,-0.5176977,-0.6599977,0.7162544,0.1940015,0.139968,-0.7686144,4.05728,0.03541311,-0.6542374,-1.194597,1.903913,-1.031277,0.578703,-1.793038,-0.8135142,-0.1572556,-1.115339
3.597912,-0.2508426,0.8996837,-1.002723,-1.174733,-0.9285833,0.824201,-0.3301969,0.3396716,0.4300327,0.1352857,-0.2541198,0.6614532,0.4759479,0.4369118,-0.2948922,5.695031,-0.8650669,-0.4914276,-1.092587,1.888591,-1.162355,0.01679844,0.7143406,-0.4384393,-0.2824149,-1.157217
3.66454,0.5766297,-0.145285,-1.727233,-0.6692786,-0.03093034,0.03563329,-0.1895644,0.5856158,-0.1639117,-0.3685326,0.7805942,1.175717,0.2419682,-0.3363671,-0.271145,2.73123,-1.307762,-0.7567142,-1.742851,2.055058,0.04642672,0.7245297,-1.276435,-0.4152559,-0.1514462,-1.051158
3.731168,-0.05336364,-0.5053312,-1.030272,-0.1917947,-0.5842074,0.002814844,-0.2209305,-0.1814796,-0.08042492,-0.8663447,0.6028531,0.9069586,-0.341653,0.2187891,-0.5167117,1.552798,-0.2331957,-0.9207001,-0.8255597,1.595382,-0.4131323,0.7668806,-1.360673,-0.3475092,-0.1471023,-0.5074753
3.797796,0.1061253,0.8836534,-1.330851,-0.2984594,0.1700819,0.476839,-0.04855024,-0.3919733,-0.718898,-1.268084,-1.900274,0.2855323,-0.2857191,-0.2931665,-0.4999763,3.101923,-0.81699,-0.4005834,-1.055344,1.293569,-1.076198,1.037945,0.07850874,-0.1458991,0.2900403,-0.1699742
3.864424,-1.00487,-0.9969634,-0.1871415,0.2903456,0.09391505,0.6058295,-0.8191632,0.4769774,0.7750132,0.8196424,-0.01216294,0.118946,0.968588,-0.4042977,-0.3678257,1.751218,-1.45573,-0.4691346,-0.9256967,1.497223,-0.5026011,-0.5226268,-0.3198347,0.1354993,0.3767648,-1.509914
3.931052,-0.05336665,1.434802,-1.726949,0.1240221,-0.4344397,-0.6437187,0.2416298,-0.8754591,0.559185,-1.038865,-0.2953324,2.057866,0.1936272,-0.08852525,-0.6831672,2.430488,-0.4431765,-0.843968,-1.030417,1.477693,-1.532308,0.03353646,-0.6640776,0.5579676,0.2712429,-0.01400647
3.99768,0.7761139,-2.470761,-1.474835,-0.8285151,-0.4643537,1.653808,-1.884743,-0.1079488,-0.07775749,1.559622,2.482682,0.1909398,0.8809739,-0.4829743,-0.4108676,3.829819,-0.6906871,-1.406448,-1.271715,1.281589,-0.642717,-1.184418,-0.6096118,0.9091648,1.909984,-0.7038776
4.064308,-0.2595031,-0.2469594,-1.045726,-0.4151309,-0.7652469,0.4322319,-0.2891265,-0.4409382,0.7832189,-0.06204487,0.8947303,1.091695,-0.2165036,0.1511779,-0.5637724,1.353041,-0.2871556,-1.132352,-1.228548,1.051236,-1.335226,-0.2194874,-0.314897,-0.5534472,1.436942,-0.8368821
4.130936,-1.424369,1.175141,0.4921657,-0.7211074,-0.1863319,0.408491,-0.6789119,0.1888491,0.09883025,0.5535575,0.01122468,0.713363,-0.2634103,-0.1034258,-0.5361035,2.876182,-0.4487436,-1.174707,-0.6283929,0.795777,-1.210546,-0.7634729,3.221287,-0.705865,1.55298,-1.800085
4.197564,0.9541385,-0.3042797,0.1776692,-1.633034,-0.1162066,0.9734653,0.3880567,-0.3714978,0.641199,-0.1414093,1.331363,-2.289954,0.11975,-0.3015718,0.03291362,5.988594,-0.5682291,-0.7942531,-0.2187341,0.9424196,-1.14694,-0.03313022,-1.042255,0.3063349,0.1721287,0.7255855
4.264192,-0.003799884,-0.739457,0.2943703,-0.04353505,-0.721067,0.1368628,-0.1341155,0.6114498,0.653349,-0.02694877,1.732331,0.06851178,-0.6725461,-0.2617351,0.1075313,1.017179,-1.035025,-0.7293612,-0.2273012,0.9755951,-0.6990253,-0.2299073,1.419462,-0.1229147,1.063273,-0.5152197
4.33082,-0.0006944623,0.1431184,-0.7491251,-0.5015724,-0.4202969,-0.1541425,-0.9961125,0.3786376,-0.07240125,-0.7101767,0.9564761,0.4014894,0.5387583,-0.07627832,0.04957235,1.442396,-1.220921,-0.7160236,0.2553088,0.9286016,-0.5882577,-0.4739092,1.013314,-0.8415946,1.30005,-1.060989
4.397448,0.4149043,0.2476373,-0.4366227,-0.3404235,-0.365041,0.5164486,-0.6760128,-1.225038,-0.2203136,-0.5180171,-1.306406,-0.4037498,0.3534859,-0.4761255,-0.09050892,0.255492,-1.178662,-0.8423725,-0.093957,1.020024,-0.3877201,0.05837727,0.1399905,-1.066482,0.4391593,-0.1659143
4.464076,-0.08837198,-0.292008,-0.3553902,-0.1240742,-0.1308559,0.05728424,-0.7086625,-0.1590805,0.9812678,-0.7098352,-2.161827,0.9158343,-0.1071291,-0.3794937,-0.04704462,0.381522,-0.3090737,-0.6453892,0.2335,0.7507317,-0.07332335,0.02333949,0.3012743,-1.007804,0.9118816,-0.5684158
4.530704,0.3324226,-0.9581766,-0.9457958,0.2499526,-0.1400679,0.5132383,0.09854425,0.5921428,0.3747027,-0.3534344,-0.9764924,0.1317263,0.0825379,-0.2314069,-0.227833,0.6601481,-0.5544125,-0.3688604,0.1130157,0.7758839,-0.1057238,-0.3602707,-0.6420681,-0.9276055,0.5069325,-0.6810845
4.597332,-0.8718764,-0.2335172,-0.3768421,-0.5476539,-0.2009385,0.1693921,-0.4949712,0.8967038,-0.1484787,-0.1836864,0.2528739,-0.1623578,0.4110886,-1.151151,-0.1792361,1.537305,-0.0143077,-0.387851,-0.1289672,0.7412328,-0.7576827,-0.277973,0.07718504,-0.7800405,-0.1134326,-0.4863164
4.66396,-0.9817315,-0.9351563,0.3129694,-0.8033062,-0.1332716,-0.1684144,-0.8065604,-0.1884599,0.5005687,-0.5437275,1.127413,-0.03339656,0.3451065,-0.2672921,0.02368438,0.8656048,-1.299491,-0.6311571,-0.3620085,0.998507,-0.5757429,-1.138302,0.2993794,-1.036534,0.5898451,-0.5499631
4.730588,-0.06196401,-0.1703189,-0.1965707,0.7515723,-0.4243309,0.2974866,-0.6104534,0.01106761,-1.475591,-0.255608,0.5945215,0.3834585,0.4692797,-0.3319026,-0.5204104,2.016145,-0.607255,-0.6776672,0.3511022,1.001784,-0.2112881,-0.7347736,1.799419,-1.76924,1.109976,0.4544984
4.797216,-0.2096879,-0.2193133,-0.8977983,-0.4276148,-0.1781829,0.3031754,-0.4562223,0.005081699,-0.08974892,0.07145553,-1.42121,-0.5401677,-0.01446665,-0.2565887,-0.1779904,0.4353895,-1.246788,-0.8541372,-0.3226585,0.8286299,-0.4445621,-0.7869027,-0.3385832,0.2075491,0.9851083,-0.108103
4.863844,-0.7471088,0.1186047,-0.1451578,-0.03653863,-0.3011879,-0.7406396,0.2919721,-0.1779245,0.07002451,-0.3013491,-1.004153,0.041403,0.133643,-0.5149991,-0.4146942,0.4294963,-0.780602,-0.7410738,0.3398308,0.6527665,-0.4051254,-1.408521,-0.3831895,-0.490834,0.3617589,1.414181
4.930472,-1.967738,0.2289857,-0.3221067,-0.9486876,-0.7160595,-0.7303705,-0.05135971,-0.3318505,-0.9301653,-0.05098553,-1.005371,-0.123205,0.5626602,-0.5123102,-0.2148412,0.363529,-0.7191072,-0.666686,-0.6639178,0.6789193,0.2811445,-1.094841,0.7323914,-0.491779,1.102208,3.431463
4.9971,-1.240078,0.4285823,-0.8366291,-0.2233587,-0.3809709,-0.08628719,0.06331953,0.08601309,0.3663171,-0.2873078,1.292044,-0.03185403,0.2416383,-1.271725,-0.1500457,-0.09978119,-0.6447626,-0.38526,-0.4211454,0.7337165,-2.039528,-1.070235,1.191703,-0.3137971,-0.3764521,5.135258
5.063728,-1.076026,-0.5223888,-0.682372,-0.1046464,-0.3145087,-0.8614704,0.2903807,-0.6813316,-0.9901919,-0.496452,-0.6149403,1.173183,0.4172825,-0.8335866,-0.1050697,0.2877055,-0.3409355,-0.798709,-0.7809945,0.9318748,-0.3167577,-0.8904669,0.3729018,-1.352113,0.5972758,3.70966
5.130356,-0.8695588,0.7945758,-0.6444393,-1.279523,-0.1630388,-1.179281,0.2506148,-0.5412892,-0.1487321,-0.75788,-0.02094544,0.7506443,0.4148756,-0.7121738,-0.01903835,0.8058566,-0.713361,-0.6655358,-0.1507047,0.4223375,-0.7113419,-0.4391324,-0.3762866,-1.022153,1.044241,3.863827
5.196984,-1.211353,-0.7919906,-1.277063,0.4099643,-0.231693,-0.3420064,-0.1050996,-0.1145414,-0.2107181,-0.2423901,-0.8261057,0.05976804,0.9269537,0.1736217,-0.4954318,0.2224508,-0.9526935,-1.088889,-0.2698324,0.3635065,-1.199414,-0.8736147,0.7832797,-1.053654,0.2192767,2.89456
5.263612,-0.9649255,-0.3816794,-1.732288,0.5281423,-0.294348,-0.3620343,0.1751485,-0.01143394,-0.1993275,-0.9638354,-0.6111102,-0.5377618,0.2911101,-0.2570265,-0.4230684,0.1352608,-1.284472,-0.8286848,-1.471416,0.1976028,-1.384047,-1.311072,0.5417792,-0.1792091,0.4366489,1.338935
5.33024,-0.6747854,-0.8334482,-2.345425,0.03752807,0.1124684,-0.2130738,-0.1657016,-0.2651404,0.2212835,-0.4745403,-1.701423,0.4832489,-0.2133214,0.06280848,-0.199142,0.9358961,-0.7312036,-1.298955,-1.345103,-0.03052552,-1.352779,-0.09272794,0.3547715,0.4019376,-0.6090126,1.995153
5.396868,-1.102629,-0.6650358,-2.09829,-1.025747,-0.3897024,0.0380129,-0.5223138,-0.9000175,-0.9368997,0.4980357,-0.4071197,0.2737688,0.6153746,-0.2914449,-0.06753631,0.548489,-0.84416,-1.185543,-1.18937,-0.1571863,-1.138746,-1.271185,-0.3073397,0.8350131,0.05788245,1.594678
