,approachON,approachOFF,retreatON,retreatOFF
C009,0,0,0,0
C013,0,0,0,0
C005,0,0,0,0
C004,0,0,0,0
C012,0,0,0,0
C032,0,0,0,0
C008,0,0,0,0
C015,0,0,0,0
C003,0,0,0,0
C023,0,0,0,0
C022,0,0,0,0
C018,0,0,0,0
C002,0,0,0,0
C014,0,0,0,0
C001,0,0,0,0
C021,0,0,0,0
C020,0,0,0,0
C041,1,0,0,0
C016,0,0,0,0
C000,0,0,0,0
C031,0,0,0,0
C027,1,0,0,0
C007,0,0,0,0
C011,0,0,0,0
C006,0,0,0,0
