Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,616,268,1,37.5899,1
C001,undecided,255,255,255,545,177,2,34.2053,1
C002,undecided,255,255,255,541,260,1,41.1096,1
C003,undecided,255,255,255,488,542,1,32.7567,1
C004,undecided,255,255,255,494,213,1,37.1214,1
C005,undecided,255,255,255,640,475,3,38.6264,1
C006,undecided,255,255,255,890,633,1,46.2277,1
C007,undecided,255,255,255,562,216,1,39.4462,1
C008,undecided,255,255,255,492,412,1,30.6105,1
C009,undecided,255,255,255,263,354,2,55.0818,1
C010,undecided,255,255,255,767,599,7,42.19,1
C011,undecided,255,255,255,509,600,2,46.4004,1
C012,undecided,255,255,255,465,690,1,52.6308,1
C013,undecided,255,255,255,375,360,1,37.6431,1
C014,undecided,255,255,255,346,232,1,45.8039,1
C015,undecided,255,255,255,341,297,1,37.6563,1
C016,undecided,255,255,255,478,430,13,42.5793,1
C017,undecided,255,255,255,685,680,2,43.909,1
C018,undecided,255,255,255,434,358,1,42.2966,1
C019,undecided,255,255,255,311,433,1,36.8917,1
C020,undecided,255,255,255,869,209,2,48.2701,1
C021,undecided,255,255,255,988,595,3,63.6003,1
C022,undecided,255,255,255,875,752,2,43.1045,1
C023,undecided,255,255,255,590,557,2,46.6154,1
C024,undecided,255,255,255,365,429,1,34.3657,1
C025,undecided,255,255,255,403,638,1,52.0096,1
C026,undecided,255,255,255,593,226,1,37.1618,1
C027,undecided,255,255,255,367,563,1,37.6431,1
C028,undecided,255,255,255,681,418,265,6.40312,1
C029,undecided,255,255,255,463,761,61,45.2769,1
C030,undecided,255,255,255,435,118,2,39.0512,1
C031,undecided,255,255,255,402,210,1,42.5441,1
C032,undecided,255,255,255,431,181,2,45.2769,1
C033,undecided,255,255,255,974,210,9,42.638,1
C034,undecided,255,255,255,546,431,6,33.3017,1
C035,undecided,255,255,255,347,162,2,71.8679,1
C036,undecided,255,255,255,712,4,1,37.054,1
C037,undecided,255,255,255,647,78,1,40.05,1
C038,undecided,255,255,255,505,395,1,40.3113,1
C039,undecided,255,255,255,377,169,1,50.9215,1
C040,undecided,255,255,255,313,532,1,39.3192,1
C041,undecided,255,255,255,309,414,1,43.0116,1
C042,undecided,255,255,255,466,220,1,39.598,1
C043,undecided,255,255,255,811,425,1,36.2353,1
C044,undecided,255,255,255,576,67,2,45.5412,1
C045,undecided,255,255,255,398,259,1,40.8044,1
C046,undecided,255,255,255,434,255,1,39.9625,1
C047,undecided,255,255,255,345,264,1,46.0977,1
C048,undecided,255,255,255,609,333,221,4.47214,1
C049,undecided,255,255,255,610,353,13,40.8044,1
C050,undecided,255,255,255,334,443,1,60.9262,1
C051,undecided,255,255,255,299,462,2,56.3028,1
C052,undecided,255,255,255,340,333,7,45.8912,1
C053,undecided,255,255,255,492,308,1,44.643,1
C054,undecided,255,255,255,521,444,2,37.8021,1
C055,undecided,255,255,255,430,403,1,39.0512,1
C056,undecided,255,255,255,658,178,1,44.7772,1
C057,undecided,255,255,255,232,390,3,63.0317,1
C058,undecided,255,255,255,359,409,1,47.0425,1
C059,undecided,255,255,255,462,322,3,51.4198,1
C060,undecided,255,255,255,775,657,21,48.7032,1
C061,undecided,255,255,255,527,288,2,42.2019,1
C062,undecided,255,255,255,595,251,3,42.2966,1
C063,undecided,255,255,255,447,158,5,44.0454,1
C064,undecided,255,255,255,354,377,1,57.0088,1
C065,undecided,255,255,255,542,67,4,60.1415,1
C066,undecided,255,255,255,293,284,4,112.071,1
C067,undecided,255,255,255,286,455,10,37.6431,1
C068,undecided,255,255,255,729,80,2,36.1386,1
C069,undecided,255,255,255,583,193,8,65,1
C070,undecided,255,255,255,721,165,8,63.0079,1
C071,undecided,255,255,255,358,463,5,43.1741,1
C072,undecided,255,255,255,1225,678,14,27.4591,1
C073,undecided,255,255,255,525,172,74,27.8029,1
C074,undecided,255,255,255,561,268,4,43.0116,1
C075,undecided,255,255,255,432,337,1,51.4198,1
C076,undecided,255,255,255,455,640,418,2.23607,1
C077,undecided,255,255,255,947,594,3,47.1699,1
C078,undecided,255,255,255,627,145,11,113.071,1
C079,undecided,255,255,255,757,125,2,69.4262,1
C080,undecided,255,255,255,449,529,10,50.3289,1
C081,undecided,255,255,255,403,354,3,47.8017,1
C082,undecided,255,255,255,389,389,23,52.4309,1
C083,undecided,255,255,255,522,314,3,42.19,1
