Frame,C009,C025,C013,C005,C004,C012,C024,C008,C015,C003,C019,C023,C035,C022,C018,C002,C014,C001,C017,C036,C041,C016,C000,C031,C027,C007,C011,C046,C010,C006,C026,C030,mouse1,mouse2,contact
0.0,-0.2747372,0.06174665,-0.7871448,0.05785869,0.2657636,-0.04826236,0.009443684,0.4551524,1.064271,-0.5925695,-0.4278299,1.204662,0.5765793,0.4191135,-0.4501186,-0.5698735,-0.1443816,-0.26279,-0.1000685,-0.7499886,0.5304601,0.8997799,5.018279,-0.4011433,-0.660306,1.71087,0.3502779,-0.643608,0.6258761,-0.1299993,-0.5369678,0.320664,,,
0.06662800000000857,-1.187876,-0.2691682,-0.5620582,-0.1807255,0.008832081,-0.1418588,0.5875536,0.2668927,-0.2600108,-0.2768913,-0.5437989,-0.4078294,-0.5680321,-0.2711753,-0.3982829,-0.09288944,1.008207,-0.2771328,-0.1012608,-0.8625476,0.6416371,0.7548239,5.079617,-0.5803656,-0.6392832,1.358362,0.634054,-1.068461,0.850012,-0.4433071,-0.2696902,-0.3035298,,,
0.13325600000001714,-0.3925271,-0.1855155,-0.5790099,-0.03115356,-0.3605285,-1.000721,0.1674729,0.4067741,-0.4473828,-0.6537033,-0.8378217,1.607671,0.0349349,-0.6264953,-0.6018031,-0.3227478,-0.1803174,-0.810438,-0.3958621,-0.9718732,0.3575864,0.6055656,5.102852,0.4008146,-0.7229988,1.688825,0.4695605,-0.821457,-0.1647854,0.001138205,0.01009597,0.07735215,,,
0.19988399999999729,-0.1806087,-0.3069799,-0.03279877,0.2958638,0.1484758,-0.4928041,-0.3925212,-0.5721985,0.04177785,-0.3678434,-0.2218019,0.3901171,0.3050272,-0.1693543,0.06028126,-0.693231,0.0124983,0.000462642,0.1132259,-0.3974354,0.6158239,0.4182759,4.986729,-0.4424668,-0.6777269,1.770411,0.3727862,-0.6842431,-0.07192419,0.422487,-0.2416526,0.4013094,,,
0.26651200000000586,0.7810912,-0.5168288,-1.012768,-0.8562094,0.2602268,-0.3761361,0.1255613,-0.4609053,-0.0058546,-0.4868619,-0.6710433,1.245948,-0.5642902,-0.5961929,-0.4349147,0.1196543,0.3051649,0.01169397,-0.3220755,-0.7922622,0.3840754,0.624869,4.462567,0.2394835,-0.414273,0.7766396,0.298114,-0.6637158,0.2775525,-0.09766521,0.04236859,0.2040465,,,
0.3331400000000144,1.10388,-0.4484794,-1.472323,-0.1249926,0.434695,-0.498582,0.3615243,0.1807808,-0.06201993,-0.3574171,-1.423249,0.3593411,0.4448479,0.312146,-0.2231449,0.2048538,0.675733,-0.07436379,-0.3838084,-1.091363,0.4839395,0.1256498,4.325044,-0.04434925,-0.1366772,1.419365,0.6747997,-0.8848006,-0.1833847,-0.466245,-0.041922,-0.7214397,,,
0.399768000000023,0.4463464,-0.4012745,-0.7102788,0.006510201,0.353134,0.2732778,0.4916373,0.0994075,-0.335812,-0.4478334,-1.267927,1.088991,0.9720547,0.06517362,-0.3033108,-0.3552368,0.1851941,0.1208988,0.247674,-0.8094332,0.5692983,0.4062673,4.033092,-0.345312,0.1265244,1.085373,0.3287495,-0.7153933,0.472278,-0.3597508,-0.3908252,-0.1758032,,,
0.46639600000000314,-0.5564554,-0.2605881,-0.8369991,-1.265256,0.1806229,-0.7345539,0.2991891,0.1299145,0.7174695,-0.7549664,-0.7539985,0.5708202,0.2261512,-0.7474542,-0.4252383,-0.7572677,0.01589501,-0.2103048,-0.7329734,-1.052578,0.03813624,-0.01350037,4.203797,-0.5661384,-0.4068404,0.774327,0.4588918,-1.04922,-0.6134953,-0.2440075,0.3758682,-0.3043814,,,
0.5330240000000117,0.8153859,-0.5083843,-0.8243434,-0.4967344,0.2833468,0.01920507,0.4691006,0.2570897,0.5372726,-0.2251458,-0.5541812,0.4626847,-0.2141067,0.2821845,-0.2235801,-0.3075213,0.2655348,-0.06988256,-0.3687702,-1.047241,0.8596941,-1.33816,3.955957,-0.249823,-0.4510273,0.4790137,0.8484728,-0.5057766,0.05292865,-0.560581,-0.872438,-1.099492,,,
0.5996520000000203,-0.2630292,-0.8916597,-0.7785969,-0.3582261,0.8009368,-0.5339856,-0.03073368,-0.00899096,-2.421807,-0.2977696,-0.5185765,1.110561,-0.3427598,-0.2500871,-0.3419269,-0.3012758,0.8766109,0.160932,0.3298538,-0.9232839,-0.08142065,0.1412618,3.545096,-0.07482871,-0.3830121,1.279185,1.299274,0.8807802,-0.03497568,-1.500478,-1.213081,-0.7072844,,,
0.6662800000000004,0.02251513,-0.520268,-0.4804018,-0.3629888,0.6723224,0.07924219,-1.628456,0.2755176,-0.2979394,-0.2375691,0.2057282,0.6300359,0.6516789,-0.06084468,-0.3741044,-0.7452843,0.3197314,0.4101521,0.8084669,-0.7363072,-0.4920177,-0.6631575,3.766866,-0.6637414,-0.5006215,1.147398,0.5837567,1.90396,-0.5397663,0.07450492,-0.8896161,0.4800576,,,
0.732908000000009,-0.2233835,-1.096459,1.214378,-0.08225568,0.2818663,-0.3238945,-0.5312409,-0.5438662,-0.55818,-0.2537454,-0.3527716,0.5947813,0.3468302,-0.7200911,0.06582596,-1.498107,0.5426514,0.728175,0.05795804,-1.127803,0.5671471,0.090904,3.693436,0.1841311,0.7156567,1.100974,0.6192005,2.233054,-0.1488063,-0.2168124,-0.8210723,0.4469575,,,
0.7995360000000176,-0.5922,-0.6946205,-0.4610391,-1.08339,-0.2707428,0.1253385,-0.04764834,-0.1793315,1.435386,-0.2032871,0.5791039,0.723611,0.2449728,-1.673353,0.2753517,-1.288018,-0.09342188,0.1010004,-0.4870202,-0.3499953,-1.092798,-0.9787154,3.320962,-0.2995724,0.5155473,1.04211,0.399202,2.022241,0.2244517,0.4884631,-0.569607,1.293385,,,
0.8661639999999977,-0.4619987,-0.7714322,-2.189595,-0.3186083,-0.1486625,0.8301405,-1.139987,0.190686,-0.1250178,-0.09256833,1.627137,-1.701956,0.9717251,-0.1754325,0.1485164,1.642396,0.06878263,0.6110907,0.1834608,-1.431499,-0.5395166,-1.132128,3.282301,-1.513503,2.420762,0.7828876,-0.4241902,2.224313,-1.219583,-0.2246938,-1.342746,0.3126857,,,
0.9327920000000063,0.1034293,-0.5034534,-1.550683,-0.06477639,0.1693289,-0.652643,-0.6410219,-0.06713494,-2.240305,-0.1117641,2.675349,0.7506166,0.1438298,-0.6498974,-0.5131147,-0.1989965,-0.2554271,0.1624986,0.1659599,-1.282552,0.8426495,-1.090826,2.684516,-0.2382359,0.707121,0.4910186,0.2657504,1.471805,0.490118,-0.3566298,-0.3216137,0.2396627,,,
