Frame,C009,C005,C004,C008,C003,C002,C001,C000,C007,C011,C010,C006,mouse1,mouse2,contact
0.0,0.2594115,-0.4528325,-0.2865096,-0.2517803,-0.4757412,-0.07528854,-0.07081009,0.09679529,-0.5738808,-0.5676289,1.420347,-0.1264913,,,
0.0666270000000111,-0.5563155,-0.2748916,1.077037,-0.03356174,-0.3492358,-0.7321223,0.09449103,-0.01741481,-0.8992686,-0.6780367,3.293991,-0.5354528,,,
0.1332540000000222,-0.07673609,-0.3544666,0.3461146,0.6810718,-0.2913477,1.032479,0.1072764,-0.2275348,0.9540259,-1.147336,2.726935,-0.2898332,,,
0.19988100000000486,-0.1848721,-0.6912865,-0.3790542,-0.2920268,-0.1805383,-0.1276604,-0.2585974,-0.4191597,-0.8024789,-0.4158489,3.074213,-0.2197002,,,
0.26650800000001595,0.03811203,-1.034814,-0.3442773,0.3929697,-0.18417,0.5100126,-0.2892274,-0.1386947,-0.5629621,-0.6705714,1.856994,-0.3750075,,,
0.3331349999999986,-0.03638286,-0.4695807,0.05422038,-0.9205939,-0.2384328,-0.3076206,-0.6384856,0.2274884,-0.519886,0.2529484,2.327075,-0.1054165,,,
0.3997620000000097,-1.089849,-0.4119018,0.04985505,-0.5839409,-0.3626422,-0.4747514,0.4200197,-0.4696777,-0.622431,-0.3777409,2.423514,-0.07509949,,,
0.4663890000000208,0.00248326,-0.08230259,-0.1189097,0.3652611,-0.3345674,0.04909893,0.2764082,-0.2130839,0.1895974,-0.5499998,1.802381,-0.6385471,,,
0.5330160000000035,-0.08149755,-0.1523893,-0.1894477,0.4485484,0.07971317,-0.02377444,0.009559017,0.2452529,0.01193682,-0.1755563,1.35331,0.1412199,,,
0.5996430000000146,0.874884,-0.3181558,-0.28167,-0.1570366,-0.264048,0.5795998,0.2452284,-0.4131774,1.039461,-0.5708015,1.042156,0.4175842,,,
0.6662699999999973,0.1327149,-0.004210048,-0.2460453,-0.6559297,-0.02597101,0.1437884,0.1442704,0.2393873,-0.4041745,-0.4882615,0.9108202,-0.004242373,,,
0.7328970000000083,0.9986573,-0.1677489,-0.09096323,0.4356526,-0.293754,-0.172406,0.3566536,0.07096844,-0.661515,0.3165509,0.3935986,0.04331755,,,
0.7995240000000194,-0.3075269,-0.4331664,-0.1807915,1.411098,-0.5615778,-0.9989501,0.4223877,0.333745,-0.88666,-1.929924,1.151844,-0.1438932,,,
0.8661510000000021,-0.5602115,-0.1962615,-0.07055646,-0.01770335,0.1267218,0.226254,0.3170197,0.01237361,-0.8387919,-0.5863565,0.7175089,-0.4553668,,,
0.9327780000000132,0.02427107,-0.2182794,-0.3346867,0.001311241,-0.3476649,-0.2186692,0.556354,0.08914831,0.08071296,-0.5754275,0.886655,-0.07627489,,,
0.9994049999999959,-0.6425428,-0.02830619,-0.03212152,-0.06321926,-0.2398708,-0.01670269,0.4140245,0.7200068,-0.6368738,-0.3498374,0.857775,0.09528882,,,
1.066032000000007,-0.2017905,-0.5314521,-0.3577041,-0.4407927,-0.2558018,-0.05797252,0.1202743,-0.2034077,-0.6580661,0.05823757,0.9345101,-0.07805673,,,
1.132659000000018,0.2438539,-0.7996242,0.322184,0.2348131,-0.4266943,0.05313589,0.2970912,0.3837412,-0.577533,-1.340302,0.002820315,0.2705174,,,
1.1992860000000007,-0.4489615,-0.3691968,-0.08297649,-1.877618,-0.2076337,0.4505154,0.2023463,-0.1851334,0.04145927,-0.9926144,0.5183733,0.01416471,,,
1.2659130000000118,0.2564859,-0.5122055,0.383572,-0.3373972,-0.5181035,0.442018,0.2506142,-0.3134285,0.4033373,-1.30723,0.05223652,0.03251963,,,
1.332540000000023,-1.091197,-0.5760528,-0.3893591,-0.6194695,-0.3175681,0.2501946,-0.1732254,0.5102999,-0.2095391,-0.5222107,-0.1408235,0.08020783,,,
1.3991670000000056,-0.370411,-0.2786974,-0.07452784,-0.8606395,-0.1455473,-0.326165,-0.0193869,0.797453,-0.8186896,-0.8346934,-0.07239204,-0.2527511,,,
1.4657940000000167,0.01314037,-0.3032253,0.1753607,1.72633,0.1667594,-0.9194825,-0.1385978,-0.05553056,0.8512872,-0.1155245,0.1711456,-0.5387678,,,
1.5324209999999994,0.2899151,-0.6840509,1.065515,0.6889334,0.2725102,-0.4643587,-0.09369065,0.4090892,0.7001403,0.04532834,-1.247726,-0.4403852,,,
1.5990480000000105,0.4192418,-0.6207398,-0.1346851,0.9283471,-0.2143676,-0.2336502,0.0825325,-0.04636592,1.416895,-0.5768475,-0.5295036,0.3489319,,,
1.6656750000000216,1.070308,-0.3155745,-0.5132849,-0.8715933,0.1330051,0.42747,-0.206425,0.2177619,0.8238783,0.4200958,-0.2759446,0.3155369,,,
1.7323020000000042,0.2762603,-0.02627993,-0.2419899,-0.9855426,-0.2032107,0.225575,-0.2858605,-0.05458291,-0.4960269,0.2621317,-0.3009339,0.331718,,,
1.7989290000000153,-0.5939877,-0.370544,-0.08921257,0.09580742,0.01409567,0.5981486,-0.25766,0.4991983,-0.3836832,-0.7702354,1.291692,0.1005069,,,
1.865555999999998,-0.3135376,-0.01464763,-0.3162884,0.1585336,-0.2183494,-0.03526209,-0.184774,-0.08685858,-0.6998063,0.3610874,1.94472,-0.05068653,,,
1.932183000000009,-0.2669508,-0.4274821,-0.1574941,0.6542063,0.7205117,0.1166873,-0.1478479,-0.1963637,-0.08158702,0.05823067,3.389525,-0.5035111,,,
