,approachON,approachOFF,retreatON,retreatOFF
C009,0,1,0,1
C005,1,0,0,1
C004,0,1,0,0
C008,1,0,0,0
C003,0,0,0,0
C002,1,0,0,1
C001,0,0,0,1
C000,1,0,0,0
C007,1,0,0,1
C011,1,0,0,1
C010,0,1,0,0
