Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,612,279,1,36.2353,1
C001,undecided,255,255,255,460,704,3,51.0882,1
C002,undecided,255,255,255,268,610,1,40.8534,1
C003,undecided,255,255,255,621,224,1,36.7967,1
C004,undecided,255,255,255,336,311,1,42.2966,1
C005,undecided,255,255,255,341,243,1,44.2041,1
C006,undecided,255,255,255,500,406,1,43.4166,1
C007,undecided,255,255,255,637,486,1,38.4187,1
C008,undecided,255,255,255,472,440,4,41.1947,1
C009,undecided,255,255,255,887,644,2,45.8039,1
C010,undecided,255,255,255,558,228,1,39.0512,1
C011,undecided,255,255,255,289,90,1,46.0109,1
C012,undecided,255,255,255,391,156,1,38.9487,1
C013,undecided,255,255,255,424,193,1,44.1475,1
C014,undecided,255,255,255,515,560,6,50.2494,1
C015,undecided,255,255,255,489,225,1,38.6394,1
C016,undecided,255,255,255,487,424,1,32.3883,1
C017,undecided,255,255,255,872,763,1,43.1856,1
C018,undecided,255,255,255,657,190,1,46.8188,1
C019,undecided,255,255,255,764,611,5,40.4475,1
C020,undecided,255,255,255,257,365,1,55.1453,1
C021,undecided,255,255,255,361,442,1,35.4683,1
C022,undecided,255,255,255,371,370,1,38.4708,1
C023,undecided,255,255,255,576,204,1,63.1585,1
C024,undecided,255,255,255,284,471,1,40.6079,1
C025,undecided,255,255,255,465,250,1,37.2156,1
C026,undecided,255,255,255,587,570,1,45.607,1
C027,undecided,255,255,255,364,577,1,39.0512,1
C028,undecided,255,255,255,305,427,1,41.6293,1
C029,undecided,255,255,255,345,174,1,71.8679,1
C030,undecided,255,255,255,518,323,2,37.2156,1
C031,undecided,255,255,255,373,180,1,50.0899,1
C032,undecided,255,255,255,537,82,7,43.8634,1
C033,undecided,255,255,255,339,278,1,47.927,1
C034,undecided,255,255,255,429,266,1,40.7063,1
C035,undecided,255,255,255,429,369,1,42.7551,1
C036,undecided,255,255,255,912,238,7,41.6773,1
C037,undecided,255,255,255,643,89,1,39.4588,1
C038,undecided,255,255,255,588,237,1,35.609,1
C039,undecided,255,255,255,491,496,206,12.6491,1
C040,undecided,255,255,255,401,647,1,50.6063,1
C041,undecided,255,255,255,708,8,1,43.4166,1
C042,undecided,255,255,255,571,262,3,37,1
C043,undecided,255,255,255,324,49,2,61.5549,1
C044,undecided,255,255,255,403,218,1,43.8634,1
C045,undecided,255,255,255,353,421,1,50.04,1
C046,undecided,255,255,255,309,469,1,68.7095,1
C047,undecided,255,255,255,769,668,13,50.2494,1
C048,undecided,255,255,255,623,140,3,113.772,1
C049,undecided,255,255,255,712,184,1,68.2422,1
C050,undecided,255,255,255,445,705,3,48.2701,1
C051,undecided,255,255,255,629,655,3,45.9674,1
C052,undecided,255,255,255,310,543,3,42.8019,1
C053,undecided,255,255,255,336,450,3,54.626,1
C054,undecided,255,255,255,477,324,4,46.5725,1
C055,undecided,255,255,255,332,346,6,45.6508,1
C056,undecided,255,255,255,393,271,1,41.1825,1
C057,undecided,255,255,255,272,486,1,70.2282,1
C058,undecided,255,255,255,383,404,5,41.8688,1
C059,undecided,255,255,255,443,167,3,41.1947,1
C060,undecided,255,255,255,307,446,2,39.2046,1
C061,undecided,255,255,255,684,690,8,38.833,1
C062,undecided,255,255,255,726,93,1,37.4833,1
C063,undecided,255,255,255,439,343,2,54.5711,1
C064,undecided,255,255,255,371,290,2,46.0977,1
C065,undecided,255,255,255,227,402,1,70.1142,1
C066,undecided,255,255,255,751,141,2,70.6116,1
C067,undecided,255,255,255,570,76,2,43.0813,1
C068,undecided,255,255,255,697,229,1,67.6018,1
C069,undecided,255,255,255,769,215,10,73.5391,1
C070,undecided,255,255,255,806,357,5,28.6356,1
C071,undecided,255,255,255,969,222,7,41.4367,1
C072,undecided,255,255,255,794,271,17,57.8014,1
C073,undecided,255,255,255,467,307,1,39.2046,1
C074,undecided,255,255,255,396,44,9,45.8039,1
C075,undecided,255,255,255,425,415,1,38.3275,1
C076,undecided,255,255,255,940,604,1,48.0208,1
C077,undecided,255,255,255,349,389,1,56.3205,1
C078,undecided,255,255,255,401,362,1,46.5296,1
C079,undecided,255,255,255,912,580,17,40.4969,1
C080,undecided,255,255,255,805,436,1,39.6989,1
C081,undecided,255,255,255,507,358,3,52.8015,1
C082,undecided,255,255,255,867,634,5,38.2099,1
C083,undecided,255,255,255,359,58,5,59.5483,1
C084,undecided,255,255,255,598,344,3,69.4622,1
C085,undecided,255,255,255,216,332,37,66.4831,1
C086,undecided,255,255,255,218,241,17,75.1864,1
C087,undecided,255,255,255,455,640,263,3.16228,1
C088,undecided,255,255,255,613,251,13,49.6488,1
C089,undecided,255,255,255,520,298,4,43.2666,1
C090,undecided,255,255,255,940,748,16,41.1461,1
C091,undecided,255,255,255,379,207,37,41.2311,1
C092,undecided,255,255,255,605,202,19,43.9318,1
C093,undecided,255,255,255,372,98,3,51.1957,1
C094,undecided,255,255,255,552,283,6,46.5188,1
C095,undecided,255,255,255,330,373,3,52.2398,1
C096,undecided,255,255,255,733,491,79,49.4975,1
C097,undecided,255,255,255,703,270,2,61.6604,1
C098,undecided,255,255,255,770,168,2,62.2977,1
C099,undecided,255,255,255,887,499,10,41.7852,1
C100,undecided,255,255,255,442,89,21,36.4006,1
C101,undecided,255,255,255,334,511,2,48.7647,1
