Frame,C009,C013,C005,C004,C012,C024,C008,C015,C003,C019,C035,C034,C022,C018,C002,C014,C001,C017,C040,C021,C020,C041,C016,C000,C027,C007,C011,C010,C006,C026
0.0,4.28272,1.246769,-1.779952,-0.2267448,0.3229938,-1.387277,2.905911,-0.5627296,3.037151,-2.763538,0.1952702,1.33846,-0.6576968,-0.6831786,-0.5789669,-0.2037774,27.06411,-0.01925675,0.09166127,0.5718516,-0.1696797,-0.3268481,0.3815272,-0.4547585,-2.179307,-0.2541281,-1.991009,-0.4662109,0.1996055,1.718458
0.066628,2.20663,0.8652088,0.3671528,-0.1079633,0.1506492,0.7509774,-0.8150368,-0.5998277,1.7348,-0.2332087,0.2080561,1.339761,0.04811766,-0.2266891,0.4590732,-1.061493,11.44765,-0.2161276,-0.09650517,-0.7652462,0.006897095,-0.2105392,3.169128,-0.7763876,0.2149332,-1.161347,0.5377383,0.01402124,1.889968,0.25357
0.133256,3.236623,-0.1150006,0.09887253,-0.7214063,0.3333299,0.5709031,-1.388486,-0.8268987,0.7446328,-0.5687853,0.187501,1.336496,-1.703364,0.1824496,0.6351424,-1.440535,11.67853,-1.089481,-0.4103303,-1.187762,0.2633879,-0.5104028,2.75923,-1.051983,-0.7389538,-0.440846,1.004038,0.09692188,1.422913,1.385285
0.199884,2.093758,0.3019755,-0.1166912,1.039492,0.2342452,-0.3443422,0.5412157,-0.9079266,0.4988483,-0.2997549,-0.3702309,1.617398,-0.3918222,0.02943374,0.4837893,-1.094533,9.796449,-0.2593356,-0.5439295,-1.608413,0.565503,-0.201052,2.090318,-0.7492549,0.4543906,0.2026816,-0.01974107,0.2468957,1.923618,-0.1567786
0.266512,2.746733,0.6158671,0.9792921,-0.2906934,0.5015233,-0.379738,-0.4260495,-0.7775137,0.1324017,-0.19647,-0.126564,1.93916,-0.9733233,-0.03708988,0.6828014,-2.941517,10.92275,0.459361,-0.3014988,-1.428052,-0.706811,0.1457847,2.458411,-0.5480911,0.7220593,-0.2262492,0.2693424,0.6627728,1.000209,0.06974512
0.33314,2.873761,-0.8751433,0.5162223,-0.4332788,0.1840392,-0.04792633,-0.6178911,-0.9645794,0.7705011,-0.3343171,-0.5604541,1.208883,-0.7706004,0.9520515,0.3964072,-0.8454975,9.861926,-1.282019,-0.5288346,-1.54654,-0.2639528,-0.804086,2.210482,-0.7161136,1.890595,-0.1289202,0.8073704,0.5120782,0.8228437,-0.2979516
0.399768,2.404729,0.3931255,1.796824,-0.06051271,0.1984737,-0.2332114,-0.7278962,-0.5403632,0.5086358,-1.172584,-0.05729118,1.800048,-0.6941047,0.9109806,0.8475721,-0.827965,9.111566,0.1089241,-0.1747755,-1.172905,-0.1724327,-0.4015725,1.816172,-1.114151,2.592963,-0.2206601,-0.1518713,0.01222375,0.6044579,0.150105
0.466396,1.796687,2.97667,0.5394508,-0.202855,0.3506697,-0.1756231,-0.0197877,-0.09244667,-0.4907079,-0.6770535,-0.1354818,1.860949,-0.3931651,1.292059,0.437714,-0.3457228,7.832209,-0.5039834,-0.105286,-1.949598,0.8824281,-0.75675,0.8114057,-0.9265024,3.534391,0.08277866,-0.1664687,-0.263473,0.09362454,0.5716829
0.533024,1.184898,-0.9556174,0.4815448,-0.1824413,0.1146684,-0.2886595,-0.8836591,-0.06099985,-0.5453297,-0.7074673,-0.1920211,1.633787,-1.069486,0.7745882,0.5909571,-1.514626,5.717582,-0.9221984,-0.7201191,-1.364332,-0.3107983,-0.603182,2.011346,-0.7407567,4.464076,-0.1205721,-0.5852819,-0.5114192,0.2226644,-0.1399416
0.599652,0.8131107,-0.7678306,-0.04528958,0.5127051,0.1829403,0.1817542,-0.4340775,-0.08270913,0.5695565,-0.474601,-0.005692278,1.490263,-0.08179713,1.37319,0.2012772,-0.8349733,6.23017,-0.06814796,-0.5407851,-1.609898,-0.3982359,-0.2461,1.483326,-0.6926113,5.279489,0.4342662,-0.1947833,-0.3921417,-0.2216082,-0.8033546
