Frame,C009,C013,C005,C004,C012,C024,C008,C015,C003,C019,C035,C034,C022,C018,C002,C014,C001,C017,C040,C021,C020,C041,C016,C000,C027,C007,C011,C010,C006,C026,mouse1,mouse2,contact
0.0,0.6286078,1.051745,0.483887,-0.9374619,0.03930251,-1.674647,-1.611189,-0.761701,-2.078543,-0.7940795,3.392486,0.6908576,0.3837632,6.608037,1.300828,0.1957282,-0.760691,-0.6583343,-0.7482451,0.1049052,0.4830255,3.626352,0.489534,0.6340709,-0.2616498,0.2397531,2.028011,-0.1038393,-0.4266199,1.036781,,,
0.06662800000000857,0.9090854,0.08043333,-0.04357401,-1.230409,-0.06961975,-1.060158,0.306533,-0.5495409,-0.9073387,0.4429793,2.3487,0.03844184,-0.7359141,4.846861,0.7859731,-0.2886257,-0.6842032,-0.7401754,-1.527333,0.7939101,-0.3284323,3.018544,-0.7782333,0.5199303,-0.832569,-0.1384768,2.334419,0.3216549,0.07266025,0.9824358,,,
0.13325600000001714,-0.6288257,-0.4643971,-0.05711107,0.09290538,-0.006594578,-1.766665,-0.620979,-1.629102,1.051583,-0.1220397,1.81053,-0.5685317,-0.2553272,5.010282,1.724041,-0.1305321,-1.03882,-0.3132239,-0.5226741,-0.4939144,-0.4384892,3.103273,0.5939482,0.5295985,-0.5719789,-0.4288299,2.266313,0.3713759,0.1916068,0.1871398,,,
0.19988399999999729,0.9568647,-0.7353109,0.3517619,-0.8351035,0.009813281,-1.121061,0.6761114,-0.7941514,-0.1108754,-0.5245553,2.228143,-0.1653016,0.1617159,4.002664,1.14982,0.2434855,-0.8591128,-0.1806748,-0.2276103,0.6306421,-0.57199,2.266436,0.235458,0.3163809,-0.3488773,-0.09242772,2.170285,0.1338839,-0.1931246,0.05015843,,,
0.26651200000000586,0.4326505,0.2909014,-0.06500948,-0.6557204,0.02869099,-1.52787,0.7599568,-0.6073267,0.5413222,-0.3273066,2.574756,-0.2669471,-0.4752899,3.885726,0.9726226,-0.3152224,0.8132216,-1.461568,1.313687,0.07514767,-0.790026,1.959412,-0.2894001,0.5581695,-2.122126,0.08434775,2.866593,-0.07207483,-0.05802514,0.5008923,,,
0.3331400000000144,0.8515555,-0.7105635,-0.3000273,-0.6275037,-0.09423505,-1.695384,0.7506927,-0.5532845,0.3536471,0.05619425,2.079386,-0.1228069,-0.4677767,2.525822,1.782365,-0.2316294,-0.6643362,-0.6796737,2.303939,0.453177,-0.02131142,2.050659,0.9434766,0.3820755,-0.5433498,0.2172534,1.58667,0.3914032,-0.5478427,0.04455237,,,
0.399768000000023,1.66937,-0.07546169,0.5174222,-0.3044237,0.1576913,-0.5866585,0.8931816,-1.019637,-0.4764591,-0.2194952,2.162177,-0.09879288,-0.372676,2.671204,1.354042,-0.1188403,-1.568002,-0.2868959,2.091033,-0.842867,0.08561908,2.24317,-0.2479377,0.2348061,-0.2322426,0.01754398,2.007543,0.5716578,0.2474071,0.2092407,,,
0.46639600000000314,0.04613087,1.250126,-0.4647462,0.5202769,-0.06413986,-1.326372,0.7644779,-0.8799577,-0.8372875,-0.748215,1.663491,-0.09969604,-0.6369578,2.984978,1.544635,-0.5091791,0.04355905,-0.3554846,1.338863,-0.274408,-0.24156,2.319316,0.5579247,-0.03812764,-0.5349717,-0.4481337,2.277627,-0.1454688,0.08840267,0.02396534,,,
0.5330240000000117,-0.4567649,-0.268851,0.9640021,-0.1714398,-0.05167308,-0.6035269,1.361989,-0.7483532,-0.4080211,-0.4929877,1.901932,-0.09087383,-0.3705792,1.792839,1.411168,-1.804307,-0.298108,-0.5373018,1.603074,-0.3582571,0.1254737,2.580932,0.1575477,0.1032016,-0.3852822,-0.624018,1.854627,-0.1035917,-0.2926261,0.02639511,,,
0.5996520000000203,-0.0417977,-0.2108744,0.2214462,-0.3136408,-0.2831443,-0.7784773,-0.1236227,-0.6302818,0.5695342,-0.5917839,2.135677,-0.239855,-0.6982386,1.338139,1.195345,-0.3436111,-0.07486565,0.1281915,1.142944,-0.5487548,0.5471873,2.136483,0.6680153,0.3355249,-0.31742,0.09910276,1.992962,0.05624453,0.1241001,-0.6927835,,,
