Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,906,314,3,36.4006,1
C001,undecided,255,255,255,649,609,3,37.1618,1
C002,undecided,255,255,255,750,259,1,40.6079,1
C003,undecided,255,255,255,541,238,1,39.3954,1
C004,undecided,255,255,255,577,164,3,36.2353,1
C005,undecided,255,255,255,625,434,2,43.6005,1
C006,undecided,255,255,255,988,523,3,34.2053,1
C007,undecided,255,255,255,613,301,4,41.5933,1
C008,undecided,255,255,255,743,96,15,29.0689,1
C009,undecided,255,255,255,804,233,3,37.4833,1
C010,undecided,255,255,255,852,289,1,36.4006,1
C011,undecided,255,255,255,476,95,2,47.4342,1
C012,undecided,255,255,255,647,440,2,42.2019,1
C013,undecided,255,255,255,1011,251,3,31.6228,1
C014,undecided,255,255,255,891,65,1,47.634,1
C015,undecided,255,255,255,941,175,5,32.8938,1
C016,undecided,255,255,255,862,164,5,34.4093,1
C017,undecided,255,255,255,646,405,1,37.6431,1
C018,undecided,255,255,255,447,189,9,42.107,1
C019,undecided,255,255,255,563,194,2,46.5296,1
C020,undecided,255,255,255,907,256,1,34.4819,1
C021,undecided,255,255,255,953,186,18,29.1204,1
C022,undecided,255,255,255,656,14,6,43.0465,1
C023,undecided,255,255,255,674,262,29,29.6985,1
C024,undecided,255,255,255,842,313,3,29.6985,1
C025,undecided,255,255,255,556,481,3,37.3363,1
C026,undecided,255,255,255,483,626,328,5.09902,1
C027,undecided,255,255,255,112,572,300,4.47214,1
C028,undecided,255,255,255,716,392,1,36.8782,1
C029,undecided,255,255,255,655,337,355,2.82843,1
C030,undecided,255,255,255,775,161,10,38.0132,1
C031,undecided,255,255,255,588,398,9,38.3275,1
C032,undecided,255,255,255,588,51,302,2.23607,1
C033,undecided,255,255,255,427,350,284,3.16228,1
C034,undecided,255,255,255,720,22,16,50.448,1
C035,undecided,255,255,255,673,124,4,54.0833,1
C036,undecided,255,255,255,647,176,1,34.2053,1
C037,undecided,255,255,255,983,287,3,38.6005,1
C038,undecided,255,255,255,415,222,302,3.16228,1
C039,undecided,255,255,255,241,733,353,2.82843,1
C040,undecided,255,255,255,551,158,348,4.47214,1
C041,undecided,255,255,255,708,72,130,28.0179,1
C042,undecided,255,255,255,578,124,1,34.4819,1
