Frame,C009,C013,C005,C028,C004,C012,C024,C008,C042,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C016,C000,C031,C007,C011,C010,C006,C030,mouse1,mouse2,contact
0.0,-0.829905,-0.3851259,-0.4012762,-0.5470108,0.5314113,0.2272874,1.1139,2.618095,-0.9668685,0.9840242,-1.516122,-0.3674787,-0.1241845,-0.4292031,2.293796,-0.03560093,-0.09063776,-0.2885714,0.5861675,1.307407,4.630246,0.692354,-1.219702,0.4720717,-0.7681948,0.6032049,-0.3036293,s,s,c
0.0666270000000111,-1.666364,-1.359125,-0.1243741,-0.4893151,0.8673422,0.2150938,1.896845,2.711209,-1.20767,0.928059,-1.37739,-0.115988,-0.3565166,-0.2709015,3.754864,-0.2798905,-0.1584846,-0.446919,-0.9474192,0.6693525,3.889029,0.8034713,-1.15228,0.7222991,-1.736059,0.5747458,0.954996,s,s,c
0.1332540000000222,-2.543393,0.3065116,-1.030347,-0.6173413,1.719644,0.7048467,0.9025218,2.107243,-1.08359,2.562981,-2.551783,0.5295342,-0.6149623,-1.234247,5.563797,0.5337508,-0.1387191,-0.7956899,0.7682193,2.403586,3.814681,1.381915,-1.024577,-0.7790061,-1.313893,0.4655711,-1.618278,s,s,c
0.19988100000000486,-1.97982,-0.5183958,-0.5541638,-0.4263943,0.2626171,-0.1754206,1.423463,-0.2467295,-1.250323,0.9155051,-0.5722826,0.7436733,-0.1463493,0.4081292,6.045242,1.089926,-0.3986171,-0.8171051,-2.333528,1.243964,3.865476,-0.8138464,-0.9190511,0.97561,-1.460596,1.257378,1.354327,s,s,c
0.26650800000001595,-3.859962,-0.9884682,-0.4930533,-0.366533,1.442093,-0.3043008,0.7016439,0.3802376,-1.09402,0.8143438,-1.143986,0.6052098,0.4396616,0.1283938,5.952647,-0.1645332,0.4880902,0.1976835,-1.969538,1.411003,6.418228,1.13876,-2.046818,0.1326584,-1.702677,1.04192,0.7562101,s,s,c
0.3331349999999986,-0.8003123,-0.708901,0.09241313,-0.3531615,0.4798701,0.2669175,-0.01119132,1.28201,-0.7997656,0.2460734,-1.21159,0.9382762,0.3995681,-0.3936489,4.770367,-0.1869472,-0.1807906,-0.3822136,0.2484879,0.622004,9.528214,0.9655422,-0.5794886,0.6103118,-0.5756809,0.5002601,0.5535955,s,s,c
0.3997620000000097,-0.7628788,-0.4996241,0.04892154,-0.2283313,-0.08962844,-0.2694462,0.170021,1.671768,-0.8620308,0.5595616,-0.8047864,-0.1307289,0.3969161,-0.8299848,4.613917,0.7675099,0.2461692,-0.06395961,0.5245865,1.693077,8.284199,0.4075393,-0.1147036,0.8858138,-0.4661341,0.5444013,0.001138054,s,s,c
0.4663890000000208,-1.263375,-0.2945287,-0.08878039,-0.08852692,0.6900343,0.8361067,0.8926273,2.887329,-1.271606,1.007165,-1.208307,0.6720221,0.1330349,-0.03264044,4.615142,1.003911,0.3796945,0.06729815,-0.4548683,1.734904,8.111449,-0.4617273,0.1167576,1.154914,-0.3340602,0.6884066,0.797594,s,s,c
0.5330160000000035,-1.229386,-0.4731551,-0.2701313,-0.4478028,0.1701322,-0.05632007,0.1511441,2.733938,-0.9059381,0.596918,-1.409577,0.4714955,0.710353,-0.07628479,4.322755,0.2395394,-0.2016924,-0.6242526,0.6174553,0.5048548,5.928838,-0.8335644,-0.2231275,0.8836071,-0.509813,0.5226082,-0.2400557,s,s,c
0.5996430000000146,-1.423716,-0.02316214,-0.01857737,-0.2391375,0.2302628,0.6656656,0.2273062,3.365701,-0.8916002,1.715559,-0.6933968,0.7482359,-0.6598133,-0.2974837,4.921356,1.039395,0.2783973,-0.2867553,1.452508,0.5619308,5.463255,-0.8632529,0.3117419,0.7741634,-0.6936371,0.5142947,-0.6504704,s,s,c
0.6662699999999973,-1.640203,-0.5716909,-0.08339967,-0.1786014,0.2533927,-0.4627005,-0.1296524,3.497273,-0.8925503,0.6245534,-1.372979,0.4213237,0.2467503,-0.2803864,5.024786,0.6748238,0.143923,-0.06322026,0.4502994,0.6900873,4.87134,0.1115504,-0.6687726,0.4735311,-0.7397849,0.324296,-0.4819608,s,s,c
0.7328970000000083,-0.8420183,0.1472072,-0.4892861,-0.1251357,-0.6080611,-0.4259364,1.735841,3.219576,-0.9455434,1.675583,-0.5280234,-0.04763091,-0.1117085,-0.1970502,4.693054,1.112837,-0.3941942,0.08988431,-0.2606302,1.052522,3.7617,-1.308982,0.6528554,0.7628759,-0.5580506,0.1875322,0.1025329,s,s,c
0.7995240000000194,-1.527624,0.4447014,-0.3001021,-0.3775681,0.2086424,0.7451614,0.4652329,4.017509,-1.341187,0.8388435,-0.05048098,0.3011138,0.1705739,-1.187408,4.110662,0.63869,0.3560047,-0.1278286,0.1286113,1.286186,3.053185,0.04563138,-0.2841958,0.2712241,-0.1232294,0.1396386,-1.201713,s,s,c
0.8661510000000021,-1.472384,-0.3963301,0.1647305,-0.2280075,0.1255455,0.2981553,1.328703,3.743812,-0.8526779,0.8436567,-0.4880279,0.6839171,0.6776534,-0.2505263,4.544433,1.743525,0.4167379,0.359218,0.7002662,1.548697,3.899074,-0.5756933,0.3562107,0.4447379,-0.686564,0.3488318,0.3850831,s,s,c
0.9327780000000132,-2.248478,-0.3328024,-0.135629,-0.2240583,-0.07752898,0.2997375,0.2775619,4.015126,-0.9142208,0.3173457,-0.138288,0.5701246,0.9318666,-0.06536409,4.577863,0.3921593,-0.2558438,-0.1735281,0.1771698,0.79924,3.402982,-0.3802747,-0.3465573,-0.5112409,-0.7363347,0.2795873,-0.3117437,s,s,c
0.9994049999999959,-2.723384,-0.9037927,0.4412373,-0.1075426,0.6420311,0.7147291,0.9823413,3.931131,-1.019952,-0.3965534,-0.7227401,-0.1521478,1.041346,-0.6708465,4.78455,0.5725096,-0.07076047,0.06780341,0.5509976,2.111797,3.966396,-0.09699124,0.4113746,0.6380921,0.1556074,0.04696259,-0.5775876,s,s,c
1.066032000000007,-1.650269,-0.816942,0.0814723,-0.3211906,0.02548129,-0.4214835,0.6555309,5.268841,-1.416041,-0.1610408,0.1602717,-0.2028909,0.9360713,-0.5832548,4.273309,0.8634988,0.0257346,0.1251667,1.621886,0.5122149,2.882,0.0004587265,0.4653337,0.5968137,0.02879103,0.2102124,-0.6782243,s,s,c
1.132659000000018,-1.830098,-1.159598,0.6714429,-0.3157041,0.5132364,-1.205349,1.097806,8.695992,-1.078449,-0.1027505,-1.673223,0.150523,2.150612,-1.206586,3.920785,-0.4978404,-0.0155172,-0.05580982,0.426345,1.375371,1.865422,0.04543726,-0.2159754,0.7410992,-1.134065,-0.05622703,-0.2907768,s,s,c
1.1992860000000007,-1.299262,-0.4416337,0.1958472,-0.4423364,0.3243903,0.1714482,-0.03708559,9.290783,-1.123605,0.3228539,-1.320007,0.8001233,1.52517,-1.41163,3.115842,-0.178096,-0.4125773,-0.432626,-0.2850998,1.117429,3.135701,0.5316889,-1.205835,0.2830227,-0.9993994,0.2882753,-0.05173314,s,s,c
1.2659130000000118,-1.465738,-1.051551,0.1726978,-0.3112101,-0.4397569,-0.4222817,0.6706784,8.645844,-0.9873973,0.4610114,-1.327301,0.05612393,1.627183,-1.186947,2.921711,0.03446684,-0.06549352,-0.09376897,-0.04911659,0.9733871,1.044588,-0.5015403,0.4471105,0.6160808,-0.4195806,0.02478582,-0.697996,s,s,c
1.332540000000023,-1.46324,-0.5290231,0.1635581,-0.2612687,-0.09895048,-0.2274968,0.5306485,7.46638,-1.097914,0.2075797,-1.248677,0.07773584,1.45124,-1.698862,2.386182,0.4004177,0.07178742,0.3325092,0.1152322,0.9704027,2.017137,0.4977924,-0.0803117,0.5222279,-0.8531374,-0.4016128,-1.610103,s,s,c
1.3991670000000056,-1.620166,-1.018129,-0.2455514,-0.3270475,0.1438961,-0.2035082,0.381238,8.019728,-0.9131519,0.8148798,-1.36041,-0.08673345,1.113356,-1.051673,2.443127,0.1733329,-0.09724566,-0.1862802,0.6527258,1.433255,1.700714,0.07154157,-0.1884561,0.295223,-1.353037,0.3502451,-0.1447184,s,s,c
1.4657940000000167,-0.9541902,-0.4474156,0.15383,-0.4453231,0.2625166,-1.56058,0.4652654,7.476574,-0.6676269,-1.03236,-1.415724,-0.2207268,1.717672,-1.716227,2.637869,-0.5985374,-0.9229636,0.1727153,-0.5419812,0.2453994,2.452533,-0.8584128,-0.7256081,0.0056067,-1.399959,-0.2282998,0.3849267,s,s,c
