Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,910,341,2,37.2022,1
C001,undecided,255,255,255,654,638,1,35.5106,1
C002,undecided,255,255,255,1018,277,6,37.108,1
C003,undecided,255,255,255,755,285,1,43.6005,1
C004,undecided,255,255,255,716,175,1,43.6005,1
C005,undecided,255,255,255,741,590,1,38.0789,1
C006,undecided,255,255,255,870,599,1,34.9285,1
C007,undecided,255,255,255,848,341,3,34.176,1
C008,undecided,255,255,255,805,19,3,40.4969,1
C009,undecided,255,255,255,725,418,1,37.054,1
C010,undecided,255,255,255,994,551,2,36.3593,1
C011,undecided,255,255,255,561,510,21,38.1182,1
C012,undecided,255,255,255,586,379,5,32.5269,1
C013,undecided,255,255,255,651,373,55,19.2354,1
C014,undecided,255,255,255,663,144,3,60.9262,1
C015,undecided,255,255,255,913,282,7,34.6554,1
C016,undecided,255,255,255,901,90,151,24.0416,1
C017,undecided,255,255,255,547,14,6,48.7647,1
C018,undecided,255,255,255,691,143,1,53.7122,1
C019,undecided,255,255,255,858,317,1,39.8497,1
C020,undecided,255,255,255,765,768,42,36.6879,1
C021,undecided,255,255,255,650,454,13,38.2753,1
C022,undecided,255,255,255,714,96,7,57.7754,1
C023,undecided,255,255,255,352,286,11,45.1774,1
C024,undecided,255,255,255,588,224,1,39.8246,1
C025,undecided,255,255,255,380,407,326,2.82843,1
C026,undecided,255,255,255,568,218,26,44.4072,1
C027,undecided,255,255,255,652,202,1,38.9102,1
C028,undecided,255,255,255,707,132,2,76.6616,1
C029,undecided,255,255,255,728,181,3,87.0919,1
C030,undecided,255,255,255,636,153,4,62.7694,1
C031,undecided,255,255,255,313,205,113,18.2483,1
C032,undecided,255,255,255,771,581,31,40.4475,1
C033,undecided,255,255,255,627,233,8,73.0069,1
C034,undecided,255,255,255,509,80,21,46.669,1
C035,undecided,255,255,255,341,41,12,35.3553,1
C036,undecided,255,255,255,726,61,18,54.1479,1
C037,undecided,255,255,255,261,766,293,3.60555,1
C038,undecided,255,255,255,549,381,85,30.8869,1
C039,undecided,255,255,255,369,67,394,3,1
C040,undecided,255,255,255,705,198,223,5.83095,1
C041,undecided,255,255,255,332,201,323,5,1
C042,undecided,255,255,255,697,38,232,6.40312,1
C043,undecided,255,255,255,543,379,291,6.08276,1
C044,undecided,255,255,255,661,147,303,3.16228,1
C045,undecided,255,255,255,634,177,282,6.32456,1
C046,undecided,255,255,255,749,241,3,84.1724,1
C047,undecided,255,255,255,313,504,348,3.60555,1
C048,undecided,255,255,255,768,282,4,56.4624,1
C049,undecided,255,255,255,513,247,290,2.23607,1
