Frame,C009,C005,C004,C008,C003,C019,C002,C001,C000,C007,C011,C010,C006
2.331945,0.1082075,-0.2219647,-0.08012047,0.3333455,-0.007710565,0.1869558,-0.02173162,0.157282,0.4922148,-0.06507473,0.2938282,-0.1310269,0.1511023
2.398572,0.2879101,0.3003368,0.1011357,-0.05923012,-0.788198,0.3386265,-0.1606345,0.4724728,0.5714176,-0.5699918,-0.03365247,1.078771,-0.4642502
2.465199,-0.2031656,-0.2631516,0.2861141,-0.2991964,0.5966901,-0.6678054,-0.08481986,-0.124588,0.3784966,-0.387367,-0.242723,0.2051184,-0.5275551
2.531826,-0.512248,0.3111007,0.3036052,-0.1944758,-0.3340731,-0.3448203,-0.04802531,-0.4132179,-0.4055369,0.02152795,-0.7188656,0.5073779,-0.4538386
2.598453,0.5084914,-0.0586587,0.06303111,-0.1572717,-0.5754392,0.1052438,-0.1826983,0.6786621,-0.2430036,-0.9065223,-1.226571,0.8749765,-0.0425316
2.66508,0.4208691,0.05097116,0.1092124,0.5911351,-1.584042,0.2517215,0.2862694,0.06123284,-0.01087546,0.1258001,-1.033542,-0.4783879,0.3895882
2.731707,0.1209732,-0.0781149,0.145454,-0.1414033,-0.4346701,-0.5682195,-0.2470874,0.3586188,0.4433134,-0.6737751,-1.242166,0.4944793,0.3081607
2.798334,0.6669986,0.1518168,-0.1024745,0.4003682,-0.3233829,0.6396064,-0.3823502,0.6518221,-0.5083599,-1.219169,0.629909,0.4234642,-0.28101
2.864961,-0.009152249,-0.3185977,-0.01984231,0.137542,0.4530681,-0.630405,0.5326325,-0.6361046,0.1654821,0.4067482,-0.9181537,-0.78534,-0.5466368
2.931588,0.3658114,0.3975931,-0.09562388,-0.1551704,-0.836351,0.7254552,0.4728232,0.4352954,-0.09915409,-0.6763933,1.632912,0.1501618,-0.05753621
2.998215,0.03037215,-0.04427044,-0.1051578,-0.5565963,0.6430923,-0.3321792,-0.1512055,-0.06741114,-0.0686166,-0.6991604,-0.3881421,0.4583533,0.2727163
3.064842,-0.09875762,-0.1542897,-0.1468106,0.5572121,-0.9762727,1.340189,0.2602132,0.1363059,-0.374024,0.2634593,-1.166663,-0.1942466,-0.1300667
