Frame,C009,C005,C004,C008,C003,C019,C002,C001,C000,C007,C011,C010,C006,mouse1,mouse2,contact
0.0,-0.8660613,-0.4133764,2.037986,-0.01041305,0.07684281,-1.459968,-0.3701833,-0.03004431,0.1352763,0.02930872,0.7933033,0.6721908,0.5330634,,,
0.0666270000000111,0.235796,-0.4761536,1.31914,-0.3549792,0.005630096,-0.8165984,-0.02557285,0.1138779,0.1288982,0.7384912,0.4499056,0.3773687,-0.2965246,,,
0.1332540000000222,0.7569429,-0.5025803,1.367087,0.000511292,0.7550696,-1.057623,0.08487412,0.3744623,0.09946799,-1.231018,-0.4660973,-0.5066432,0.4942947,,,
0.19988100000000486,-0.1422629,0.09822833,1.350276,-0.4041837,-0.1307657,-0.9316868,-0.2865213,-0.4612795,0.212119,0.6432114,0.7110831,0.534799,-0.2391898,,,
0.26650800000001595,-0.2468687,-0.08091957,1.378856,-0.07982974,0.5238405,-0.5226578,-0.2120311,0.08945885,0.2335922,-0.3500276,0.1789839,0.1016718,-0.04368285,,,
0.3331349999999986,-0.2499072,-0.2628042,1.357989,-0.8255981,-0.08225233,-0.9571573,0.5507032,-0.0212057,0.1965284,0.3385234,1.264761,0.3926426,0.7030528,,,
0.3997620000000097,-0.4861994,-0.002395934,1.677651,-0.1174559,0.1834519,-0.35215,0.5850857,0.6750383,-0.3054375,-0.01815272,0.2242173,0.4243009,0.4874494,,,
0.4663890000000208,-0.370907,-0.9380063,0.8501667,-0.8506405,0.684568,-1.170863,0.2327775,-0.3089982,0.2460034,0.8688027,-0.5558733,-1.172562,-0.234996,,,
0.5330160000000035,-0.4890808,-0.9396918,1.175142,-0.2951001,0.850162,-1.389681,-0.5150008,-0.01932539,0.04924403,-0.118993,0.3153817,-0.3500102,0.3872368,,,
0.5996430000000146,-0.6323336,-0.4573392,1.274717,0.3912261,-0.5888776,-0.590946,-0.3398397,-0.5623267,0.4315896,-0.3744513,1.028058,-0.5158635,-0.5898251,,,
0.6662699999999973,-0.3314956,-0.5109815,1.508364,-0.2601406,-1.336352,-0.6359877,-1.119796,-0.6340027,-0.09164375,0.8562782,0.4280844,-0.5592653,-0.3847862,,,
0.7328970000000083,-0.1192859,-0.4673218,0.968971,-0.3221064,-0.2993412,-0.5233495,-0.5701233,1.008824,0.1267226,0.5173624,-0.5106061,-0.205211,-0.2242362,,,
0.7995240000000194,-0.1811106,-0.3048959,1.791952,0.08242998,0.4517487,-0.7878814,0.364997,-0.7544948,-0.2951281,-1.317092,2.624646,-0.6935675,-0.1168431,,,
0.8661510000000021,-0.8804615,0.07726882,0.7657176,-0.3563469,0.8666626,-0.05654074,-1.449425,0.2106755,0.2821992,-0.7412388,-0.03007651,0.9870453,-0.4033782,,,
0.9327780000000132,-0.4296845,-0.784458,1.314821,-0.3519007,-0.5476815,-1.866724,-1.70592,-0.5329559,0.411582,2.698336,0.8846252,-0.4338408,-1.196131,,,
0.9994049999999959,-0.3193524,-0.9092367,0.9586591,-0.4772362,0.265355,-0.2022731,0.2538968,-0.3085461,-0.3734182,-0.2969055,0.4256185,0.6101937,-0.7968125,,,
1.066032000000007,-0.01513397,-0.5400109,1.096546,0.6938452,-0.09288836,-0.633516,-0.3653176,0.8946253,0.6659287,-0.426458,-0.7231396,0.05004697,-0.5761346,,,
1.132659000000018,0.2497369,-0.7994936,0.5468125,-0.4041723,0.2940859,-0.7992336,-0.09716935,0.359833,0.2482765,0.07466763,0.2773173,0.02013075,-0.5737484,,,
1.1992860000000007,0.3091291,0.1152293,1.406707,-0.01929304,0.5195243,-0.3675385,0.3775798,0.2676346,0.06797953,-1.474531,1.140797,-0.1944654,-0.1647001,,,
1.2659130000000118,-0.2704721,-0.5906307,1.49105,0.8428521,0.6445972,-1.966937,-1.308468,-0.1566237,0.5153587,0.269965,-1.265059,1.192328,-0.2364874,,,
1.332540000000023,-0.4066484,-0.2714433,1.407741,-0.0635384,0.5377075,-1.24777,-0.8211645,0.6683401,0.2039708,-0.6089504,-0.07468351,0.4932197,-0.1109692,,,
1.3991670000000056,0.3108781,0.2187659,1.30511,-0.3089843,0.8531995,-1.195865,0.3970561,-0.002684555,-0.2519401,0.7792038,0.4499924,-0.3985231,0.07978711,,,
1.4657940000000167,0.2189091,1.069458,1.434798,0.5563583,-0.1454049,-1.812074,-1.050958,-0.1667669,-0.09394584,-0.9915883,-0.85382,0.3789336,-0.7177178,,,
1.5324209999999994,0.2440496,1.969463,1.505605,0.2582642,0.2202329,-0.4719395,-0.4409087,0.2235382,-0.1134312,-0.6601429,-0.01921597,-0.531249,0.1473999,,,
1.5990480000000105,0.4206749,1.000888,1.28448,0.320575,-0.03747838,-0.793866,0.056655,0.591954,-0.1760619,0.1475598,0.1821327,-0.1324779,-0.3617973,,,
1.6656750000000216,-0.1088198,0.3088422,1.298376,0.4407752,0.7731537,-1.073874,-0.6563026,-0.4152442,0.2556786,-0.1529544,-0.3917947,0.3858007,-1.011366,,,
1.7323020000000042,0.4008139,0.6556243,1.677177,-0.146206,0.1687476,-1.472902,0.3475379,0.19133,0.1780537,-0.3151257,-0.05448378,0.05710853,-0.472667,,,
1.7989290000000153,0.2783612,0.3130703,1.864331,-0.3474143,-0.1067804,-1.055969,0.01205684,-0.06113723,-0.4175671,0.2417064,-0.177951,0.05032035,-0.005548044,,,
1.865555999999998,0.1010518,0.4750526,1.691659,-0.540606,1.068983,-1.549755,0.256756,0.2485037,0.2583664,0.2284077,-0.9657211,-0.1674458,-0.06970984,,,
1.932183000000009,0.200093,0.4627581,1.49639,-0.5574836,0.4385615,-0.6420761,0.5899465,0.5579692,-0.2661546,0.4004675,-0.01635582,-0.06944406,0.08301614,,,
1.9988100000000202,0.05868567,0.3366467,1.382771,-0.2748868,0.01257299,-1.935929,-0.5887803,0.009108143,-0.03920299,1.104447,-0.3994525,-0.9131979,-0.06494964,,,
2.065437000000003,-0.5877514,0.505755,1.467527,-0.3411096,-0.5525365,-1.100258,-0.9209627,-0.07061055,0.01654921,0.7432454,0.08436116,0.3190672,0.05439379,,,
2.132064000000014,-0.4450366,0.2030518,1.439062,-0.2325715,1.017604,-1.213301,-0.1348976,-0.3101862,0.1511357,-0.7626633,-0.6092241,-0.198669,0.7220032,,,
