Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,372,238,1,39.6232,1
C001,undecided,255,255,255,624,267,1,39.1152,1
C002,undecided,255,255,255,896,633,1,46.0435,1
C003,undecided,255,255,255,648,474,1,38.2753,1
C004,undecided,255,255,255,580,246,1,34.0588,1
C005,undecided,255,255,255,502,213,1,38.833,1
C006,undecided,255,255,255,484,426,2,42.72,1
C007,undecided,255,255,255,281,600,1,41.9762,1
C008,undecided,255,255,255,369,474,1,45.793,1
C009,undecided,255,255,255,500,413,1,31.3847,1
C010,undecided,255,255,255,660,765,1,41.3038,1
C011,undecided,255,255,255,571,216,1,40.6079,1
C012,undecided,255,255,255,495,308,1,42.0595,1
C013,undecided,255,255,255,376,565,1,41,1
C014,undecided,255,255,255,301,77,1,44.8219,1
C015,undecided,255,255,255,691,679,1,43.2666,1
C016,undecided,255,255,255,817,346,1,32.249,1
C017,undecided,255,255,255,772,602,8,43.9659,1
C018,undecided,255,255,255,875,621,1,41.2311,1
C019,undecided,255,255,255,350,297,4,36.7696,1
C020,undecided,255,255,255,588,191,1,56.921,1
C021,undecided,255,255,255,525,542,17,48.2701,1
C022,undecided,255,255,255,675,147,347,8.60233,1
C023,undecided,255,255,255,333,495,1,41,1
C024,undecided,255,255,255,321,534,1,39.0512,1
C025,undecided,255,255,255,458,408,1,32.7567,1
C026,undecided,255,255,255,374,430,1,35.3553,1
C027,undecided,255,255,255,412,635,1,48.6004,1
C028,undecided,255,255,255,878,212,6,47.1275,1
C029,undecided,255,255,255,817,424,1,36.3593,1
C030,undecided,255,255,255,719,4,1,42.0119,1
C031,undecided,255,255,255,757,380,5,37.3631,1
C032,undecided,255,255,255,375,164,1,59.6154,1
C033,undecided,255,255,255,437,179,1,44.3847,1
C034,undecided,255,255,255,671,178,1,49.98,1
C035,undecided,255,255,255,601,225,1,36.7151,1
C036,undecided,255,255,255,881,751,5,37.4833,1
C037,undecided,255,255,255,585,51,1,36.4006,1
C038,undecided,255,255,255,501,189,2,44.9444,1
C039,undecided,255,255,255,598,556,1,43.2666,1
C040,undecided,255,255,255,513,394,1,41.8808,1
C041,undecided,255,255,255,528,445,2,43.1393,1
C042,undecided,255,255,255,530,312,1,38.6005,1
C043,undecided,255,255,255,406,257,2,42.4382,1
C044,undecided,255,255,255,453,155,2,36.6197,1
C045,undecided,255,255,255,404,142,1,37.3363,1
C046,undecided,255,255,255,781,657,21,49.6488,1
C047,undecided,255,255,255,606,331,1,72.0278,1
C048,undecided,255,255,255,352,265,1,47.927,1
C049,undecided,255,255,255,982,206,3,43.8634,1
C050,undecided,255,255,255,312,680,3,27.074,1
C051,undecided,255,255,255,386,363,1,51.923,1
C052,undecided,255,255,255,583,69,2,43.9659,1
C053,undecided,255,255,255,656,76,1,38.1182,1
C054,undecided,255,255,255,342,442,1,63.0714,1
C055,undecided,255,255,255,388,280,1,43.566,1
C056,undecided,255,255,255,710,226,1,72.6911,1
C057,undecided,255,255,255,397,167,2,54.626,1
C058,undecided,255,255,255,366,407,1,48.2597,1
C059,undecided,255,255,255,307,461,3,63.6946,1
C060,undecided,255,255,255,438,402,1,36.0555,1
C061,undecided,255,255,255,340,355,4,43.566,1
C062,undecided,255,255,255,318,413,1,44.2719,1
C063,undecided,255,255,255,442,254,1,41.0488,1
C064,undecided,255,255,255,758,395,1,34.6699,1
C065,undecided,255,255,255,442,357,1,42.2019,1
C066,undecided,255,255,255,463,325,1,53.8516,1
C067,undecided,255,255,255,412,126,15,36.2491,1
C068,undecided,255,255,255,567,445,2,34.9857,1
C069,undecided,255,255,255,271,354,8,61,1
C070,undecided,255,255,255,413,207,3,42.72,1
C071,undecided,255,255,255,396,390,16,53.0094,1
C072,undecided,255,255,255,241,394,2,68.1175,1
C073,undecided,255,255,255,383,346,9,40.6079,1
C074,undecided,255,255,255,554,430,2,31.4006,1
C075,undecided,255,255,255,357,378,1,57.9741,1
C076,undecided,255,255,255,607,96,2,80.5295,1
C077,undecided,255,255,255,356,112,2,47.5395,1
C078,undecided,255,255,255,639,223,2,41.5933,1
C079,undecided,255,255,255,630,165,4,125.036,1
C080,undecided,255,255,255,392,193,14,44.5982,1
C081,undecided,255,255,255,480,296,1,38.2099,1
C082,undecided,255,255,255,325,392,1,60.7289,1
C083,undecided,255,255,255,722,172,1,72.4224,1
C084,undecided,255,255,255,229,329,7,75.326,1
C085,undecided,255,255,255,739,79,1,36.4966,1
C086,undecided,255,255,255,701,111,17,39.8121,1
C087,undecided,255,255,255,761,129,1,65.521,1
C088,undecided,255,255,255,339,35,10,62.482,1
C089,undecided,255,255,255,424,344,2,57.5847,1
C090,undecided,255,255,255,339,508,2,51.8652,1
C091,undecided,255,255,255,846,299,5,33.2415,1
C092,undecided,255,255,255,564,475,13,41.2311,1
C093,undecided,255,255,255,609,248,1,45,1
C094,undecided,255,255,255,953,592,3,44.4185,1
C095,undecided,255,255,255,532,288,6,40.1995,1
C096,undecided,255,255,255,500,491,6,38.833,1
C097,undecided,255,255,255,563,270,5,44.911,1
C098,undecided,255,255,255,521,350,4,85.8836,1
C099,undecided,255,255,255,573,329,2,51.4781,1
C100,undecided,255,255,255,948,737,12,43.7379,1
C101,undecided,255,255,255,295,405,1,55.0818,1
C102,undecided,255,255,255,341,155,4,61.0328,1
C103,undecided,255,255,255,230,240,7,58.6003,1
C104,undecided,255,255,255,333,681,4,51.4781,1
C105,undecided,255,255,255,755,66,2,98.2344,1
C106,undecided,255,255,255,413,419,3,50.774,1
C107,undecided,255,255,255,310,352,22,48.3322,1
C108,undecided,255,255,255,327,233,4,70.1783,1
C109,undecided,255,255,255,402,81,11,37.054,1
C110,undecided,255,255,255,511,60,2,40.3113,1
C111,undecided,255,255,255,279,475,15,51.264,1
C112,undecided,255,255,255,310,277,25,40.7922,1
