Frame,C009,C025,C013,C005,C029,C004,C045,C024,C008,C015,C003,C039,C019,C023,C035,C018,C038,C002,C014,C001,C017,C040,C037,C021,C036,C016,C000,C031,C027,C007,C011,C010,C006,C026,C030,mouse1,mouse2,contact
0.0,-0.04644639,-1.295352,0.2943625,4.165084,-1.439762,1.270962,-0.3786044,0.536436,1.409525,2.572746,0.6043758,3.29144,2.753718,-0.1355546,-0.2920246,-0.1936567,-1.587084,-0.3530961,0.7102745,-0.1100468,1.490006,-0.2830223,-0.6496643,-0.2932495,-0.6027833,-0.3890591,0.6981072,0.143229,-0.8120424,0.1254146,0.1319253,0.4901052,-2.515634,0.2409147,0.842348,,,
0.06662800000000857,-0.2815934,-0.4699638,0.418048,4.466677,-1.3176,1.899425,-0.3313226,-0.8613802,-0.6561141,2.681939,0.1081961,2.898585,3.233578,0.05692424,-0.1003953,0.196248,-0.5610542,0.2872105,1.016279,-0.2248912,0.9254895,-0.1020169,1.112471,-1.163806,-0.165912,-0.7384195,0.599321,-0.8637034,-0.5647985,0.2167955,-0.06979696,0.7724058,-0.9849452,0.5853265,0.9667194,,,
0.13325600000001714,-0.8955538,-0.9680089,-1.144809,4.101755,-0.9665272,1.481072,-0.3023419,-0.5426785,-1.217973,3.864987,0.4920238,2.968647,3.457335,-0.4143444,-0.1917256,0.305532,-2.08402,0.837388,-0.2481951,-0.372495,1.688959,0.0896762,0.7721163,0.3697774,-0.3663758,-0.009154611,0.4333178,0.2112948,-0.5973529,0.7770299,-0.3455209,0.76695,-0.7969577,-0.899577,0.1215804,,,
0.19988399999999729,-0.7393747,-1.244646,-1.07376,3.699349,-0.5070984,1.960149,-0.3109295,0.3833182,-0.1921482,6.036494,0.1469513,3.41329,3.099823,-1.115895,0.1700232,-0.02436983,-1.503409,0.4169669,0.5998979,-0.004000841,1.231496,0.2349489,0.1848413,0.7869413,-0.9188588,-0.1860604,0.9195184,1.31416,-0.8079414,0.1790164,0.2158137,1.314194,-0.07679592,-0.4341221,-0.3313119,,,
0.26651200000000586,-0.05876779,-0.5548052,-0.8335354,3.719591,-0.2334901,1.957314,-0.2209329,-0.2030806,0.1267286,7.062072,0.5408489,2.377414,2.157563,-0.9666665,-0.2508387,-1.135372,-1.183143,-0.218666,1.133078,-0.1005838,1.400905,-0.09254111,2.595352,0.5896466,-0.6195893,-0.1598407,0.5810407,1.209144,-0.6460265,0.773244,0.01115216,1.319193,-1.64013,-0.262194,0.002211726,,,
0.3331400000000144,-0.2771979,-1.445292,-0.2279252,3.410617,-0.6143246,0.5322835,-0.3590942,-0.1490914,0.04440417,6.776781,0.3590521,3.136622,1.64595,-0.6810821,-0.05216437,-0.6490501,-1.737629,-0.1427113,0.2586681,-0.2399498,1.508883,-0.7380826,-0.3261852,-0.3279527,-0.03088802,-0.227107,0.8382388,0.4318584,-0.7721507,0.9903485,-0.0443866,0.3255713,-1.205999,-0.3870636,-0.5034947,,,
0.399768000000023,-0.9047066,-1.076181,-0.2865222,3.015325,-1.499214,0.7444046,-0.3490005,0.8757027,-1.311313,6.010381,0.1527588,2.430445,2.038541,-0.90605,-0.4299458,-0.7552156,-2.164983,0.06532221,0.5267354,-0.3205021,0.2539361,-0.1155321,0.8559421,0.1471957,-0.171358,-0.05592993,0.1412906,0.7306222,-0.7270336,0.4885785,0.2055419,0.107806,-0.7770686,-0.231891,-0.3729389,,,
0.46639600000000314,-0.3005569,-1.578121,-0.4560629,2.218479,-0.7911518,0.7789432,-0.4265742,0.4541666,-0.3366531,5.308594,0.3021004,2.189117,0.7799593,-0.001209979,-0.01666833,-1.16718,-0.8200289,0.2636573,0.8495651,-0.2818854,2.186162,-0.5314739,0.6073129,-0.1627412,0.030926,-0.0761084,-0.391843,-0.4796538,-0.4742252,0.3929825,-0.1703849,0.09841036,-0.6837265,-0.2085296,-0.598722,,,
0.5330240000000117,-0.6749843,-1.755844,-0.4953655,2.594478,-0.193108,0.1670286,-0.4645632,-0.4464287,0.9352672,5.175282,0.06524915,3.431068,0.7411858,-0.4876807,-0.6212158,-0.5842829,-2.250485,0.1972078,1.548589,-0.148142,0.829437,-0.3056272,1.404371,-0.2035131,-0.04804295,-0.4693195,0.7441337,0.4064882,-0.09242467,0.276718,0.113257,0.3482473,-0.1496683,0.1506232,-0.8285038,,,
0.5996520000000203,0.09791556,-0.9560484,-0.5120561,1.88262,-0.1623646,1.187767,-0.3299415,1.420251,-0.06482986,4.649428,0.611729,2.761959,1.515066,0.3782279,-0.06977994,0.093095,-0.7770173,-0.03312059,1.735893,-0.3113959,1.102772,-0.4291139,0.563006,0.290601,-0.3311736,-0.5481718,-0.0462916,0.8663812,-0.4839255,0.8062811,0.053772,-0.1173012,-0.934764,0.1742182,-0.8482383,,,
