,approachON,approachOFF,retreatON,retreatOFF
C009,0,0,0,0
C025,0,0,0,0
C013,0,0,0,0
C005,0,0,0,0
C029,0,0,0,0
C004,0,0,0,0
C045,0,0,0,0
C024,0,0,0,0
C008,0,0,0,0
C015,0,0,0,0
C003,0,0,0,0
C039,0,0,0,0
C019,0,0,0,0
C023,0,0,0,0
C035,0,0,0,0
C018,0,0,0,0
C038,0,0,0,0
C002,0,0,0,0
C014,0,0,0,0
C001,0,0,0,0
C017,0,0,0,0
C040,0,0,0,0
C037,0,0,0,0
C021,0,0,0,0
C036,0,0,0,0
C016,0,0,0,0
C000,0,0,0,0
C031,0,0,0,0
C027,0,0,0,0
C007,0,0,0,0
C011,0,0,0,0
C010,0,0,0,0
C006,0,0,0,0
C026,0,0,0,0
