Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,618,293,1,38.9102,1
C001,undecided,255,255,255,366,264,1,40.05,1
C002,undecided,255,255,255,542,284,1,42.2019,1
C003,undecided,255,255,255,319,425,1,35.3553,1
C004,undecided,255,255,255,643,500,1,38.2753,1
C005,undecided,255,255,255,275,626,1,43.0116,1
C006,undecided,255,255,255,393,240,2,29.8329,1
C007,undecided,255,255,255,512,626,1,49.2037,1
C008,undecided,255,255,255,891,659,1,43.9318,1
C009,undecided,255,255,255,369,592,1,43.0116,1
C010,undecided,255,255,255,515,374,3,36.8917,1
C011,undecided,255,255,255,346,256,1,39.4081,1
C012,undecided,255,255,255,480,454,1,44.2832,1
C013,undecided,255,255,255,343,324,1,42.0476,1
C014,undecided,255,255,255,471,265,1,38.3275,1
C015,undecided,255,255,255,495,239,1,38.0789,1
C016,undecided,255,255,255,877,776,22,28.6356,1
C017,undecided,255,255,255,363,500,1,46.1411,1
C018,undecided,255,255,255,712,19,1,39.4588,1
C019,undecided,255,255,255,794,163,1,33.6006,1
C020,undecided,255,255,255,435,280,1,40.6079,1
C021,undecided,255,255,255,493,437,1,31.9061,1
C022,undecided,255,255,255,752,414,1,38.6005,1
C023,undecided,255,255,255,377,385,1,36.4006,1
C024,undecided,255,255,255,766,627,6,44.2832,1
C025,undecided,255,255,255,407,662,1,48.8262,1
C026,undecided,255,255,255,636,672,2,47.1699,1
C027,undecided,255,255,255,595,251,1,36.1248,1
C028,undecided,255,255,255,451,434,1,31.9061,1
C029,undecided,255,255,255,592,584,1,43.9318,1
C030,undecided,255,255,255,650,101,1,39.4588,1
C031,undecided,255,255,255,581,74,2,37.1214,1
C032,undecided,255,255,255,376,192,1,55.5428,1
C033,undecided,255,255,255,345,291,1,46.0977,1
C034,undecided,255,255,255,293,490,1,59.808,1
C035,undecided,255,255,255,351,460,1,52.3927,1
C036,undecided,255,255,255,945,761,9,44.0114,1
C037,undecided,255,255,255,907,517,21,51.6236,1
C038,undecided,255,255,255,335,394,3,57.0789,1
C039,undecided,255,255,255,360,434,1,48.2597,1
C040,undecided,255,255,255,435,206,4,43.909,1
C041,undecided,255,255,255,687,705,4,41.8808,1
C042,undecided,255,255,255,315,456,1,38.8973,1
C043,undecided,255,255,255,894,250,2,70.9366,1
C044,undecided,255,255,255,382,308,2,37.7359,1
C045,undecided,255,255,255,695,135,7,34.2053,1
C046,undecided,255,255,255,571,91,2,52.5547,1
C047,undecided,255,255,255,617,216,6,48.7647,1
C048,undecided,255,255,255,496,493,8,41.6173,1
C049,undecided,255,255,255,233,418,4,71.1758,1
C050,undecided,255,255,255,436,383,1,43.1741,1
C051,undecided,255,255,255,432,428,1,35.7351,1
C052,undecided,255,255,255,812,371,1,31.257,1
C053,undecided,255,255,255,323,478,1,63.6946,1
C054,undecided,255,255,255,949,616,3,44.9444,1
C055,undecided,255,255,255,406,234,2,48.7647,1
C056,undecided,255,255,255,580,216,1,55.3624,1
C057,undecided,255,255,255,812,449,3,36.8782,1
C058,undecided,255,255,255,593,355,2,69.0652,1
C059,undecided,255,255,255,547,456,6,31.8277,1
C060,undecided,255,255,255,490,565,9,36.2353,1
C061,undecided,255,255,255,681,49,2,40.3113,1
C062,undecided,255,255,255,582,278,3,39.3192,1
C063,undecided,255,255,255,975,235,3,44.3847,1
C064,undecided,255,255,255,580,407,51,39.9249,1
C065,undecided,255,255,255,392,415,15,50.8035,1
C066,undecided,255,255,255,508,418,4,36.7696,1
C067,undecided,255,255,255,564,240,15,35.8469,1
C068,undecided,255,255,255,462,99,18,31.7648,1
C069,undecided,255,255,255,778,233,7,69.3181,1
C070,undecided,255,255,255,347,185,2,67.4166,1
C071,undecided,255,255,255,320,555,3,48.8365,1
C072,undecided,255,255,255,303,382,47,30.1496,1
C073,undecided,255,255,255,991,618,23,55.2178,1
C074,undecided,255,255,255,721,193,1,64.2028,1
C075,undecided,255,255,255,840,323,13,31.1448,1
C076,undecided,255,255,255,644,297,13,18.2483,1
C077,undecided,255,255,255,476,318,33,32.6497,1
C078,undecided,255,255,255,659,693,2,41.8808,1
C079,undecided,255,255,255,554,294,63,39.6232,1
C080,undecided,255,255,255,779,683,25,48.2701,1
C081,undecided,255,255,255,322,517,1,37.4833,1
C082,undecided,255,255,255,740,453,13,36.0555,1
C083,undecided,255,255,255,704,249,3,85.9884,1
C084,undecided,255,255,255,600,122,2,82.7647,1
C085,undecided,255,255,255,634,237,5,39.4462,1
C086,undecided,255,255,255,396,165,7,40.3609,1
C087,undecided,255,255,255,756,160,1,57.9741,1
C088,undecided,255,255,255,402,272,1,41.3401,1
C089,undecided,255,255,255,521,338,3,48.1664,1
C090,undecided,255,255,255,222,352,11,81.2219,1
C091,undecided,255,255,255,363,22,36,43.0465,1
C092,undecided,255,255,255,265,389,15,67.4759,1
C093,undecided,255,255,255,482,338,4,48.3322,1
C094,undecided,255,255,255,339,526,3,43.6005,1
C095,undecided,255,255,255,758,116,2,45.8912,1
C096,undecided,255,255,255,529,313,4,44.3847,1
C097,undecided,255,255,255,485,394,11,57.1402,1
C098,undecided,255,255,255,652,203,7,37.4833,1
C099,undecided,255,255,255,346,359,6,60.0167,1
C100,undecided,255,255,255,339,231,2,48.0208,1
C101,undecided,255,255,255,504,289,2,64.3817,1
C102,undecided,255,255,255,410,375,1,50.774,1
C103,undecided,255,255,255,447,356,1,57.2713,1
C104,undecided,255,255,255,413,445,1,48.7545,1
C105,undecided,255,255,255,925,242,10,35.7771,1
C106,undecided,255,255,255,524,468,7,33.6155,1
C107,undecided,255,255,255,508,83,5,34.4384,1
C108,undecided,255,255,255,453,722,13,48.3011,1
C109,undecided,255,255,255,321,260,7,76.6942,1
C110,undecided,255,255,255,750,97,12,35.3553,1
C111,undecided,255,255,255,624,261,8,53.2541,1
C112,undecided,255,255,255,732,105,5,33.7343,1
C113,undecided,255,255,255,487,88,7,25.5539,1
C114,undecided,255,255,255,478,129,13,56.5862,1
C115,undecided,255,255,255,464,240,5,52.4023,1
C116,undecided,255,255,255,376,462,9,43.2666,1
C117,undecided,255,255,255,770,129,1,39.3192,1
C118,undecided,255,255,255,692,388,6,44.4185,1
C119,undecided,255,255,255,758,92,2,44.643,1
C120,undecided,255,255,255,381,541,13,57.0351,1
C121,undecided,255,255,255,450,182,30,33.1059,1
C122,undecided,255,255,255,287,430,11,51.8941,1
C123,undecided,255,255,255,388,348,123,32.249,1
C124,undecided,255,255,255,691,27,23,33.7343,1
C125,undecided,255,255,255,405,331,6,40.05,1
C126,undecided,255,255,255,433,257,1,57.0088,1
C127,undecided,255,255,255,437,570,53,26.4197,1
C128,undecided,255,255,255,353,405,2,53.3667,1
C129,undecided,255,255,255,520,58,22,68.884,1
C130,undecided,255,255,255,752,427,118,21.6333,1
C131,undecided,255,255,255,446,36,3,51.5461,1
C132,undecided,255,255,255,806,132,12,73.4098,1
C133,undecided,255,255,255,422,175,137,23.6008,1
C134,undecided,255,255,255,197,780,3,121.565,1
C135,undecided,255,255,255,737,58,10,43.566,1
C136,undecided,255,255,255,644,46,5,39.5601,1
C137,undecided,255,255,255,563,329,37,44.1475,1
C138,undecided,255,255,255,735,70,6,65.9242,1
C139,undecided,255,255,255,638,31,14,70.8378,1
C140,undecided,255,255,255,351,482,4,50.9902,1
C141,undecided,255,255,255,980,494,12,70.4911,1
C142,undecided,255,255,255,753,404,141,13.8924,1
C143,undecided,255,255,255,1053,313,24,85.8836,1
C144,undecided,255,255,255,428,98,3,33.3017,1
C145,undecided,255,255,255,426,676,41,79.404,1
C146,undecided,255,255,255,480,6,2,36.2491,1
C147,undecided,255,255,255,438,89,7,28.6531,1
C148,undecided,255,255,255,439,23,2,67.9779,1
C149,undecided,255,255,255,446,77,4,44.0114,1
