Frame,C009,C025,C013,C005,C029,C028,C004,C012,C008,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C020,C016,C000,C027,C050,C007,C011,C010,C006,C026,C030
1.066048,-0.5787136,-0.5998899,-0.4937475,0.1804586,-2.217442,-0.1502352,-0.3367085,-0.5758883,0.6959661,-0.09354286,0.03290155,-0.9200191,-0.9515345,-0.1763389,-0.9764954,1.013926,-0.5844482,1.225992,-0.3261983,0.6699887,2.157033,-0.04246682,1.342951,1.045861,-2.333374,-0.6333852,-0.7292132,0.08264834,-1.656703,-0.1189938
1.132676,0.2198678,-0.6983945,-1.289838,0.4627396,-2.605107,0.6669071,-0.5164105,-0.510182,0.6833987,0.04286554,-0.8040425,-0.0006266042,-0.01340592,0.07095082,-0.7292464,1.290136,0.4095341,0.3434452,-0.5524938,0.3710685,0.5576313,-0.3532299,2.054683,0.8435292,-2.668354,-0.6259653,-0.8916749,0.4538379,-1.102516,0.0850556
1.199304,-0.4032989,-1.384109,-0.9179117,0.01548548,-1.935536,-0.8918726,0.2790266,-0.3507509,0.3275886,-0.2899931,-0.05064061,0.7677283,0.2088792,-0.2804571,-0.9080941,-0.07588048,0.5780485,-0.5577003,-0.3829004,0.4501712,0.6810836,0.1151828,2.623694,0.5498343,-2.687677,-0.09454657,-1.145393,-0.3509227,-0.6423909,-0.6274087
1.265932,-0.1816862,0.6240644,0.08213106,0.3997126,-3.507861,-0.06608973,0.2123581,0.1005983,0.2571398,0.7716203,-0.5792695,-0.3764898,0.1808851,0.4424638,-0.9032179,1.183174,0.2912004,0.1591649,0.1531176,0.402946,1.023736,-0.6539001,2.828537,0.4787676,-2.475591,-0.7697082,-0.6481584,0.2067824,0.1209292,-0.4975888
1.33256,-0.8628177,2.113247,-0.3893348,0.4776082,-1.735054,0.3232207,0.5913107,-0.3933866,0.4610431,0.01288195,-0.5858837,-0.6822857,0.2328101,0.4935441,-1.158915,1.037579,-0.5578977,-0.1672424,-0.2487285,0.7068241,-0.10109,-0.401913,2.23675,0.9805551,-2.611554,0.2767697,-0.8832502,-0.02020434,-1.580875,-0.7068426
1.399188,-0.6443012,3.186298,0.2446732,0.7328749,-1.752566,-0.00495033,-0.4425509,-0.990941,-0.8290581,0.05046982,-0.4939347,-0.2857866,0.9564254,0.2712528,-1.185631,1.157496,0.06923035,-0.5261694,0.3905577,-0.04440206,-1.068446,-0.04447115,1.597905,0.6957973,-2.054157,-0.2482735,-1.299286,-0.8364611,-0.3044235,-1.326563
1.465816,-0.7460248,3.423619,-0.3240694,0.0008208291,-1.582381,-0.5837761,0.7283962,0.05722957,-0.7445173,-0.107005,-0.467308,-0.7239618,-0.4044123,0.2974191,-1.220353,0.92348,-0.6092501,0.256202,-0.1602453,0.2479482,0.1303369,0.08816818,1.95631,0.5630193,-2.539133,-0.2090502,-0.3451204,0.3442551,-2.187023,-0.4565156
1.532444,-0.2181265,3.339317,0.2136328,0.4128947,-2.782979,-0.3857006,-0.05316576,-1.226036,-0.3665767,-0.4842104,-1.235592,-0.03837134,-0.2175309,0.4518839,-1.369419,1.976276,-0.7629511,0.1516254,-0.1307957,0.136922,0.3873306,0.4011009,1.344807,0.04903849,-2.078745,0.2029006,-1.385025,0.1428369,-1.316855,-0.6603687
1.599072,0.8253318,2.736515,0.152008,0.5538912,-2.134018,0.4646265,0.2272919,-0.3513683,0.1241068,-0.4178953,-0.3369094,0.3331561,-0.07412232,0.7703852,-1.144578,1.418323,-0.1645968,-1.831596,-0.6090325,-0.01200222,0.01902012,-0.08482285,1.069755,0.1753208,-2.226149,-0.7880316,-1.470843,-0.3166301,-1.661924,-0.7890383
1.6657,-0.7108657,2.440172,0.2143847,-0.01971351,-1.918993,-0.5782809,0.6915006,0.1321552,-0.448938,-0.7667302,-1.205901,0.4448177,-1.662825,0.268213,-0.8803085,0.8159383,-1.106334,-0.7810323,-0.4724181,-0.2271797,-0.1647131,0.3534676,1.057005,0.9058936,-2.594721,0.1107571,-1.209552,0.08625373,-1.666334,-0.4100265
1.732328,-0.3737289,1.201506,-0.08101301,0.06270588,-2.204181,-0.504896,-0.06573614,-0.4962228,-0.3125586,-0.7817968,-1.439209,-0.6402479,-1.137239,0.3899081,-1.093151,1.843654,-0.1560465,-1.991763,-0.6071893,-0.7187288,0.6415898,0.1868326,0.7708043,0.5690463,-2.252718,-0.3385943,-1.700889,-0.4631338,-1.869913,-0.7149596
1.798956,-0.6461513,1.402759,-0.1447681,-0.01756271,-2.250767,-1.10484,0.03970353,0.2778579,-0.2259573,-0.361481,-0.7067642,-0.003613799,-1.001934,0.3376159,-0.9984794,1.16765,0.04648976,-0.3360382,-0.8053364,-0.7257647,0.3206702,0.5242479,0.7318493,0.1644219,-2.402999,-0.4226816,-1.363307,-0.2666376,-1.305443,-0.595643
1.865584,-0.3869916,0.5450867,-0.02270403,0.3529802,-2.094381,-1.757451,0.1957536,-0.0257997,-0.2741639,-0.5758246,-0.9667456,-0.6212887,-1.96285,0.181195,-1.126668,2.586813,-0.7027364,-0.6638559,-0.1446488,-0.06181299,0.231953,0.3415915,0.2747998,0.448916,-1.90865,0.2882379,-0.02851951,-0.1033162,-1.085175,-0.4351678
