Frame,C009,C025,C013,C005,C029,C028,C004,C012,C008,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C020,C016,C000,C027,C050,C007,C011,C010,C006,C026,C030,mouse1,mouse2,contact
0.0,-0.2667382,-0.9464635,2.240973,0.308868,-1.21303,-1.826236,-0.2938114,-0.159128,-0.3065129,1.371837,-0.3087397,0.5450698,-1.029147,0.4586964,0.2244699,1.146273,0.8569391,0.04318092,-0.2218919,-0.917605,0.5530615,-0.5642891,-2.147573,-0.8911573,-0.118965,-0.9199598,-1.246141,-0.4072976,-0.8409788,-0.7115754,,,
0.06662800000000857,0.05295545,-0.9325991,2.255058,-0.5660322,-0.3018713,-0.7932621,-0.3692067,-0.3515337,0.06185184,1.325831,-0.7037767,0.5337503,-0.9703324,0.4010265,-0.1860897,0.3999121,0.289146,-0.1436353,-0.6334665,-0.7101335,0.1670907,-0.5224497,-2.430831,-0.379007,0.786983,-1.058394,0.09136153,0.05358452,-0.29792,-0.5098131,,,
0.13325600000001714,-0.3267086,-0.5571312,0.9171497,-0.1744319,0.2426706,-1.691795,-1.088333,-0.9976402,-0.3013491,1.832487,-0.07387751,-0.3250358,-0.8018847,0.1393406,-0.08483414,-0.06053311,-0.6241173,-0.294161,-0.3623902,-0.4258164,-0.4879735,-0.5652223,-2.410409,-1.014732,0.5416867,-0.04488139,-0.3935822,0.05813519,0.8661737,-0.9434115,,,
0.19988399999999729,0.03576693,-0.2738236,0.1149115,0.06626554,0.8041123,-1.11651,-0.7769082,-1.263908,0.1243777,2.367721,-0.197776,0.8950031,-0.4654678,0.3659639,0.09419151,1.029005,-0.5487246,0.5459242,-0.02713637,-0.4459508,-0.6740429,-0.1051451,-2.43326,-1.104503,1.000494,-0.6610891,-0.677789,0.366361,-0.7707403,-1.209881,,,
0.26651200000000586,-0.02266571,-0.4143924,0.7007675,0.1631878,1.008777,-2.256767,-0.2289253,-0.3241228,-0.347101,3.103807,-0.6460534,0.007580573,-1.526174,0.3051507,0.1069176,0.1268835,0.1785501,0.709905,-0.8381708,-0.6815182,-0.3929231,-0.4133918,-2.669606,-0.8294758,1.19713,0.2370386,-0.01026872,-0.1564917,0.3211573,-0.01605973,,,
0.3331400000000144,0.7780696,0.3124932,1.073755,0.3313179,1.76037,-1.289436,-0.2642027,-0.3638114,-0.9698527,3.217232,-0.4001112,0.04410551,-0.3042482,0.02407538,0.1179366,0.3655322,0.02246303,0.8629794,-0.9360753,-0.4176966,-1.13884,-0.5983623,-2.778045,-0.8978602,1.10836,0.6171777,0.06666169,0.02221538,-0.01705568,-0.4162293,,,
0.399768000000023,-0.07190782,-0.964223,0.3928157,0.2607965,0.1332091,-1.225979,-0.06742439,-0.3415622,-0.01648007,4.131525,-1.136644,0.4548362,-1.374984,0.3233415,0.2468271,1.07784,-0.1280163,-2.373776,-0.561394,-0.5177885,-0.1065749,-0.5070254,-2.328924,-0.7446536,0.9459652,-0.5457749,0.5010618,-0.3484901,0.3077128,0.1682665,,,
0.46639600000000314,-0.6149061,-0.04122704,0.8583084,0.1652194,0.7398314,-1.579457,-0.7830943,-0.1612647,-0.3158637,4.104183,-0.8258991,0.2750768,-0.6182382,0.4739717,-0.01522068,0.3518005,-0.3658356,-0.4182668,-1.582382,-0.4279205,-0.8700985,-0.2986057,-2.371006,-0.4993763,0.4893972,0.2432143,0.1746629,0.261059,0.6658842,-0.365309,,,
0.5330240000000117,-0.02330833,-0.1830908,-1.047104,0.1197127,0.6615818,-2.026473,-0.3726783,0.3980229,-0.6809984,4.12616,-0.3688438,0.1367487,-1.071008,0.349238,0.2676018,1.380855,0.2408245,-0.002160518,-0.4892701,-0.8452632,-0.9467639,-0.5041082,-2.743926,-0.6666769,0.1579976,-0.1780163,0.1279755,-0.6253799,0.2463222,-0.4096446,,,
0.5996520000000203,-0.09592359,-0.7591513,-0.2784132,0.5870563,1.915012,-1.725088,-0.5927058,0.3848595,-1.122386,4.39637,-0.1679457,-0.8030335,-0.4626183,0.464947,0.1229709,0.4691308,0.01450687,0.4044233,-0.4592513,-0.123221,-0.1409849,-0.6154884,-2.646023,-0.8360216,1.578034,-0.1331033,0.1760829,0.6467487,-0.3045306,0.008487879,,,
