,approachON,approachOFF,retreatON,retreatOFF
C009,1,0,1,0
C025,0,0,0,1
C013,1,0,0,1
C005,0,1,0,0
C029,0,0,0,0
C028,1,0,1,0
C004,0,0,0,0
C012,1,0,0,0
C008,0,0,0,1
C015,1,0,1,0
C003,0,1,0,1
C019,0,0,1,0
C022,0,0,1,0
C018,0,1,0,1
C002,0,0,0,0
C014,1,0,1,0
C001,0,1,0,1
C017,1,0,0,0
C021,1,0,1,0
C020,0,0,0,0
C016,1,0,0,1
C000,0,0,0,0
C027,1,0,0,0
C050,0,1,0,0
C007,0,1,0,1
C011,1,0,1,0
C010,0,1,0,1
C006,1,0,1,0
C026,0,1,0,0
