Frame,C009,C013,C005,C004,C012,C008,C015,C003,C018,C002,C014,C001,C000,C007,C011,C010,C006
1.865556,0.2151609,-0.708307,0.3607739,0.1948087,-0.5881376,1.01217,-2.157138,-0.5192231,-0.6838296,-0.09784554,-1.580314,1.685315,-0.6668894,-1.929478,-0.2723568,4.102062,-0.654606
1.932183,-0.0542396,-1.150104,0.1987637,-0.6746608,-0.4273688,0.7836145,-3.36007,-0.4405061,-0.1856813,0.03751905,-1.840208,0.504752,-1.082664,-1.494857,-0.8956546,4.498827,-0.5885553
1.99881,0.0573658,-1.0908,-0.1437951,-0.1144149,-0.6576916,0.9968371,-1.346378,0.6515371,-1.212522,-0.1273743,-0.3968044,-1.096323,-0.1798335,-1.882011,-0.8318583,3.589913,-0.2733458
2.065437,0.6440005,-1.11271,0.4061257,-0.14716,-0.5381332,1.241689,-2.909429,0.9760398,-1.257579,0.133159,-0.7927523,0.7485226,0.04671618,-2.985758,-1.191664,3.067624,-0.2853638
2.132064,1.011033,-1.320679,0.481058,-0.1279644,-0.3429244,0.1719858,-1.811356,0.4984024,0.6830885,-0.448401,-0.3467687,-0.3147888,-0.4176335,-1.993023,-1.829093,3.30326,-0.3657735
2.198691,1.036498,-0.7319996,0.1068424,0.1276636,-0.4743378,0.4418031,-5.961066,1.453677,-0.6449429,-0.4404939,-1.130133,-0.6925662,-0.002647641,-3.0165,-0.6172256,3.593489,-1.295435
2.265318,0.3135314,-0.8621918,0.4657988,0.4329369,-0.4125725,0.6395573,-3.375296,1.869981,-0.2951437,-0.5586396,-1.189068,0.1849431,-0.1334742,-3.254596,0.01301277,3.054613,-1.423673
2.331945,-0.02249725,-1.116845,0.4055013,-0.6665844,-0.152017,1.654675,-3.23469,1.885187,0.06663747,-0.07850242,-0.9475213,-0.7960351,-0.4720843,-2.837663,-0.1879381,3.843687,-0.2998866
2.398572,1.787658,-0.09891896,0.5483177,-0.49281,-0.6280987,1.190741,-3.334127,2.114986,-0.932027,0.1504386,-0.8563695,0.1944342,-0.3078936,-1.583043,-0.2981338,3.139192,-0.09228231
2.465199,0.4690739,0.7025379,0.5619622,-0.8915989,-0.37967,0.9039461,-1.234369,1.655183,-1.144455,0.4503734,-1.182919,-1.099631,-1.084593,-1.072599,-0.585587,3.022812,-0.6316386
2.531826,1.948912,0.6837137,-0.1099227,-0.6904401,-0.469929,1.004501,-1.703849,1.685361,-1.895571,-0.2342808,-0.40826,0.8431011,-0.6246151,-1.771513,0.8852322,3.084476,-0.350501
2.598453,0.3487045,0.3039936,0.1223025,-0.268646,-0.4377633,0.5383275,-1.440886,3.008011,-1.66716,0.2017465,-1.423863,0.2560963,-0.09626468,-3.363763,0.5477223,2.360323,-0.2897551
2.66508,0.5717292,0.5077803,0.3822531,-0.4332964,-0.07987557,0.950673,-0.3892282,2.45207,-0.3527314,-0.2121,-0.8034818,0.6617963,-0.8054719,-1.071089,-0.9156599,2.66746,0.005777324
2.731707,1.183019,-0.07110269,0.2517526,-0.07066584,-0.6694258,2.109933,-1.670356,2.553655,-0.3260187,0.2987481,-1.73823,0.07738464,0.3486892,-3.070613,0.3389467,2.46724,0.3140282
2.798334,-1.111102,0.05652744,0.2362853,-0.4855063,-0.4903696,1.580294,0.6389444,1.782587,0.3428038,-0.7452473,-1.594787,0.185406,-0.5854676,-2.168227,-0.200488,2.980883,-0.3327955
2.864961,-0.6407446,0.1152725,-0.09779673,-0.7931688,-0.5003644,1.247687,0.9717936,1.680874,-0.1407961,-0.9286041,-1.339531,-0.5484314,-0.134838,-2.42087,0.4306153,2.201756,1.04872
2.931588,-0.5395035,0.2083173,0.2125625,-0.111303,-0.4280936,0.7332008,-0.1521422,0.7400249,-0.1161757,-0.3466725,-1.27403,-0.4551252,-0.4732968,-1.360527,-1.050091,2.508038,-0.2059863
2.998215,-1.017214,0.1789362,-0.1872796,-0.7001113,-0.5006034,1.636481,-1.082187,0.1814803,-1.690451,-0.3191499,-1.357585,-0.6099831,-0.09296589,-2.881223,0.723057,2.20023,0.3546621
3.064842,-0.07104941,-0.0009771159,-0.1614253,-0.7557327,-1.014699,2.016078,-0.5364626,0.01761985,-0.495528,-0.6372606,-1.087994,-0.3567071,-0.5734742,-1.297778,-0.4869471,2.040944,-0.2257333
3.131469,0.04257123,-0.6096627,0.4005452,0.4550754,-0.4437102,2.450833,-1.797704,0.5230748,-0.647158,0.2300164,-1.789891,-0.2658654,-0.6919311,-2.101799,0.5143813,2.056467,0.6420105
3.198096,1.134994,-1.009101,0.1713227,0.3499324,-0.5330001,1.971945,-2.262107,-0.3435425,0.7471185,0.419799,-0.5553033,-0.06541891,-0.622633,-1.69966,-0.3894482,2.390735,-0.3240671
3.264723,1.629055,-1.034112,0.126411,0.8391176,-0.4541864,3.017001,-3.889317,-0.9381042,-2.313297,0.2069411,-0.9597933,-3.351125,-0.7735465,-2.842187,0.5406417,2.335521,0.7314965
3.33135,-0.9539936,-1.168061,0.3738111,0.1288724,-0.491388,2.50708,-0.7939296,-0.8193429,-2.982079,0.9732584,-0.1266488,-0.760473,-0.5602645,-3.493573,-0.119797,3.018122,0.1618863
3.397977,1.68642,-1.19766,0.485613,0.2688562,-0.4190754,1.914212,-2.035168,-0.07882869,-1.145274,-0.09149449,-1.051111,-3.530805,-0.6418231,-2.901965,-0.857179,2.309526,0.05598384
3.464604,2.819389,-0.8765448,0.1506705,-0.4046299,-0.3681867,1.258181,-1.496454,-0.4075556,-1.740598,0.3560525,-1.150164,-1.79557,-1.255922,-0.480972,-2.030648,2.458759,-0.1080225
3.531231,2.62596,-0.1320747,0.3223009,1.092395,-0.5348687,1.066691,-0.1598202,-0.1710268,-0.5759489,0.3952492,-1.000726,-1.083219,-1.070644,-1.520311,-0.08572707,2.976376,-0.05253579
3.597858,1.494469,-0.5731252,0.1528895,0.5994219,-0.1761812,1.074935,-0.2238191,-0.5171462,-1.229843,0.565437,-0.7059599,-0.8304342,-1.298328,0.1463255,-0.1969692,2.002072,0.005501715
3.664485,-1.305667,-1.038714,0.3611804,0.7177672,-0.7131172,1.222761,-0.6087841,-0.6771637,-0.3147544,0.5889153,-1.333935,-0.6478696,-1.241082,-1.084567,-0.307825,1.718794,1.301092
3.731112,1.409911,-0.4300629,0.04315143,-0.6123539,-0.8065602,1.004768,0.713864,-0.1215453,-0.7674223,0.4263974,-1.181638,0.5676001,-0.8726894,-0.4905259,-0.8114932,1.922325,-0.2028984
3.797739,-0.3438213,-0.7308038,0.6112801,-0.5084306,-0.6597521,1.49496,-1.144052,-0.1607123,1.236559,-0.494195,-1.066373,-1.228159,-0.7985722,-1.872393,0.5232239,1.245701,-2.024896
3.864366,2.043472,-0.7893246,0.3509878,-0.1612594,-0.9016219,0.3232532,-0.3997642,-0.4724732,-1.638868,-0.03291836,-0.6747997,-2.840479,-0.7898235,-0.3766707,0.1400794,0.9976144,-0.9267226
3.930993,0.123174,-1.001093,0.623673,-0.2922427,-0.5530436,1.117026,1.756531,-0.7821852,0.2295157,0.286201,-0.3077893,0.08339157,-0.8793696,0.3034035,-0.5234253,1.5594,-0.1200412
3.99762,0.8654571,-1.061933,0.2308023,0.01625182,-0.9441518,1.326321,1.076083,0.1007016,-0.6310648,0.6316479,-0.7551714,-1.077617,-0.1720382,-0.439442,-0.7783595,1.818333,0.7511376
4.064247,-0.2213202,-0.94877,0.5852591,0.9476243,-0.9476599,0.9559311,1.071222,-0.7866321,-0.1215002,0.5698833,-0.9434106,-0.9556441,-0.4735481,0.4959294,-0.4845545,1.236757,-0.4129928
4.130874,1.068756,-0.3444073,0.7500768,-1.625102,-1.04931,0.4906669,1.437299,-0.7717711,-0.5961751,0.03093996,-0.8820299,-1.419191,-0.7962789,1.376833,-0.1236661,1.108678,0.3204789
