,approachON,approachOFF,retreatON,retreatOFF
C009,0,0,0,1
C013,0,1,1,0
C005,0,0,0,1
C004,0,0,0,0
C012,0,1,0,1
C008,0,1,0,1
C015,0,1,1,0
C003,0,1,0,1
C018,1,0,0,0
C002,0,0,0,1
C014,0,0,0,1
C001,0,1,0,1
C000,1,0,0,1
C007,1,0,0,1
C011,1,0,0,1
C010,0,1,1,0
