Frame,C009,C013,C005,C004,C012,C008,C015,C003,C018,C002,C014,C001,C000,C007,C011,C010,C006,mouse1,mouse2,contact
0.0,-1.713437,0.006855773,-0.196301,0.2208081,-0.254072,-0.8582423,-0.4133463,4.024168,-1.292133,-0.3431554,2.507877,0.1378154,-0.336761,0.3485308,0.2569548,1.331473,-0.8399873,,,
0.0666270000000111,-0.2828183,-0.465431,-0.5433211,-0.1850622,-0.4942184,-1.439488,-1.310704,3.655899,-0.5077447,-0.05145584,1.478515,-0.429704,-0.138463,0.3524037,-0.499513,0.6753768,0.4277532,,,
0.1332540000000222,-0.1549382,-0.2029071,-0.3728708,-0.05220959,-0.2050146,-1.146717,0.06956252,3.445491,-1.88955,-0.697044,2.856755,-0.7545588,0.2942041,0.6028782,-0.3678791,0.4791222,-0.5460758,,,
0.19988100000000486,-0.6496565,-0.1771393,-0.3461911,0.6292474,0.05399405,-1.050585,-0.4132788,3.508168,-1.223445,-0.2916439,3.445474,-0.09417865,0.1797949,0.5218781,-0.6812455,0.306174,-0.4258033,,,
0.26650800000001595,-0.6585493,0.254225,-0.1322557,-0.185279,-0.3352437,-0.9467002,-0.01208205,4.781465,-1.372093,-0.3737009,3.017679,0.5916183,0.09310413,-0.312628,-0.3844255,-0.2778488,-0.8435351,,,
0.3331349999999986,-1.269165,-0.0560003,0.1877021,-0.644156,-0.2904467,-1.090739,-0.2865097,4.601047,-1.059526,-0.8704313,2.683275,0.2869848,0.0366475,-0.1268654,-0.5631065,-0.05060383,-0.639959,,,
0.3997620000000097,-0.931769,0.116486,0.01710712,-0.3586411,-0.4795682,-0.9516158,-0.2669263,6.036645,-0.1593935,-0.553823,2.172457,1.12433,-0.07029425,0.06112344,-0.3770995,0.02955141,-0.3646262,,,
0.4663890000000208,-0.6109616,-0.3053577,-0.1628986,1.464627,0.03083006,-0.8403886,-1.30904,6.434677,-1.2341,-0.5205576,3.023659,-0.09352412,0.0996663,-0.5291342,0.230903,0.3280089,-0.8353664,,,
0.5330160000000035,-0.6009839,-0.2857328,-0.1521293,0.2330167,-0.3231904,-1.333811,-0.644442,6.899418,-0.9134778,-0.4253162,2.488816,1.032826,-0.06744832,0.02714126,0.1138084,0.58442,0.1368364,,,
0.5996430000000146,-1.032242,-0.6058499,-0.2998804,-0.3646111,-0.04130086,-0.7200719,-0.1718615,6.114576,-0.5574813,-0.1422691,3.971463,-0.2360619,0.158021,-0.8563905,0.2745896,0.388064,-0.05823426,,,
0.6662699999999973,-0.4589514,-0.3413204,-0.3364552,-0.3014739,-0.4922017,-1.174865,-0.8082901,4.912076,-0.8418766,-0.3394494,3.402525,-0.9240738,0.1277112,-0.9136451,-0.3858692,0.3763999,-0.1030171,,,
0.7328970000000083,-1.951337,-0.715722,-0.5121452,-0.1410567,-0.2026215,-1.230957,-1.10692,4.819295,0.5757226,-0.3943711,4.418456,-0.3263684,0.05309832,-0.6437341,-1.795389,0.6377916,-0.569179,,,
0.7995240000000194,-0.1411363,-0.5764154,-0.1577369,0.654378,-0.3501005,-1.161539,0.761564,3.981089,-0.4394183,-0.3940523,4.369545,-0.6583213,0.1758189,-0.4239598,-0.685121,0.4788791,-0.2660939,,,
0.8661510000000021,0.008905889,-0.07671807,-0.7408667,0.08363897,-0.459996,-1.117113,-0.6650051,4.863407,1.134928,-0.3252921,3.528404,-0.8443672,-0.02537517,-0.4610543,-0.5061768,0.2715131,0.2066046,,,
