Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,undecided,255,255,255,850,309,1,33.0151,1
C001,undecided,255,255,255,912,311,12,34.2053,1
C002,undecided,255,255,255,871,569,1,31.0644,1
C003,undecided,255,255,255,724,388,1,37.4433,1
C004,undecided,255,255,255,758,255,1,40.4599,1
C005,undecided,255,255,255,743,559,1,37.054,1
C006,undecided,255,255,255,657,606,1,35.8469,1
C007,undecided,255,255,255,995,520,3,35.1141,1
C008,undecided,255,255,255,653,401,1,36.2491,1
C009,undecided,255,255,255,870,704,3,39.8121,1
C010,undecided,255,255,255,341,159,9,50.1597,1
C011,undecided,255,255,255,483,91,4,51.0784,1
C012,undecided,255,255,255,860,286,1,36.4006,1
C013,undecided,255,255,255,591,194,1,35,1
C014,undecided,255,255,255,915,252,1,35.3836,1
C015,undecided,255,255,255,509,234,4,42.45,1
C016,undecided,255,255,255,513,51,5,34.6699,1
C017,undecided,255,255,255,1020,247,14,29.5466,1
C018,undecided,255,255,255,640,48,34,37.5366,1
C019,undecided,255,255,255,595,396,16,47.8539,1
C020,undecided,255,255,255,623,100,1,34.8281,1
C021,undecided,255,255,255,724,137,3,58.5918,1
C022,undecided,255,255,255,682,121,3,51.8845,1
C023,undecided,255,255,255,802,374,2,37.6431,1
C024,undecided,255,255,255,1024,387,6,41.7732,1
C025,undecided,255,255,255,991,283,4,39.2046,1
C026,undecided,255,255,255,660,275,12,28.6531,1
C027,undecided,255,255,255,655,172,1,37.2022,1
C028,undecided,255,255,255,705,97,2,63.2851,1
C029,undecided,255,255,255,649,110,4,49.6488,1
C030,undecided,255,255,255,536,391,3,38.5876,1
C031,undecided,255,255,255,961,183,4,35.5106,1
C032,undecided,255,255,255,585,160,9,43.0116,1
C033,undecided,255,255,255,683,60,1,76.6094,1
C034,undecided,255,255,255,258,395,302,8.544,1
C035,undecided,255,255,255,909,192,3,31.4006,1
C036,undecided,255,255,255,705,74,27,19.2094,1
C037,undecided,255,255,255,439,208,13,43.6807,1
C038,undecided,255,255,255,356,254,18,36.6879,1
